15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
-0.158086389,0.282309546,-1.307310068,-6.663363491,-2.906716259,-6.23764742,-1.709258739,-2.10491604,10.88117172,-4.469772308,-4.209029953,-3.382064252,0.609460813
-1.627470923,-0.365701616,-5.115686347,-4.91995482,-2.963338593,-8.577338207,-4.466277103,-2.877356529,7.697738248,-2.35657086,0.299785575,-0.852933309,0.336135716
-3.08706888,0.209609265,-5.817523679,1.609788723,-3.523969609,-9.481897477,-5.681210651,-4.663406712,-0.076298572,-1.507934883,-0.258748317,5.726442156,-0.058822543
-2.885045982,1.408464867,-2.821433236,5.487370077,-4.550162043,-7.433706857,-3.557523585,-1.719744357,-4.593502595,-2.306239896,0.113840625,14.83005528,-0.318166816
-0.785126316,1.404969661,0.848532892,4.862427274,-1.126957447,-1.753298333,0.768143157,4.018684585,-7.406444252,-0.178358583,2.101214663,14.88807569,-0.213310641
1.600002146,0.279513382,2.876451318,3.181233267,3.718795924,4.459779561,4.896680291,6.029826023,-3.637913319,1.60209927,-3.449871245,6.958851734,-0.100765013
2.826120354,-0.722911652,3.467141104,1.256772933,6.471620041,11.51380398,6.092040687,4.185755424,-2.220956873,3.636309067,0.333339551,-4.526394643,-0.183251871
2.568174163,-0.683765347,3.437082334,0.768143157,6.252121114,12.55537532,4.533877925,-1.172395123,-5.391807608,4.573723272,3.395139864,-10.22847344,-0.146202689
1.899191766,-0.430712444,2.78208076,-0.492927108,1.648935028,6.032622188,2.451434288,-4.490044502,-0.646017124,-0.960585649,-3.06330148,-10.02155726,-0.069308161
0.888378238,-0.366400657,0.900261938,-5.15343457,-2.966134758,0.695442876,-0.448887515,-0.017579114,4.994546054,-2.036410005,0.041839385,-12.01871787,0.095665555
-1.0871121,-0.249660782,-1.66801531,-6.12999508,-3.787508129,-5.74062915,-4.202738583,3.070085721,7.299983824,1.133741688,2.106107952,-6.99191284,0.492021896
-2.871065159,0.141802272,-3.329636165,-1.78195902,-3.554727421,-10.26412454,-5.828009296,-0.408343127,6.191304533,-2.846598718,-0.34403134,2.622000333,0.551440396
-3.124118062,0.794007681,-4.441111621,2.03340767,-2.831918854,-8.458501208,-4.27893407,-3.954578968,-0.454479844,-5.404390349,2.078146305,8.275845293,0.219395841
-1.514226253,1.072226065,-4.719330005,2.757614319,-0.703338499,-7.194634778,-1.366728567,-3.795896623,-3.019960928,-4.376799833,-2.819336113,14.04293492,-0.137115154
0.369689692,-0.100765013,-2.492184846,1.675498593,0.424214903,-3.237362731,1.091100177,1.377008014,-1.561062012,-4.042658155,-4.437616415,12.64065834,-0.534170537
1.384697467,-1.453409672,1.583225158,2.669535132,0.842241521,3.188223678,1.57833187,5.762792297,-3.735080042,3.134397508,2.263392214,4.072510755,-0.671182606
2.064165481,-1.479274195,6.268199061,4.66879287,1.881016696,7.146194767,2.268285502,2.078146305,-5.663035581,8.440819009,-0.989246337,-4.270545576,-0.459373132
2.692603491,-0.429314362,7.880187993,2.090729046,2.629689786,11.25026546,5.133655247,-1.456205837,-4.426431756,4.633141771,-1.071034153,-10.57799403,-0.076997614
2.382928254,0.762550828,4.322068452,-3.365986305,3.25533163,10.26112221,5.598517623,0.545848066,-0.190242283,2.684914038,5.379018696,-10.24594947,0.300484617
0.667481229,0.32634914,-1.05076196,-5.66233654,2.994589275,3.540540427,-0.36849778,-0.552345607,6.271694267,-0.01478295,2.95544297,-9.844000802,0.438894768
-1.784755185,-0.635531506,-4.798321657,-2.912308588,-0.851535227,-2.262200302,-5.466605013,-2.954950099,8.516315455,-3.936403898,1.323181844,-9.063171818,0.393457092
-2.893434476,-0.336341887,-5.289048556,0.548644231,-5.598024752,-8.228516664,-4.642435477,-2.926289411,3.361585888,-4.415946139,0.085179937,0.196327483,0.124326242
-1.844173684,0.38017531,-3.30866493,1.119061823,-6.478816623,-11.45529069,-2.551603346,-1.634461334,-2.829122689,-6.241841667,-5.100307441,11.08179654,-0.137115154
-0.527180125,0.784920145,-1.956020271,0.612956018,-4.504025326,-8.897499061,-0.950799073,4.842854121,-2.043400417,-5.305825544,-2.41039703,16.62729012,-0.061618708
-0.156688307,0.873698374,-1.024897436,0.680763012,-0.33843901,-3.415618228,0.041839385,8.837175351,0.582198207,-0.75157234,1.660818728,11.76126455,0.100558843
0.115937748,0.446584221,0.552838478,1.948124648,4.640132183,3.780311547,0.989040166,2.149448504,-2.72776172,2.477298811,-1.178686493,2.522736487,-0.111250631
0.576605878,0.510196967,1.413358155,2.94355927,6.467425794,7.973859509,4.23748447,-3.634418114,-5.730842574,6.464629629,-1.089209224,-2.164334539,-0.407644086
1.366522397,-0.130823784,2.768099937,0.516488337,4.433915038,8.17797953,5.028799072,-4.545268754,-4.139125836,7.007085575,0.411632162,-8.202652141,-0.25455407
1.465087201,-1.74560888,4.335350234,-2.076954393,1.054750036,7.069300239,0.886281115,-2.790675425,0.773036446,5.242006628,1.225316081,-11.30779301,0.055121167
0.449380385,-1.770075321,3.558715497,-1.485565566,-2.395717165,3.961363209,-2.030118635,0.614354101,6.066875205,4.337447357,5.453816101,-10.58498444,0.361301198
-0.587996707,-0.813087963,1.357434861,-0.952896196,-4.332061198,-0.239175164,-2.676731714,-1.819008202,3.633512902,-0.785825357,1.718839145,-7.34562767,0.490623814
-1.271658968,0.239668035,-2.025924388,-1.601606399,-3.681952913,-5.012228254,-2.22515112,-5.805639979,-1.378612267,-6.265609067,-4.727718499,5.769782709,0.251551735
-1.173094164,1.381901302,-5.665831745,-1.551974476,-2.808850495,-10.1208211,-2.180412486,-0.777436863,1.121158947,-8.526308202,-2.044099458,13.37325348,0.051625961
-0.772543575,1.122557029,-5.407885555,-0.606870818,-2.870366118,-10.10684028,-3.096855456,5.624382146,3.827147305,-8.461297373,-0.513199302,9.155239082,-0.074201449
