,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,6.2641282082,-0.9021874666,-7.6797356606,-1.3869704008,5.8640646935,2.36703825,-3.9464361668,-2.5184445381,-2.9768702984,-0.74686867,-0.853238523,-0.0709965229,2.2427830696,5.9704346657,-2.6878831387,0.5540440083,-0.0484046936,-1.6486591101,3.0692675114,0.7912582159,-2.4384317398,2.0507526398,-1.8613988161,-2.8827376366,7.8643827438,-0.9398405552,2.5628340244,1.3551125526,-4.2853136063,4.2788715363
1,2.5402421951,-0.815585494,-6.1510219574,-0.1604225039,6.1549344063,5.5816669464,-4.9800124168,-1.8246871233,-4.7616248131,-1.5940622091,-0.7496926785,-1.1874092817,1.0981305838,0.3083579242,-1.2052944899,1.597974658,3.0975072384,-0.7600472569,3.0146706104,-1.942352891,-1.0631542206,2.1382958889,-1.9207023382,-1.1977639198,6.0833935738,-2.1786258221,0.9503423572,2.8866500854,-2.4723193645,5.1571288109
2,-2.0091869831,0.0391386375,-1.867046833,1.5791481733,4.3673563004,5.2569093704,-4.4378085136,-0.8824196458,-4.2307167053,-1.830335021,-0.5557794571,-1.4876923561,0.2867074013,-5.0440225601,0.5512200594,2.9694869518,4.678935051,0.719717443,1.6695154905,-3.1914925575,1.4897222519,1.1668473482,-0.7186288834,0.6830056906,2.9195966721,-1.3163709641,-0.8447666168,4.1433205605,-0.1641878039,3.7677314281
3,-5.3904304504,2.9224205017,4.9010882378,2.8810021877,1.8398954868,3.9559967518,-1.7089040279,1.1442555189,-1.3417867422,-1.9432941675,1.5443191528,-0.339274466,0.0344320051,-8.2567682266,2.2032473087,4.4511342049,5.0658202171,1.8097730875,0.3949599266,-2.3320617676,2.4969410896,-0.712980926,0.3855466545,2.8442904949,0.0184294619,0.6801817417,-0.8607691526,4.5302057266,2.7774562836,0.8722122908
4,-4.8228106499,8.6522731781,13.6158857346,4.8304886818,0.8251459599,4.3362922668,2.7501578331,3.7065453529,3.4015555382,0.3770747185,5.7699322701,3.1003313065,1.0388269424,-7.481115818,3.6952493191,5.143008709,4.777774334,3.1229231358,0.7969061732,0.1219753325,2.3350331783,-0.9633737206,2.0366327763,5.4470572472,-0.7628712058,3.4043796062,1.6648088694,4.3871240616,6.9155259132,-0.9050114751
5,1.1969697475,16.2732486725,23.5939426422,8.9506731033,2.1552398205,6.7903294563,8.3190431595,6.9277634621,8.9506731033,5.0648789406,10.4699735641,8.4969539642,4.2440423965,-1.161052227,6.8891687393,5.2013711929,5.0451111794,5.9318404198,3.8430376053,4.949095726,3.8825731277,2.3002040386,5.5524859428,7.9020357132,1.0200004578,7.5226812363,5.8828911781,5.9685521126,11.2719831467,0.1351539046
6,11.5553226471,23.7059593201,32.3002662659,14.8010149002,6.923997879,11.3990621567,14.4113063812,11.3585853577,14.2616348267,10.7749633789,14.5732145309,15.5361909866,10.4793863297,10.2967691422,13.0190849304,7.7448344231,7.3654799461,11.8932590485,8.985502242999999,11.7021694183,9.4363975525,10.5518684387,10.6460018158,10.3419532776,6.2481255531,14.1769161224,10.9698181152,10.9058074951,14.4037752151,3.8147976398
7,23.3426074982,28.7326412201,35.1779022217,20.4668579102,15.3093309402,17.3924865723,19.6987342834,16.8493404388,19.3344421387,17.6005191803,18.4430065155,23.2531814575,18.7244625092,22.9124221802,20.6042900085,13.4022045135,12.1747150421,19.9067687988,15.8910703659,18.6388015747,17.4941482544,20.9610538483,16.6563682556,13.3927907944,15.670800209,22.4530544281,17.2079868317,17.7106533051,16.9048786163,9.6962032318
8,31.5782699585,28.9152584076,30.0053138733,23.7935028076,23.8942260742,22.7288627625,23.0592689514,22.4794120789,23.1665802002,23.4951038361,21.8233070374,27.9343967438,25.5754337311,31.3674144745,26.301197052,19.437046051,18.498544693,25.3495159149,23.4696865082,24.115436554,24.2340450287,28.6592178345,21.7489433289,16.2930164337,25.3372783661,28.4831905365,23.4395656586,23.6024150848,18.5757331848,16.5650596619
9,31.522731781,23.1486949921,18.3629932404,23.2023506165,27.8120250702,24.7931919098,22.6667366028,25.5189552307,23.7483196259,26.1854133606,22.4652919769,26.5807704926,27.5296268463,32.0018692017,26.4904022217,22.8983020782,23.0762138367,25.9105453491,28.2120876312,25.4229393005,26.4565143585,30.7611999512,23.3802604675,16.6356601715,30.0392017365,28.2007923126,26.1552906036,25.6949825287,17.7511310577,22.197013855
