,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-7.1667127609,-1.2382409573,-5.2031064034,2.98737216,-0.709215641,1.2082656622,0.9164546132,0.6585312486,-0.1980755478,3.0287904739,1.4963114262,3.3639025688,3.1746959686,-2.7311842442,-2.8206100464,-0.036167454,-2.8413193226,0.1925747991,-5.703892231,-1.9442355633,0.5606333017,1.7843573093,4.3626494408,-0.8899502754,1.9594439268,-2.2878196239,0.9616382718,2.3811581135,-3.5106022358,-2.6474061012
1,-3.0531177521,0.5050950646,-2.3386511803,5.6965088844,0.4504981637,1.1508448124,0.6773577332,0.1078554466,-2.1202635765,2.6720278263,3.0937418938,2.3444464207,1.3927656412,-3.5294287205,-1.8811666965,0.3187125027,-3.4898929596,-0.6837998033,-4.9922494888,-2.1786258221,0.1125620753,0.5154496431,3.0127878189,-0.8344120383,2.169359684,-0.7035676837,-0.7713431716,-2.0816690922,-3.3063344955,-1.5639398098
2,2.7369792461,1.9905077219,1.6648088694,7.5688061714,0.9541076422,0.8976280689,-0.1001776308,-0.2046648264,-2.4290184975,2.153357029,4.5687999725,1.7156404257,0.3196538091,-1.6844295263,-0.3185652792,2.1062908173,-1.7409090996,-0.636733532,-2.3471231461,-1.3210775852,-0.0060450179,-0.9492537975,1.2261508703,-0.2206673771,1.9886250496,2.0215713978,-1.6006515026,-6.6678099632,-1.5272279978,0.5258042216
3,7.7147116661,3.3337800503,4.2647514343,6.3836765289,0.7790209651,1.7165818214,-1.3897944689,-0.1886622906,-1.6853708029,1.8973164558,3.7027800083,1.0717734098,0.2631742656,1.4351252317,1.0651841164,3.5258107185,0.4570874274,-0.4042259753,1.2685105801,-0.7110983133,-0.4221111536,-2.2209854126,-0.2084301412,0.0617304631,1.0341203213,4.9961619377,-1.3963837624,-7.096113205,1.7184644938,1.9886250496
4,11.1430215836,5.3011517525,5.6296744347,2.1665356159,0.9277505279,2.0027449131,-1.8275110722,0.1012661606,-0.7873457074,0.8957453966,0.8411484957,0.0108988527,-0.1331240386,3.5041601658,2.8424079418,3.1455149651,1.421946764,-0.8937155604,4.4963178635,0.2631742656,-0.0700551942,-2.1070849895,-1.2062358856,0.2471717149,0.1379778832,6.8242173195,-0.232904613,-3.6800408363,4.6817588806,2.4743492603
5,12.7733983994,7.3400640488,6.2321233749,-2.4120745659,1.5989160538,1.182849884,-0.0521699972,0.3610721827,0.0221947655,-0.8795956373,-1.7955060005,-0.8391186595,-0.8720650673,4.259103775,4.4191288948,2.2889080048,1.9867423773,-0.5623687506,6.4853401184,2.5844845772,1.7787092924,0.0664370954,-1.4782791138,1.4803088903,0.1445671618,6.0052638054,1.9293215275,0.1596283764,6.2114138603,2.239017725
6,13.0746231079,8.5186042786,5.1119451523,-4.2476606369,1.950971961,0.833617866,2.974193573,1.4530104399,1.8408368826,-0.8005242944,-2.4911460876,-0.5510728359,-0.9483124614,4.1273179054,4.6064529419,1.9914489985,3.4241473675,1.4068855047,6.6039471626,4.7570652962,3.4166166782,2.3811581135,-0.5849605799,3.9108130932,0.5069777369,2.9506604671,4.1932110786,3.3846116066,5.1270065308,2.6193134785
7,12.1201181412,7.5038547516,3.253767252,-2.6088118553,1.6921073198,1.2365055084,5.6710929871,4.186621666,4.694937706,1.1819086075,-0.815585494,1.8841378689,1.0105872154,3.3441345692,4.156498909,1.8587220907,5.2004299164,3.6274738312,4.8813204765,5.4677662849,3.5342824459,3.6575963497,2.1373546124,5.9327816963,1.1706126928,0.5719292164,6.3064880371,5.0517001152,2.3275024891,3.7103104591
8,9.4251012802,5.0008687973,2.3180892467,1.0105872154,1.950971961,2.2719643116,8.0705327988,8.4753036499,7.5095028877,4.4586648941,2.2700815201,6.0137357712,5.4640011787,2.4122219086,3.4853336811,1.9387347698,6.3384928703,5.7294549942,3.5879380703,4.6299862862,3.3375453949,5.2314934731,5.681447506,5.8998351097,2.5148262978,0.2226972282,8.5967340469,6.7103171349,1.3767631054,3.8891625404
9,6.161523819,4.2318053246,3.073032856,5.8414731026,4.1207289696,3.9785885811,10.7702560425,12.346036911,9.2933158875,8.929022789,5.9120721817,9.7969255447,9.7112646103,1.8860205412,3.6754815578,2.7012088299,6.5794725418,7.1235589981,4.0228309631,3.1963465214,4.5913915634,7.0294265747,8.3265743256,4.2506318092,5.4084630013,0.990819335,10.2346420288,9.3949794769,2.7755737305,4.5424427986
10,4.0642490387,5.7680492401,5.5910801888,11.664516449,7.2901740074,5.5957865715,13.3203086853,13.2515926361,9.3253211975,13.1856994629,10.4944477081,12.5239467621,11.3435239792,2.6927371025,5.7162766457,5.3124475479,7.4351382256,8.2917451859,5.3538661003,3.0589127541,7.2063956261,8.5402545929,9.6764354706,3.4439153671,9.5992469788,2.62119627,10.7504882813,9.7432699203,5.4527053833,6.7413806915
11,3.4288539886,7.9716939926,8.5487270355,16.3692646027,9.1850633621,7.4407858849,13.9754724503,11.4593076706,8.3068056107,16.2864284515,14.6334590912,14.4856710434,10.9152212143,5.3529248238,7.9839310646,9.7555065155,9.2547216415,10.4398508072,6.9315285683,4.3532361984,9.6830244064,9.9409484863,9.9004707336,4.3946547508,13.2666530609,5.060172081,10.070851326,7.2346353531,8.3839950562,9.6058359146
12,3.9362287521,9.7046756744,10.157453537,17.9346904755,9.4957008362,9.5700654984,11.3990621567,8.3595199585,7.2393422127,16.6045951843,16.1574668884,15.1248311996,8.5609636307,9.1332902908,9.8468151093,12.6227865219,10.2751188278,11.7275848389,8.0131120682,5.22961092,10.0586137772,9.9475374222,10.0727338791,6.2189445496,14.8123111725,8.2089080811,8.3585786819,4.6497540474,9.7573900223,12.2782611847
13,5.0677027702,9.8957643509,10.563164711,15.5352497101,9.3978033066,10.2826499939,7.0124826431,5.5007128716,6.5954751968,13.147105217,14.8518466949,13.5951766968,5.6042585373,11.6720466614,11.6221570969,11.9873914719,10.0576725006,11.3444652557,8.6212091446,6.1549344063,8.6023826599,8.6193265915,10.2647647858,7.6478776932,13.7542600632,11.4461288452,6.9202327728,3.0099639893,10.0802640915,12.9117736816
14,7.4125461578,9.2509565353,10.7344865799,9.9833078384,9.1332902908,8.4790687561,4.1856803894,3.9983563423,6.682076931,8.3397521973,11.4837818146,9.7969255447,3.6754815578,12.0947027206,12.892947197,9.4401626587,8.6212091446,10.2412309647,10.0030755997,8.1213645935,7.7090640068,7.6902375221,8.8800735474,8.0140533447,11.1232538223,12.1182355881,6.9108195305,2.665438652,10.5170402527,11.2898683548
15,10.9952335358,8.7520532608,10.12733078,4.5819783211,8.3359870911,5.8151159286,4.0915474892,3.1445734501,7.1273245811,4.2638101578,7.7627196312,6.2038836479,2.0808749199,12.1822452545,13.1000385284,7.3805413246,7.1715664864,8.6108541489,11.2230348587,10.0388460159,7.5057373047,6.2904853821,6.7592658997,8.2522087097,7.5979876518,10.6996574402,7.1950998306,3.3695504665,9.6133670807,9.5145273209
