,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,2.1044082642,1.1913218498,-3.1284236908,2.141119957,-3.0455870628,1.3042809963,0.1257406473,-2.3979547024,-3.1425437927,-4.6646680832,-0.3006801009,0.6331154108,-1.9122303724,0.6961842775,4.7636547089,3.8100910187,-1.0537409782,-1.4199168682,2.1081733704,2.3990433216,-1.8736360073,4.299580574,-2.5297403336,-0.2649097145,-5.0364918709,-3.5247220993,0.6830056906,-2.6323449612,-4.8275175095,0.1737482697
1,1.1037784815,-2.3471231461,-2.5118551254,0.5098016858,-0.0935883448,-0.8165268302,2.5496554375,-2.1569752693,-2.9966380596,-3.3938777447,-2.939217329,2.4724667072,-1.716434598,0.5079190731,2.1251173019,5.5571923256,0.9202198982,-0.6687386036,1.9716812372,2.1928927898,-1.0424450636,3.804443121,-1.0866874456,0.4250823557,-5.8196749687,0.7413679361,1.8549567461,-2.8017835617,-3.3665792942,1.5076073408
2,0.4514394701,-4.8839969635,-0.5877845883,-1.3173123598,2.6437880993,-2.5937504768,4.2694582939,-0.688506484,-0.8042895794,-0.5284810066,-5.0760273933,3.7319610119,-0.3797515035,0.0513758771,-0.7308661342,5.1317129135,2.8198161125,0.105031468,1.2016763687,0.3827226758,0.7601944804,1.7316429615,1.1668473482,-0.0568766296,-4.166706562,5.3322153091,1.943441391,-1.8162151575,0.0504345484,2.6936783791
3,-0.0982949808,-4.7908058167,2.2813775539,-1.8275110722,3.9145781994,-3.5689644814,4.6751699448,2.0366327763,2.5393009186,2.4875278473,-5.7302494049,3.6086473465,0.8627989888,0.2509370148,-3.2206737995,2.9854893684,3.6726574898,0.9927020073,0.1699829698,-1.4585112333,1.9989796877,-0.488003999,2.761453867,-0.2903255224,-1.2448302507,7.5490384102,1.7758853436,-0.0493460186,3.3478999138,4.2336878777
4,-0.6913304329,-1.6053581238,4.6845831871,-1.2401236296,4.4341902733,-3.0069928169,3.7338438034,3.6011166573,4.4784326553,4.2722821236,-3.6753342152,2.3999845982,1.3052222729,0.7413679361,-4.4500455856,0.949401021,2.3472702503,1.7363497019,-0.3599836528,-2.1823909283,1.8333061934,-1.4396847486,3.2029356956,0.2895313799,2.4254002571,7.0040106773,1.2346228361,1.7994184494,4.806014061,5.0987668037
5,-0.7704018354,2.9591321945,5.8461794853,-0.0568766296,4.0002388954,-0.5237743855,2.3284437656,3.352606535,4.7043509483,4.103785038,0.2782354653,1.2685105801,2.098760128,0.9428117275,-4.0857524872,-1.9376462698,-0.2366699129,1.9208495617,0.2415237576,-2.2445185184,1.1084851027,-0.9200726748,2.6146068573,1.4370079041,5.8254704475,5.1552462578,0.3507175744,3.5512263775,5.0912361145,3.9098715782
6,-0.4126979113,5.7463989258,4.9010882378,1.3193421364,2.5411834717,2.4950585365,1.4821915627,2.3745687008,4.6252794266,3.4288539886,4.5735068321,0.2396411002,4.0190653801,1.9425001144,-1.469807148,-4.5168800354,-1.5940622091,2.6146068573,0.9032760262,-1.158228159,0.9710515141,0.3441283107,2.9431297779,2.7209768295,7.4445514679,1.9613265991,-0.2677336931,5.3105649948,4.7542409897,1.4774849415
7,0.579459846,6.0560951233,3.2095251083,3.0033745766,0.8684469461,5.0309910774,1.1141331196,1.8897857666,4.1894454956,4.2732234001,8.6099128723,0.0005442649,7.2882909775,3.9964737892,3.3441345692,-4.2956681252,-1.0518583059,3.085269928,1.7532935143,1.795653224,2.3105585575,1.5574977398,4.3946547508,3.5898208618,6.8279829025,-0.7035676837,0.3488349319,6.1426973343,3.3921422958,-0.8249987364
8,2.4771733284,5.2427892685,2.5543620586,5.6174373627,-0.2187847197,6.8863449097,1.2986329794,3.3864943981,4.539618969,5.9450187683,11.5515575409,1.5189032555,10.7156591415,6.0570363998,8.5496683121,-0.9953787923,1.5066660643,2.5750713348,3.9983563423,6.4872226715,4.5207924843,2.9233620167,5.3755164146,4.4398384094,4.7175292969,-1.3182536364,2.5421247482,6.0043225288,2.3312678337,-1.2796592712
9,4.0586013794,4.7523584366,2.8508796692,8.1693725586,0.4363782704,7.8163752556,2.2842013836,6.1125750542,6.0476231575,7.3259444237,12.6011362076,5.0272259712,11.9826841354,7.8314361572,12.5182991028,5.0846467018,5.2126669884,2.5421247482,6.5041666031,11.6767539978,6.2565975189,5.1712489128,5.7784042358,5.709687233,3.5625224113,-0.2187847197,6.0975136757,5.626850605,2.7463924885,1.2901610136
10,4.7664785385,5.5336594582,4.5791544914,9.4429864883,3.552167654,7.712829113,4.7580065727,7.8041377068,6.9287047386,8.1505460739,11.1806745529,10.016254425,11.2917509079,8.1288957596,13.9933576584,10.7382516861,8.160900116,4.1932110786,8.0187606812,14.8141937256,7.9378061295,7.5932807922,6.0033807755,6.8016257286,4.1734428406,3.5361652374,9.8948230743,6.1182227135,5.6296744347,5.542131424
11,5.3557486534,6.3921484947,7.3090004921,9.5408849716,7.2845258713,6.4872226715,8.6390943527,8.937494278,7.7391862869,8.4282369614,7.4210181236,13.9905328751,10.0454349518,7.0670795441,12.410987854,12.776222229,10.3108892441,7.6205792427,9.3770942688,15.2999181747,9.9917802811,8.7906475067,7.0162477493,7.7363624573,6.1935286522,8.6165027618,12.7809295654,8.2776250839,10.3918437958,10.1376857758
12,6.0033807755,6.8364543915,9.7668027878,8.8838386536,9.8242235184,4.7627129555,12.2123680115,10.3400707245,8.4329433441,9.0899896622,3.7969124317,15.2274360657,8.8650121689,7.0444874763,9.334733963,12.6293754578,11.2682180405,11.2663354874,10.6262340546,13.8210945129,11.5929756165,8.3792877197,9.0212726593,8.4884815216,9.0137414932,12.6020774841,14.4451932907,10.6450605392,13.9707651138,14.4461355209
13,7.0284852982,8.0705327988,11.3727054596,7.8380255699,11.0752458572,3.6980733871,13.4247961044,11.5656766891,7.6196379662,10.0369634628,2.4432854652,14.4103651047,8.0441761017,7.5499796867,6.2810721397,10.752371788,10.1235656738,13.0294389725,11.640042305,10.6158790588,11.6419248581,7.149916172,10.2497034073,8.8734846115,11.1467866898,15.2989768982,13.7900304794,11.7991256714,15.1314201355,16.3937397003
14,8.4272956848,8.9807958603,10.6450605392,6.6397175789,11.2352714539,4.0557770729,11.3830595016,12.0062179565,6.7950363159,9.6736116409,2.7793390751,11.0178251266,7.0906128883,6.6961970329,4.3927721977,7.3588905334,7.9434542656,11.934677124,11.7558250427,6.4194469452,9.4062747955,6.9757709503,9.9804840088,8.8960762024,12.1041154861,15.6416196823,10.3579559326,10.6177616119,14.3971862793,14.6795835495
15,9.2904920578,9.1652956009,7.8220229149,5.6014347076,9.9710702896,5.0959424973,7.4756150246,10.5076265335,6.9032888412,8.3482246399,3.2838897705,5.9290161133,5.9902024269,4.9726290703,4.3475885391,4.5047898293,5.5383658409,8.2154970169,9.5295886993,2.0319261551,6.2151794434,7.74106884,8.6513309479,7.5998702049,11.4781341553,13.3071308136,5.528011322,7.4859695435,11.943148613,10.1696901321
16,9.1172876358,8.9299640656,5.5750775337,4.5273814201,7.3918371201,5.316213131,3.708427906,7.26475811,7.4021916389,7.1998066902,3.3657851219,1.4313600063,5.7652254105,3.2791831493,4.6911725998,1.9481480122,3.2707111835,3.8788080215,5.8828911781,-0.5793126225,3.778085947,7.1395616531,6.4740438461,5.0997080803,9.1991834641,9.0579843521,1.3466405869,4.6911725998,8.2004365921,5.031932354
17,7.6271686554,7.6535258293,4.7909531593,3.7338438034,4.2478079796,5.0940599442,1.1141331196,4.132024765,7.8766198158,5.7897000313,4.1395554543,-1.3587306738,6.2838959694,3.0429103374,4.809779644,0.498505801,1.8078904152,0.932457149,2.9591321945,0.723482728,2.6748518944,5.6051998138,4.4191288948,3.4354434013,6.3253145218,3.1935224533,0.1295059472,2.9120659828,3.4269714355,1.5970333815
18,4.5970396996,6.8110389709,5.2183151245,3.609588623,2.3039693832,5.3388047218,0.4373195767,2.1175866127,7.5076203346,4.8841443062,6.809155941,-1.2956618071,7.035074234,5.0460524559,5.1213583946,2.2051301003,1.5706762075,0.7507811785,1.3701738119,5.3736338615,3.2688286304,4.3758282661,3.186933279,3.1003313065,3.4429738522,-1.5131081343,2.3340916634,2.2954974174,-0.7045090199,1.2214442492
19,1.6375104189,6.3789701462,6.1812915802,4.017182827,2.8941807747,6.062684536,1.3974722624,1.2939263582,6.9145846367,4.9265041351,10.4097290039,1.4868981838,8.3943490982,7.569747448,6.1972942352,5.709687233,3.1238644123,3.5898208618,1.4351252317,10.7890834808,5.3049168587,3.9089303017,3.200111866,3.9672925472,1.7222297192,-2.7208294868,5.8395900726,3.24153018,-1.4528633356,3.1954052448
20,0.5474547744,5.416934967,6.2274165154,5.0281672478,5.0808815956,7.2572274208,4.2365117073,2.4630534649,7.0567250252,5.4527053833,12.8166999817,5.5270700455,10.4775037766,8.9487905502,7.8210816383,9.5013484955,6.0005569458,7.7081227303,3.3318974972,14.0733699799,8.866894722,4.8003664017,5.5553097725,5.9440774918,1.9199082851,-0.4098739326,8.6014413834,4.9020295143,1.7212884426,5.8800673485
21,1.9679158926,5.9497256279,6.4655723572,7.3777170181,7.4134874344,7.7900180817,8.2437372208,5.8160572052,7.5236225128,7.3052349091,13.1207475662,9.9767189026,12.0429296494,8.9676170349,8.6061477661,12.9993171692,9.0485706329,11.553440094,6.5719418526,14.8320789337,13.274184227,6.0899829865,9.2744894028,7.8785028458,3.0146706104,4.936858654,10.0190782547,6.9315285683,7.0548424721,8.9902086258
22,5.7652254105,8.2079668045,8.0997142792,10.9189863205,9.3978033066,7.7034158707,10.8126163483,10.3946676254,7.8719134331,9.5069971085,11.9742126465,13.2026433945,11.6042718887,7.9839310646,8.176902771,15.0570554733,10.833325386,13.7175483704,10.2195806503,13.8399209976,15.7103357315,7.319355011,11.9450311661,9.7395048141,5.4075217247,10.7881412506,10.0925016403,8.8716020584,11.9695062637,12.2904977798
23,10.436085701,11.1599655151,9.5992469788,14.036658287,10.9095726013,8.5826148987,11.6814603806,14.1354970932,7.1809802055,10.0011930466,9.954126358,14.1533823013,8.8753671646,6.5917096138,6.9127020836,14.9064435959,10.309006691,13.536813736,12.6312580109,11.0893659592,14.9516267776,9.421336174,12.7329216003,11.2465677261,8.9412593842,15.138010025,9.421336174,10.2487621307,15.2283773422,14.6852321625
24,14.5647420883,13.6742477417,10.5038614273,15.0335226059,11.7191133499,9.6529026031,11.5515575409,15.384636879,5.8461794853,9.5455913544,7.7580127716,12.9644880295,5.8941869736,5.5167155266,5.4508223534,12.045753479,8.3491659164,12.4185190201,12.0815238953,7.133913517,12.1577711105,11.1769094467,12.5672483444,10.8465042114,12.0033941269,17.183511734,8.3726987839,11.3764705658,16.8446331024,15.4053459167
25,17.4226074219,13.7034282684,10.8850984573,13.9462909698,11.1674957275,10.040728569,10.3061828613,14.0677223206,5.2973861694,9.3912134171,6.3347277641,10.506685257000001,5.7049808502,5.7360444069,5.4301133156,8.0620613098,5.9967918396,10.7241315842,10.2694711685,3.4062621593,9.2104787827,11.3491716385,12.719742775,9.4363975525,13.4596252441,16.1932373047,7.4134874344,12.0579910278,16.1301670074,14.2550458908
26,18.720697403,12.0024528503,10.7740221024,12.015630722,9.4693441391,10.6243505478,8.6569795609,11.5139045715,6.6077122688,10.1612186432,7.077434063,8.2352647781,8.8367729187,8.0084056854,7.4379620552,5.8292355537,4.8135447502,8.4244718552,9.2622518539,2.3689208031,7.5942220688,11.1044273376,13.4238548279,8.2107906342,12.4797048569,13.21205616,7.8935637474,11.9949216843,12.8534116745,12.5041790009
27,17.7878437042,10.1405096054,11.2183275223,10.633764267,7.9472193718,11.4574241638,6.5069904327,9.4768743515,9.9070606232,11.5346136093,10.6478843689,6.9051713943,13.5029258728,11.6005058289,11.1703205109,6.6011228561,6.3808526993,6.7376155853,9.2791957855,5.316213131,7.2421660423,11.6824016571,13.3353700638,7.9368648529,10.1951065063,9.74609375,10.151804924,11.3124599457,8.5600223541,11.6513376236
28,14.6183977127,8.4743623734,11.7473526001,10.4671497345,7.99522686,13.147105217,4.4351315498,8.7595834732,13.8766326904,11.8113632202,15.1728391647,7.1066150665,17.5882816315,14.1439695358,15.4354686737,9.9108257294,9.5182924271,6.2189445496,10.792848587,10.5857563019,8.1910228729,13.0567378998,11.6042718887,9.4279251099,8.6758060455,7.4172530174,12.6510257721,10.7683734894,5.8555927277,11.5666179657
29,10.5095090866,8.3472833633,12.1342382431,11.0658330917,9.2349538803,14.8339614868,5.455529213,9.2566041946,17.2776432037,10.6234092712,17.9874038696,9.2613105774,19.517999649,14.6682882309,17.5110931396,13.8032093048,13.3683166504,7.9858136177,12.60866642,16.1640548706,11.4734268188,14.3284692764,10.0219020844,12.3582735062,8.7520532608,8.120423317,15.0128135681,11.3585853577,7.1132044792,12.2151918411
30,7.4153699875,9.9786014557,13.187582016,12.3469781876,10.806968689,14.1684436798,9.5634765625,11.5732078552,19.2647838593,9.7187948227,18.2123813629,12.8863573074,19.4379882813,14.8650255203,16.0783939362,16.7024936676,16.9284114838,12.0438709259,13.6488313675,20.2174053192,16.4775161743,13.3344287872,10.6695346832,15.7065706253,10.5838737488,10.9161624908,17.5760440826,12.5766611099,11.2296237946,13.8286247253
31,6.6566615105,12.5474805832,14.0743112564,14.448018074,12.5004138947,12.6576156616,14.1590309143,15.2660303116,18.7197551727,10.111328125,17.1044406891,16.5707073212,17.578868866,15.6237344742,12.5719547272,18.2801570892,18.2641544342,16.0454483032,14.751124382,21.3545284271,20.7238388062,10.3833713531,13.0087299347,18.5183124542,13.4069108963,14.8264312744,19.4276332855,13.7542600632,15.1747217178,15.7225732803
32,7.6412882805,15.6416196823,14.0159492493,16.3984451294,13.3701992035,11.8245420456,17.1938667297,18.4599494934,16.8709907532,12.5173578262,16.1471118927,18.5710258484,13.9782962799,16.2525405884,9.4787569046,18.598323822,17.9158630371,18.4797172546,15.2415552139,19.6573162079,21.6246871948,8.6372117996,15.5663127899,20.0790309906,15.787525177,18.7536430359,19.5415325165,14.7191200256,18.3008651733,17.1402111053
33,9.3441476822,18.2104988098,13.1612253189,17.1533889771,13.036028862,11.5204935074,17.564748764,19.2732563019,14.6682882309,15.5917291641,14.9440965652,18.6679821014,10.1310958862,15.2227287292,8.5449619293,17.7605438232,16.4473953247,18.6180915833,14.4536657333,15.0551729202,18.8270664215,9.2999048233,17.2578754425,20.086561203,16.8032150269,20.1769294739,17.3849544525,14.5242652893,19.9303016663,16.7326164246
34,12.2603759766,18.7969436646,11.8876104355,16.2600708008,11.7435874939,12.6886787415,16.1264019012,17.1562137604,11.8603124619,17.2446975708,12.6096076965,17.2098693848,7.2685232162,11.6541614532,10.4323205948,15.2980356216,13.8653364182,16.5255241394,13.3683166504,8.8650121689,14.3727111816,11.9600925446,17.7398357391,18.4260616302,16.0012054443,19.0313339233,13.5838804245,13.3824367523,19.4888191223,14.3905963898
35,15.0438776016,16.5547046661,10.6431770325,14.6071014404,10.365486145,14.1260843277,13.9726476669,13.4153833389,9.5277061462,18.0467071533,9.8835277557,14.2079792023,6.1144576073,8.1750202179,13.9076967239,11.8367786407,11.4658966064,13.3372526169,12.9080085754,4.7250599861,10.1169757843,14.9064435959,17.2738780975,15.7997617722,13.3165435791,15.7762289047,10.2478208542,12.4307556152,16.7137889862,11.9873914719
36,16.4662208557,12.9145975113,9.6500787735,13.3410177231,9.9550676346,14.6767597198,10.8653306961,9.8148107529,8.3981142044,17.629699707,8.2587985992,11.2070322037,7.2186331749,7.8342604637,16.7570915222,9.5521802902,9.3319101334,9.8195171356,13.1800518036,4.908618927,6.8402199745,15.9823789597,14.7944259644,12.7705745697,10.0510835648,11.3811769485,9.1050510406,11.8377199173,11.4498939514,10.5848150253
37,16.6968460083,9.7376213074,8.9977397919,11.7266435623,10.9218101501,15.3855781555,7.8050789833,7.3504185677,8.8659534454,15.3874607086,8.5590810776,9.1351728439,9.8383436203,10.1894578934,18.6660995483,8.9647932053,7.8427324295,7.3795995712,13.6196508408,8.7652320862,4.809779644,16.3325519562,10.25440979,10.151804924,7.9914617538,8.3303394318,10.0783815384,11.9958629608,6.8543395996,10.2553510666
38,15.0664691925,7.5123267174,8.8339490891,9.3262624741,13.0492067337,15.2057847977,7.0548424721,6.5361714363,11.4715442657,13.0972146988,10.6817722321,8.5684947968,13.3918495178,13.487865448,19.3109092712,9.7743330002,8.9365530014,8.0347623825,13.5707015991,13.5113983154,5.8697128296,16.6469554901,6.9108195305,8.8292417526,7.5650410652,7.6667041779,12.3290929794,13.1612253189,6.300839901,11.2616291046
39,12.600194931,7.319355011,10.0171957016,7.3042936325,14.8452577591,13.2713603973,9.2255401611,7.9274516106,15.3996982574,11.5223760605,13.4520950317,10.2026367188,17.0790233612,16.4116249084,18.0495319366,12.2688474655,12.6623220444,11.3105773926,13.2073497772,16.9011135101,10.5669298172,15.5456037521,6.9880080223,9.2038898468,9.1728258133,9.8421087265,15.0146961212,14.1590309143,9.1587057114,13.6045894623
40,11.2663354874,9.8129281998,12.9202451706,7.7203598022,14.8339614868,10.3513660431,13.5179872513,11.5346136093,19.4935264587,11.4574241638,15.5004205704,12.8119926453,19.166885376,18.1022453308,15.5230121613,15.162484169,17.548746109,15.6284408569,13.1000385284,18.6670417786,16.1339321136,13.3429012299,10.1885166168,12.2848501205,12.3121490479,14.2936401367,17.6240520477,14.5543870926,13.5970592499,16.7683868408
41,10.3833713531,13.8756914139,16.0275630951,10.7175426483,14.3199977875,7.7806048393,17.9986991882,16.2732486725,21.5004329681,12.760219574,16.8013324738,15.4646501541,18.6067962646,18.1135425568,12.0871715546,17.8876228333,21.3742961884,19.4605789185,13.6620101929,18.9409675598,20.3256587982,11.1863222122,14.7417116165,17.3510665894,15.1728391647,18.787530899,19.2713737488,14.6635818481,17.2607002258,19.4596385956
42,9.8261060715,18.4731273651,18.0956573486,14.5299129486,14.3623571396,7.9246277809,20.3764896393,19.7618045807,19.8465232849,13.1273374557,17.1759815216,18.2490921021,15.7988204956,15.4100532532,8.8395967484,20.005607605,21.528673172,21.0316524506,14.3953037262,17.1825695038,21.4590148926,10.173456192,18.1502532959,21.6736373901,17.2098693848,21.8233070374,18.5522003174,13.9971227646,18.9033145905,19.6573162079
43,10.5989351273,21.2782802582,17.7210083008,17.6880626678,14.6447544098,11.5412025452,20.2164649963,20.305891037,15.6736240387,13.4266786575,16.4219779968,19.3118495941,12.5983114243,10.6761236191,7.8690896034,19.5876579285,17.6682949066,20.1392745972,14.9930458069,13.7561426163,19.7505073547,11.0498304367,20.0093727112,23.354845047,17.3633041382,22.229019165,15.6435022354,13.1348676682,18.739522934,17.1731567383
44,12.8439979553,20.2145824432,14.8518466949,19.0896968842,15.0391702652,16.4728107452,17.9619884491,18.8082408905,11.1966772079,15.5258359909,15.3611040115,17.8565597534,11.061126709,7.8201403618,9.429807663,17.2616424561,12.4957075119,17.470615387,15.6933917999,10.8276777267,16.9999523163,13.5349311829,20.6654758453,21.2067394257,15.224612236,19.7806301117,12.8741207123,13.323132515,16.6742534637,13.8945178986
45,16.025680542,16.9877147675,11.9167919159,19.1245250702,14.8396091461,20.705953598,13.6751890182,16.8502826691,8.7624082565,18.4345340729,14.4414281845,15.360162735,11.5807380676,8.8113565445,13.1960535049,15.1474227905,8.3359870911,13.7288446426,16.6460151672,10.2882976532,13.1838169098,16.9528865814,18.9428501129,16.3683223724,12.5154752731,15.4646501541,11.5204935074,14.5976886749,13.2318239212,11.3049297333
46,18.5258426666,13.6704826355,10.4454994202,18.3338127136,14.3520021439,23.4245033264,9.0353927612,15.1342449188,8.7407569885,20.8697452545,14.3990688324,12.9569568634,12.9748420715,12.7282152176,18.5371379852,13.7919130325,7.4803218842,10.7806110382,17.9290409088,12.4062814713,9.2754306793,19.6921463013,15.1841344833,11.9647989273,10.3466596603,11.1505527496,12.4947662354,16.7175540924,10.3353633881,10.4699735641
47,19.0868721008,11.182557106,10.7796697617,15.7301034927,14.7708921432,24.0777835846,7.1066150665,13.1649904251,9.9654226303,20.87915802,15.3102722168,12.2886152267,14.1976251602,17.737953186,23.0319709778,13.8418035507,10.5179815292,10.25440979,18.2425041199,15.8703613281,7.5528039932,20.5186290741,11.1044273376,9.6811418533,9.9362411499,9.2603693008,15.6632699966,18.628446579,10.0586137772,11.8226594925
48,18.0354118347,10.3024177551,12.9127149582,12.5192403793,15.9221343994,22.6064910889,9.7686853409,11.1383152008,12.719742775,18.4966621399,15.3714590073,13.8982830048,16.1894702911,21.4590148926,25.5377807617,14.8424329758,14.9582166672,12.1558885574,17.6287593842,19.0379238129,8.9271402359,19.6883811951,9.2245988846,10.1621599197,11.8405447006,10.4812698364,19.2572536469,19.721326828,13.0878009796,14.5647420883
49,16.4492778778,10.6761236191,15.6246757507,10.9133377075,17.1477413177,19.182888031,15.6190271378,10.8860397339,16.675195694,16.802274704,14.8490228653,15.7150430679,19.2892570496,23.273891449,25.7599334717,15.3394536972,18.7856483459,16.0463886261,17.5769863129,21.4185371399,13.7740278244,17.8669147491,11.2380952835,13.5961179733,14.827372551,13.909579277,22.4539966583,20.659828186,17.3312988281,18.087184906
50,15.6538562775,13.3504314423,18.3808784485,11.7859477997,18.1069526672,14.5543870926,21.6613998413,13.3353700638,20.2399978638,16.5236415863,15.6962165833,17.613697052,22.0200443268,23.6438331604,23.1364574432,16.1866474152,20.8490352631,20.4150848389,17.9930515289,22.7994632721,19.1292324066,16.0332107544,15.7084531784,18.641626358,18.2735671997,18.6246814728,24.3658294678,20.7765541077,21.1530838013,21.2829875946
51,15.8148231506,18.5813808441,21.1107234955,15.0401115417,19.1085243225,11.380235672,25.3626937866,17.9695186615,22.8182888031,16.8135700226,17.3764839172,19.691204071,22.6290836334,21.6576347351,19.2064208984,17.6372299194,20.6024074554,23.6005325317,18.6322116852,22.0040416718,22.2553768158,15.2519102097,19.9312419891,23.5572299957,21.4543075562,23.1195144653,23.2070579529,18.755525589,23.4339160919,22.3099727631
52,16.3071365356,23.2776565552,22.4634094238,19.1132297516,20.3793144226,11.2164449692,25.9284305573,23.0611515045,23.7944450378,16.7919197083,18.8025932312,20.2663536072,20.4903907776,17.7953739166,16.2450084686,18.7122249603,19.1960659027,24.88920784,19.2723140717,18.6425666809,23.1882305145,15.8298845291,22.1000576019,26.019739151,23.0592689514,26.0696296692,19.4003353119,15.3385124207,23.3482570648,20.9827041626
53,16.564119339,26.0075035095,22.1292381287,22.1678333282,20.7577266693,13.2562990189,24.3178215027,26.0856323242,23.2014102936,17.0780830383,19.3033771515,19.7665100098,16.8380451202,14.2757549286,14.6127500534,19.101934433,17.7633686066,24.0260105133,19.071811676,14.1514997482,21.9070854187,16.9594764709,22.3410377502,24.5955142975,22.9048919678,26.8019809723,14.7247676849,12.6152553558,21.306520462,18.7112846375
54,16.9462966919,26.239068985,21.182264328,23.6541881561,19.8116931915,17.594871521,21.6971702576,25.9472579956,21.4439525604,18.6999874115,18.4957199097,18.390291214,14.234336853,13.3080720901,14.3915376663,18.7178726196,16.9670066833,21.0909557343,18.7837657928,11.3595266342,18.7743530273,17.6071090698,21.1126060486,20.5562820435,21.1446113586,24.396894455,11.6428661346,11.7068758011,17.5609836578,17.3369483948
55,17.6645298004,23.1063346863,20.0809135437,23.1091594696,18.455242157,23.7247867584,18.4731273651,22.9914932251,17.9337482452,20.6532402039,17.9262180328,16.0473308563,13.5556402206,15.6529150009,16.3673820496,18.2481517792,16.9594764709,17.4282569885,18.739522934,12.3893375397,15.146481514,18.6209163666,18.5653781891,16.1122817993,18.1709632874,19.2280712128,12.0476360321,13.923699379,13.6337709427,17.3680114746
56,17.724773407,18.5286655426,18.6689243317,20.4668579102,18.168138504,29.4649925232,15.1690731049,18.4420642853,13.2129974365,22.0407543182,18.9550876617,14.5826272964,14.5882749557,19.9933700562,19.9444217682,18.1954364777,17.4612026215,14.6118087769,18.341342926,16.4285678864,12.435461998,21.212387085,15.8694200516,12.6434955597,15.3884029388,13.9142856598,15.3507490158,19.1960659027,12.3262681961,17.8424396515
57,18.2434444427,14.1081991196,16.6158924103,17.6569976807,19.6817913055,32.3878097534,14.0639562607,14.3557682037,9.9814252853,22.7561626434,20.5073337555,14.3312931061,17.5242710114,23.6108856201,23.7812671661,18.1248378754,18.3083953857,13.4219722748,18.5606708527,21.1747341156,12.3093242645,24.5644493103,14.369887352,11.8207769394,14.6334590912,10.9801721573,19.5245895386,24.9014434814,14.2625761032,17.8292617798
58,20.5336914063,11.0291213989,14.7624206543,16.5434093475,21.8788471222,29.8151664734,16.7693271637,12.473115921,10.2299356461,23.2456512451,21.3601760864,14.9836320877,21.2481575012,24.7884845734,26.3981533051,18.4147663116,19.1932430267,14.6729946136,20.1769294739,25.4210567474,15.2001371384,26.6956119537,15.3479251862,14.0470123291,16.0247383118,11.4470701218,22.7269802094,29.3332080841,18.9673252106,17.437669754
59,23.0084381104,11.7784166336,15.6924505234,18.0156440735,23.5920600891,22.0812320709,21.6406898499,14.156206131,13.7344923019,23.9676494598,21.293340683,17.3698940277,24.0090675354,24.1088485718,26.0668067932,19.2920818329,20.0799713135,18.1794338226,22.7222747803,27.9278087616,19.8135757446,25.0529975891,18.6293888092,17.9186878204,18.9673252106,15.5992593765,24.2942886353,31.0511283875,23.8462181091,17.3661289215
60,24.512676239,16.152759552,19.6337833405,21.5324382782,24.607749939,13.9707651138,26.1138725281,18.7517604828,19.1546478271,23.2522411346,20.5647544861,21.0438899994,24.5475063324,22.2553768158,23.1298694611,20.6588878632,21.3244056702,22.1612434387,24.7084732056,27.6670608521,23.3642597198,20.4715633392,21.4025344849,22.2506694794,23.1609325409,21.9419155121,23.7756175995,28.3589344025,26.3115501404,18.3931159973
61,24.3055858612,22.1979560852,24.2105102539,24.6388149261,24.6774082184,10.0237846375,29.0178642273,24.0806083679,24.2171001434,20.7558441162,20.1053886414,24.7000007629,22.5556602478,19.8455810547,19.9660720825,21.8506069183,22.4398765564,25.4888324738,24.1954498291,24.4486656189,24.0467205048,17.0686702728,22.8342914581,25.0991230011,26.8895244598,27.7348365784,21.212387085,22.3306827545,27.1690998077,20.6541805267
62,21.5889167786,27.6218776703,27.0391960144,25.2638549805,23.8170375824,11.4188299179,29.4631099701,27.7894325256,27.1493320465,18.3187503815,19.9463043213,26.6909046173,20.9544639587,17.4960308075,18.1973190308,21.7592983246,22.4652919769,27.36677742,21.5258483887,18.7809410095,23.5167541504,16.0840415955,23.5647621155,24.5258560181,27.8223800659,31.2572784424,18.3046302795,15.4891242981,26.2164764404,23.3887329102
63,18.4750118256,30.6717739105,26.5073471069,23.6325359344,21.8590774536,16.6563682556,27.1606273651,28.9246730804,27.9475765228,17.3887214661,19.9255943298,26.0376243591,21.4806652069,16.1009864807,18.5220775604,20.4103775024,21.7574157715,26.5986557007,19.4153957367,14.2060966492,23.0592689514,17.2804679871,23.227766037,21.8138942719,25.5679035187,30.8685112,16.2393608093,10.9735832214,23.19764328,25.8992500305
