15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
-0.236551351,0.494854746,-2.67184763,3.09972283,-1.960871871,4.907126724,2.881799226,6.896360626,-4.126487689,1.870497499,6.967185797,8.670394968,0.913676674
1.566766476,0.285784288,-2.754931004,2.152436162,-1.623090284,3.102446875,4.646980421,1.290956914,-4.29401646,8.704445531,0.512561039,12.26272938,1.863006375
2.247096728,-0.450388888,-2.328617953,0.69643408,-1.686424331,0.116212484,4.367084792,-6.13683294,-4.156452185,11.40465519,-6.937702186,10.46281661,1.758130641
1.122747132,-1.189286109,-0.878744973,0.466933285,-0.878744973,-2.872064942,2.624376968,-8.225494486,-4.492871749,7.71766021,-9.183677334,5.005192346,1.02468151
-0.272644948,-0.961147336,0.735251722,-1.472586795,1.382212423,-5.575679659,-1.866211305,-6.128660805,-1.671442084,1.401280738,-6.924081961,-0.701001033,0.188399678
-0.815410925,-0.5055508,1.20787354,-3.774404866,3.208684632,-5.660806067,-5.470803924,-2.071195695,2.488174715,-6.166797436,-3.638202613,-6.471890482,-0.783403396
-1.341151621,-0.271963937,2.195339872,-4.308998708,2.853877764,-3.305869117,-4.906926598,1.459166696,4.772286494,-12.45525545,1.12206612,-13.9276018,-1.747715345
-1.609470059,0.071946752,3.344205874,-3.217337652,1.91953031,-1.614237137,-2.293886379,3.339438795,4.853326834,-13.27314997,5.491434388,-14.00251304,-2.271413007
-1.332298474,0.30825766,2.003975707,-0.451069899,0.525500253,1.441460403,0.037896188,6.243951835,0.999484093,-7.514518727,5.146842689,-3.578954633,-2.082091876
-1.158640602,0.490768679,-0.733008562,2.310430776,-1.977216141,3.344886885,2.756493153,6.586500501,-2.339514133,1.260992418,2.981907882,7.177618278,-0.962509358
-0.305333489,0.59360138,-2.651417292,3.308793288,-4.403659274,3.733063305,4.742321998,2.665237644,-1.483482975,7.12518041,1.238519046,11.83505431,0.372272719
1.00901825,0.051516414,-3.510172496,2.868179001,-4.949149296,4.298983666,4.004105788,-3.189416191,-1.444665333,9.570010847,-1.268283415,10.9456536,1.17586601
1.569490521,-0.391140908,-3.569420476,1.401280738,-4.080178923,1.082567467,0.4376498,-7.906100203,-3.022568431,11.39239699,-2.92518382,7.240271314,1.218088708
1.064861174,-0.843332387,-2.474354364,0.055602481,-1.754525458,-2.480483465,-3.307231139,-9.70941803,-1.711621748,8.508995298,-2.630305943,0.910271617,1.034215667
0.044706301,-1.548860056,-0.0097746,-1.278498584,2.692478094,-3.521749687,-5.363885156,-7.984416499,1.982864358,1.576981644,-1.633305453,-6.615583858,0.585429244
-0.786127441,-1.471224772,1.655978951,-2.626219875,5.942944856,-4.541223549,-5.304637176,-1.885960632,4.236330629,-5.073093346,-1.498465223,-12.53765781,-0.312824612
-1.354090835,-0.883512051,1.914763231,-3.632073512,5.979719465,-3.116547985,-2.793748646,4.979994929,2.169461444,-11.85256048,-2.342238178,-10.98222808,-1.331617463
-1.918649172,-0.30056641,2.675452813,-3.388952491,4.47400356,-0.227698204,-0.05267831,8.243400905,-2.05212738,-13.71853134,0.526181265,-5.44696853,-2.049403335
-2.001732547,0.570446997,2.88384226,-0.461285068,1.580386701,1.934512558,2.465701344,10.6194492,-3.174433943,-9.048837104,1.900461995,-0.526662149,-2.11682345
-1.585634664,0.942960158,0.71209734,2.654341464,-1.796748156,3.461339811,5.32526764,8.510357321,-3.214613607,-4.039999259,-0.808600812,6.093448346,-1.454880502
-1.190648131,0.274207097,-1.62649534,3.530121949,-4.905564575,2.33971426,5.846241257,1.580386701,-3.637521602,3.494028352,0.547973625,10.76518561,-0.042463141
-0.107840222,-0.239956407,-3.156046639,2.992123051,-7.494088389,0.61539374,3.405496888,-5.895754953,-3.154003605,11.21533406,1.389022536,9.960230301,1.343394781
2.29681055,-0.219526069,-3.670210143,1.30525815,-6.37382486,-1.364306004,-0.636985974,-12.19374712,-0.685337774,13.40887134,-2.934717978,7.435040535,1.872540533
3.966650169,-0.51644698,-2.682062799,-0.818815981,-2.107970304,-3.604833061,-4.426132645,-11.22943517,4.313284902,10.91432708,-4.603876585,1.194934326,1.59060187
2.595093484,-1.020395315,-1.181113974,-2.199906824,2.290000438,-3.584402723,-7.156306802,-5.326429536,7.772822122,4.479451651,-2.848910559,-6.883902296,0.848299592
-0.426553493,-1.155916557,0.503026882,-3.195545292,5.287812021,-2.281628176,-6.975838817,-1.91183906,6.744495114,-3.624582388,1.816697609,-13.25476267,-0.055402355
-2.011266704,-0.560031701,2.208960097,-3.246621137,6.340655434,0.233346421,-4.569145011,3.40685891,1.584472768,-11.54951046,6.393774313,-16.23010088,-1.113693859
-1.73409512,0.762492173,2.499070896,-1.471224772,5.186341342,2.300896618,-1.490293087,8.133077081,-4.666529622,-16.68024933,4.68375503,-11.74700373,-1.92818333
-1.131400151,1.487769169,1.938598626,0.85783375,1.680495357,1.811249519,2.673409779,10.29733088,-6.464399358,-13.10766424,0.199295858,-1.235594875,-2.114780416
-1.28667072,1.020595442,1.036258701,3.098360808,-2.382417843,2.137453915,7.834794147,10.92318023,-6.944512299,-5.296465041,-3.600746994,8.865164189,-1.604021969
-1.858720181,0.007250682,-0.643115075,3.52535487,-5.368652234,1.582429735,9.236996339,4.095361298,-7.113403092,2.42620269,-5.673745281,14.98405039,-0.905985423
-1.306420046,-0.874658905,-2.270050984,1.854153229,-6.02378507,-0.393864953,5.895274068,-4.50921602,-3.056618994,9.030649926,-4.648823329,14.24855823,-0.081280783
0.665788574,-1.299609934,-2.583316166,-0.403399111,-4.307636686,-2.32180784,0.932744989,-9.543251281,1.340670736,12.43570624,-4.15372814,9.821304003,0.761811162
2.200106951,-1.25466319,-1.802877258,-2.230552331,-2.236000421,-4.219105221,-4.734630748,-13.10425918,6.024666208,13.0070747,-2.27277503,1.041706791,1.09482567
1.577662656,-1.0496788,-1.264197348,-2.791024601,0.413133395,-4.129211734,-9.586154991,-11.17359225,9.289434206,9.217247012,3.224347891,-9.130558455,0.928658921
-0.783403396,-0.886236097,-0.62949485,-2.899305392,3.33126666,-2.369478629,-9.804759607,-5.425176169,8.220927534,-1.171579816,5.620145517,-14.22928979,0.547973625
-1.806963325,-0.596806309,1.056008028,-2.788981567,4.614972892,0.260586872,-6.182460695,1.383574446,4.074249949,-9.076758566,4.902359645,-14.94162757,-0.380925739
