15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min
1.366121643,0.46370576,-0.575585703,2.717682017,4.871924811,1.409454113,0.94036293,-2.161691669,7.431979627,4.382199119,1.089619215,4.946209046
0.996076105,1.758865141,-0.955948496,2.670222645,5.920845712,0.932109126,-4.081388872,0.093660222,6.546071351,-0.339664478,0.836502565,4.704097467
0.277995174,2.719057651,-1.124463657,1.340672415,4.748117754,0.932796943,-7.553489008,2.417105995,3.102859528,-3.967211253,1.028403504,2.704613494
-0.255750806,2.89720225,-0.66087501,-0.262628976,1.958332066,0.907347714,-8.056283224,3.723270448,-1.500699547,-5.75140851,0.977505047,-0.2798244
-0.463471535,2.121344692,0.244979959,-1.480752855,-1.182928101,0.542804713,-5.595961871,3.565760358,-5.981827199,-6.116639328,0.50016006,-3.170719185
-0.605849651,0.619840215,0.9836954,-2.500097625,-3.26082321,0.042761765,-0.969017018,2.641334332,-8.245432894,-4.648837884,-0.634737964,-5.202530556
-0.603098383,-0.981397724,1.154274012,-3.042097409,-3.934196037,-0.488920763,4.275587486,0.718885861,-7.21783432,-1.790270498,-1.904448117,-5.999710441
-0.255062989,-2.231161184,0.991261387,-2.817181255,-3.412830763,-1.380331575,7.527586188,-1.843920222,-3.44103126,1.521568281,-3.437592175,-4.721746484
0.278682991,-2.619777781,0.906659897,-1.843920222,-1.868681634,-2.468458044,7.279284256,-4.031178232,1.491304334,4.537645757,-4.416355743,-1.272344308
0.759467063,-1.835666419,0.979568498,-0.563204998,0.136304875,-2.731891949,4.090564717,-4.867563685,5.779843231,5.943543673,-2.232536818,2.261659356
0.840629467,-0.374743144,0.800736082,0.805550801,2.267161892,-1.963600378,-0.69732931,-3.298653144,7.683720643,4.677272605,2.391656766,4.501191457
0.471271746,0.90390863,-0.046654443,2.348324296,3.934430262,-0.282575668,-5.393055861,-0.1704615,6.541256632,1.044911111,5.876137608,5.366465223
-0.146387905,1.295276494,-1.219382401,3.794803414,3.955064772,1.840027545,-7.709623464,2.752072866,2.63032926,-3.011145645,6.755855531,3.979826183
