,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-2.2545208931,4.2703585625,3.7308964729,4.335691452,5.4183492661,-2.6745176315,-3.4146447182,1.2585167885,-1.1634633541,3.6758301258,-6.8819494247,-1.8205245733,2.0201103687,-7.0639481544,1.5133146048,-3.5005106926,0.0909263492,13.904146194500001,-2.0883891582,2.3859741688,4.6128892899,-5.3391623497,0.5958555341,2.7751708031,-1.307195425,0.9962522388,1.2258503437,2.321574688,2.3337078094,-2.8714492321
1,-5.881424427,4.0650267601,4.8546204567,3.9427611828,5.2083506584,-3.5733101368,-5.1468973160000004,-0.485868901,-0.1246718764,2.3747742176,-5.656493187,-3.379178524,1.5870473385,-4.8090333939,4.2404923439,1.7074463367,-1.2147961855,14.348408699,-3.3549120426,4.7668876648,10.6057729721,-0.2040045559,-0.8918655515,-2.4029197693,-1.3585283756,1.1278511286,2.3943741322,0.3597241342,0.2309252024,-4.2873044014
2,-6.97808218,3.1522345543,3.1037015915,1.06065166,3.6832966805,-1.4275944233,-3.6797091961,-0.4046695828,1.0737183094,0.9673191309,0.2019920945,-4.289170742,-1.1634633541,-0.9011988044,3.3491661549,3.9642276764,1.3910490274,7.5332651138,-1.5647933483,6.5728731155,12.2073602676,5.1187515259,-3.2205131054,-2.4607858658,-0.5288018584,0.1683923751,3.2763667107,-2.2946538925,-3.1057140827,-1.7607917786
3,-4.151971817,-0.05933908,2.3477077484,-2.7099838257,1.2323836088,5.2606172562,-0.4121361673,-1.2829290628,2.4335737228,-1.4425276518,4.3104915619,-2.7398502827,-2.1639883518,-0.0276060086,2.0033106804,3.977294445,3.2045006752,-1.6039930582,3.4350321293,6.5999393463,4.4626235962,7.5285983086,-2.2573208809,-3.198113203,0.2122586817,-0.6856005788,4.6082224846,-3.3763785362,-3.3250455856,1.6215803623
4,0.1991921216,-3.6274430752,2.154509306,-4.9490323067,-3.5583770275,9.3737831116,2.3346412182,-1.8961240053,4.4896903038,-3.5313105583,5.9120783806,-0.5736014843,-1.9007905722,3.0262355804,2.803170681,2.7014381886,2.6687717438,-8.94926548,5.6292805672,2.3710408211,-3.1467802525,5.2988834381,1.6561135054,-3.9298405647,1.7942456007,-1.7365252972,5.6983466148,-2.433719635,-0.4037362337,1.9146447182
5,4.373957634,-2.0165228844,-1.1615966558,-2.7314503193,-4.9583654404,7.0040693283,4.996486187,0.3802573085,4.6586222649,-3.5415771008,5.1887512207,2.6333053112,-2.0473227501,7.3699331284,2.353307724,1.3929156065,-0.1582715958,-11.4496450424,3.5367646217,-3.4641110897,-5.6928925514,2.4783732891,3.8914284706,-0.13960509,4.3860907555,-0.9935980439,4.0855603218,-1.2651958466,1.4470485449,2.383174181
6,6.469274044,-1.0533308983,-2.8182497025,0.1506591886,-4.1585054398,1.9435777664,5.5350146294,3.4490320683,1.7149130106,-2.2255878448,1.6579800844,5.1626176834,-0.518535316,7.2271342278,-0.5157353282,2.5502393246,-1.2763956785,-10.6964511871,0.3419909477,-5.551027298,-6.4292864799,0.0031937372,3.716896534,3.3398330212,3.0878350735,0.5174561739,-1.3818615675,0.9915856123,2.4345071316,2.5810391903
7,4.2339587212,-1.4686608315,-2.5503852367,0.947719276,-2.6035847664,-1.7589250803,-0.8825322986,4.813554287,-2.3945198059,0.0003937604,0.3373243213,3.9352946281,-0.1825380623,4.075293541,-2.4887857437,3.3043665886,-0.7360001802,-6.215555191,0.0862597227,-6.3732872009,-4.9611654282,-1.0878639221,3.1345012188,5.5732812881,1.3546493053,1.4974480867,-5.6555595398,3.2922332287,3.8428955078,1.3583825827
8,1.7522460222,-0.2077378631,-4.7801003456,3.0943682194,0.6042554379,-4.6326346397,-5.8422245979,2.0434436798,-4.2966375351,2.4251737595,0.559455812,2.6921048164,1.0009188652,0.6453217864,-3.6255764961,1.6626467705,-1.6170595884,2.8759701252,-0.0164061021,-5.4800944328,-0.5166686773,-1.3379951715,2.5773057938,5.6488804817,1.5683808327,1.0130521059,-8.2212715149,4.7267546654,4.6072893143,0.4857231081
9,1.5385143757,1.2342503071,-3.783308506,3.5843641758,4.0976934433,-4.4515695572,-2.1201221943,-1.633859396,-2.8145163059,5.0804853439,-1.5246603489,1.5301145315,4.4924902916,-2.7202506065,-1.981056571,-2.1826548576,0.3438575864,12.077627182,-1.7215920687,-1.1597300768,4.7902212143,-1.3818615675,1.0065188408,2.6314387321,1.5301145315,0.753587544,-4.4478363991,4.1900925636,4.5036902428,0.8814531565
