,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-3.0704331398,4.6423096657,0.4120413363,6.9394416809,0.7241721153,5.183588028,0.6949393153,-3.1477587223,0.0951955542,-1.5512708426,3.927520752,-2.0237104893,2.1122584343,7.7834205627,-3.0874071121,-5.5684227943,-0.2122202963,3.9482665062,-6.3331904411,-1.7898482084,-0.5752727389,3.9482665062,-0.1914744377,0.433730185,-2.3424422741,-0.8129070997,4.1972169876,4.1915588379,0.2121267319,4.2622833252
1,-6.9829125404,4.8686280251,-0.0575693771,4.7450957298,1.1862388849,3.7511808872,0.4073263705,-3.4419727325,3.2136745453,-5.3458762169,2.7091732025,-3.2722337246,5.2778873444,3.7917296886,-4.400053978,-8.2436952591,-1.3211804628,5.1515259743,-3.3165545464,2.3649806976,-0.1999613792,1.2362174988,-1.1816174984,2.0104150772,-1.9133803844,-2.8431718349,3.8718841076,5.7503266335,-0.6309093237,2.8591091633
2,-8.0126619339,3.2504513264,0.6044119596,1.8972558975,1.4851677418,1.655849576,0.5280295014,-2.5461289883,5.1703858376,-6.0870690346,0.7835807204,-3.7380726337,6.1030063629,-1.1637005806,-4.1426167488,-7.4610104561,-2.4537155628,3.6351926327,0.2026968002,5.184530735,0.8288444281,-1.9303542376,-0.9552990794,3.1222043037,-0.2075053304,-3.0676043034,2.1169734001,5.1053195,-1.5701307058,-0.1254649013
3,-5.6721520424,0.762834847,1.0730797052,-1.1203229427,0.6694785357,-0.517750144,0.7571768761,-0.5498118997,4.7337799072,-3.7937090397,-1.578617692,-3.3184404373,4.3141479492,-5.3741660118,-1.9841048717,-3.7503314018,-2.0387985706,1.1909538507,3.206130743,5.6994051933,2.0603938103,-4.5641345978,0.1470601857,3.8539671898,1.7633508444,-1.5456129313,-0.2546550035,2.3753535748,-2.3688461781,-3.1430437565
4,-0.8949474692,-1.591819644,0.6704215407,-4.0568041801,-0.4743724465,-2.2151381969,0.5459463596,1.6973413229,2.3414058685,-0.331980437,-3.6635761261,-1.7351546288,0.9580345154,-7.4280056953,1.4248162508,1.3880394697,0.4243002534,-0.8874035478,5.3080630302,4.0284209251,2.344234705,-5.683467865,0.4865378141,3.024132967,2.721432209,0.6204428673,-2.1048080921,-2.0189955235,-2.0350265503,-4.9639639854
5,4.2358794212,-3.5777635574,-0.488517344,-6.3539361954,-1.0486553907,-3.0110247135,0.0631337762,3.5144896507,-0.4243938029,3.037334919,-4.1925954819,0.8033835888,-2.0491714478,-6.28698349,4.9525542259,5.9757022858,3.3428647518,-2.069917202,6.1275243759,1.7991845608,1.2437615395,-4.6046833992,0.3064260781,0.5808371305,2.2225885391,2.1330041885,-2.7149248123,-6.6726679802,-0.5064342022,-4.2199420929
6,7.4439430237,-4.3340444565,-1.6248244047,-7.1809415817,-1.0401685238,-3.1911363602,-0.3065196276,4.0793423653,-2.8582596779,5.3599276543,-2.5970506668,3.7087461948,-3.3231554031,-2.4631454945,7.250629425,8.0427436829,4.6668276787,-2.5121810436,5.6890320778,-0.2791728079,-0.0160776675,-1.3240095377,0.4026114047,-1.8577437401,1.4370751381,2.422503233,-2.1293258667,-8.486987114,1.8255884647,-1.4598004818
7,7.5344705582,-2.4546585083,-1.4946912527,-4.9856529236,-0.0754862502,-1.9454420805,-0.4838023782,2.9420926571,-3.5221271515,5.866314888,0.7534049153,5.6588563919,-2.7564163208,2.2885980606,7.3138098717,6.5424413681,4.0567107201,-2.1038649082,4.5263214111,-2.2726607323,-1.1335247755,3.089199543,1.1956688166,-3.2231981754,1.3691796064,1.9472345114,-1.2466840744,-5.4118857384,4.2556824684,1.8114434481
8,4.8375091553,1.517229557,-0.0339945406,1.0825096369,1.1852959394,0.6968253255,-0.4027049541,1.2267875671,-1.5163801908,5.0534548759,4.6385378838,5.444797039,-0.2754008472,6.2519993782,4.8790011406,2.7346339226,2.6752254963,-0.4932323098,2.1330041885,-3.0421433449,-1.3032636642,6.9196386337,2.5017147064,-2.4188249111,2.487569809,1.7888116837,0.52048558,1.4493340254,5.2156496048,4.7997894287
9,1.6483056545,5.9540133476,2.4413630962,9.193195343,2.2801113129,3.5267484188,0.3045400679,-0.1612986475,1.7558069229,4.3198060989,8.0559453964,4.2387084961,4.0133328438,7.9946513176,1.4295312166,-0.7252086997,2.6676814556,2.4083583355,-0.6667430997,-2.1019790173,0.660048604,8.9206705093,3.8388793468,1.0957114697,5.3882174492,3.1250333786,3.5371212959,9.5835952759,5.1288943291,6.8696599007
10,0.3894094825,9.0536327362,4.9374666214,16.3778629303,3.8633971214,5.3580417633,1.7718378305,-0.2565409839,5.2835450172,4.5932741165,10.2069139481,4.3556394577,8.7028388977,7.748529911,-0.8279949427,-2.2443709373,5.9577856064,6.9545292854,-1.2504559755,0.0980245322,4.2236204147,8.6670055389,4.6922883987,6.3896765709,9.5807657242,5.6597995758,7.4128241539,16.6013507843,5.1703858376,7.7683324814
11,1.6860253811,10.0400037766,6.3057498932,19.7773532867,5.5060915947,6.0134220123,4.0453948975,1.9613794088,9.5779371262,5.0459108353,11.2215747833,6.598077774,13.5809440613,6.781961441,0.3130270243,-1.2504559755,12.2013444901,12.6851005554,1.9802392721,3.8115324974,8.111582756,6.5943059921,5.7371249199,12.3654251099,13.7770862579,8.7056684494,12.2984733582,20.2941131592,5.6635713577,8.1360998154
12,4.8158202171,9.5015544891,7.7626748085,18.3166561127,7.5457863808,6.284060955,7.0780615807,5.760699749,13.9656848907,6.1454410553,11.3913135529,10.7802534103,18.8409614563,5.656027317,5.6220798492,2.9939572811,19.1728954315,17.1511173248,8.3577032089,8.7141551971,11.4412918091,4.1972169876,8.3199834824,17.7386016846,17.2595615387,12.0834703445,17.3991241455,19.8395900726,7.564646244,8.3360147476
13,8.6585187912,8.6490888596,10.5067853928,14.0043478012,11.0810680389,7.7221260071,10.5322465897,10.321015358,16.9549751282,9.2431745529,10.7293319702,16.0629024506,22.9995613098,4.8591980934,13.1264209747,10.0843248367,23.8963489532,18.9380893707,15.740398407,13.9468250275,14.113735199,3.3192899227,12.0985584259,21.2107028961,20.2281036377,15.1010494232,21.285200119,16.1383419037,10.8547496796,8.7660198212
14,12.2598104477,8.5538463593,14.34948349,9.9268445969,15.3716878891,11.2112016678,13.9600276947,14.6427545547,17.7159690857,13.3791437149,10.7698802948,20.0593090057,23.5248088837,5.8408541679,19.750005722,17.5650901794,23.4823741913,18.2138710022,21.2031593323,17.9111690521,16.361831665,3.9746704102,16.0053806305,22.3309803009,21.6520233154,16.8380432129,22.2197055817,11.6826982498,13.9826593399,9.0574045181
15,15.1962919235,9.7882242203,18.5769233704,7.2647743225,19.0248451233,16.2401847839,16.6428432465,17.3444309235,16.1383419037,17.2642765045,12.6134328842,20.6533946991,19.0644512177,9.4760932922,23.1183795929,22.5657844543,17.0860500336,15.4301538467,22.6770572662,19.094625473,17.3595180511,5.8682012558,19.980096817,20.3836975098,19.9914131165,17.1360282898,19.1559200287,8.0474586487,15.3594293594,9.2582626343
16,16.8295555115,11.7562513351,20.7241191864,6.5122656822,20.0941982269,20.4299049377,17.4632472992,18.0629920959,12.8227767944,19.9593505859,15.1076498032,17.519826889,10.7632799149,15.0199518204,21.6963443756,23.1410102844,7.4920358658,11.5959424973,19.6538219452,17.3566894531,16.8503017426,9.6901531219,21.9613265991,15.6668453217,15.3679161072,15.9676599503,12.9142475128,5.6626286507,14.401348114,9.9145860672
17,17.1718635559,13.5941457748,19.1502628326,7.5156106949,17.6094112396,21.3464946747,15.9902915955,16.6117248535,9.1243572235,19.692483902,16.9087677002,11.6855268478,1.8765100241,20.2950572968,16.3052520752,19.2087287903,-0.941154182,8.1096963882,13.9939746857,13.9553127289,14.9058494568,14.0637569427,19.9885845184,9.7429609299,8.641544342,13.4998464584,5.1958465576,5.4165072441,11.8967580795,11.3639659882
18,16.913482666,14.5512838364,14.8492698669,9.055519104,12.7350788116,17.9583187103,13.2490100861,13.1801719666,6.3585577011,15.4791898727,16.4995079041,5.8653721809,-4.1765646935,22.342294693,8.6924657822,12.303188324,-5.5363607407,6.0681157112,8.9866800308,11.0537214279,11.442234993,17.0643615723,14.9935483932,3.3956723213,1.9821252823,9.7090129852,-1.4447126389,7.3524727821,9.1847085953,13.436665535
19,15.8573303223,14.6248378754,8.9913949966,10.0343456268,7.3656744957,11.1763105392,10.8226881027,9.1356735229,5.3646426201,8.0399150848,13.4932451248,2.9156887531,-4.4566335678,19.5019989014,1.0165001154,5.1241793633,-5.7183585167,5.8191652298,6.9507575035,10.3125286102,7.5099525452,18.0130119324,8.8386297226,-1.3023205996,-1.5691877604,5.8946046829,-4.0945239067,10.4605789185,7.7692756653,15.1359395981
20,13.6667566299,13.4838151932,4.213247776,10.817029953,3.6059598923,3.6663115025,9.1856517792,5.6777162552,6.047369957,0.5308585167,9.6439466476,3.3532376289,1.1174004078,12.8199481964,-4.0634050369,0.001839207,-1.7342115641,6.6499423981,7.8682899475,10.7255601883,4.213247776,16.5787200928,3.5597531796,-1.9058363438,-0.5026622415,4.0868864059,-2.1340408325,13.6780719757,8.7245283127,15.3933773041
21,10.7642230988,10.9914836884,3.3466367722,12.4663257599,3.0844845772,-1.5635298491,8.6104259491,3.2306485176,7.7334418297,-3.7012958527,6.4321112633,6.0605716705,9.4025402069,5.1043763161,-5.6268882751,-1.7049788237,4.8931460381,7.9786200523,9.453461647,10.3823099136,2.6733393669,13.562084198,1.0447899103,1.1560630798,4.4744567871,4.89691782,2.8506221771,15.942199707,11.0112867355,14.1571130753
22,7.8994088173,8.2879219055,6.0530276299,14.2768726349,5.2712860107,-2.8393998146,9.058347702,1.8142725229,9.5703926086,-2.9459581375,4.4178771973,9.2365732193,16.5381717682,-0.8129070997,-3.6371722221,0.5864951015,11.8401784897,9.3091840744,9.1790504456,8.3171548843,4.3462095261,9.6967544556,1.3889824152,6.7913913727,10.4935836792,7.6938362122,8.4586038589,15.9968929291,12.9161338806,12.1570234299
23,6.5160374641,6.1888189316,9.6976966858,14.3240222931,8.4359722137,-0.1801585108,9.4902381897,2.0679376125,10.5360183716,2.3744106293,3.7342069149,11.3422775269,19.1728954315,-3.1270127296,1.6775383949,5.86348629,17.0964241028,9.9937973022,6.9469852448,5.0468540192,8.4680337906,5.4051914215,3.7530667782,13.0792713165,14.4767875671,10.9547071457,12.6285209656,13.1999750137,13.1660270691,9.9287309647
24,7.0846624374,5.1072053909,11.8665819168,11.6987295151,10.7510204315,4.7696137428,9.1422739029,4.4725708961,9.8580064774,9.9155282974,4.1010313034,11.8722400665,15.9355983734,-1.1882184744,8.4454021454,11.4111156464,19.0851955414,10.321015358,5.0817446709,2.6837124825,12.7765703201,2.0179591179,6.4217381477,17.0671901703,15.24061203,12.854839325,14.3721151352,8.5444164276,11.0065717697,7.7796487808
25,8.5906229019,5.3127779961,11.5535078049,6.6735172272,11.1461353302,10.0003976822,8.1172399521,7.7853064537,7.7843637466,15.7536010742,5.5541844368,10.394569397,9.346903801,3.8850860596,14.0854454041,14.6691579819,17.3519744873,9.7637071609,4.9101195335,2.629961729,14.9596004486,1.0042412281,8.6783208847,16.6664180756,13.225435257000001,12.7369651794,13.7572832108,3.6681973934,7.2270545959,5.7352390289
