,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-4.0679726601,6.1127433777,-2.8723826408,2.5922391415,-6.2556881905,-0.0621390566,-3.0319812298,-4.7791666985,-9.8713912964,-1.7178587914,-1.7187920809,0.677054882,-2.6306512356,-0.7397334576,3.3090331554,-3.8878409863,2.3299746513,7.0918021202,0.559455812,0.9915856123,0.9458526373,4.1555595398,0.774120748,4.9442195892,-3.4473111629,-1.1167970896,9.1292514801,-3.753442049,-1.3949280977,3.5992975235
1,2.1657092571,5.7795462608,-1.6086596251,7.1328682899,-9.1909971237,0.5874555707,-1.2175961733,-7.1488804817,-5.4352946281,0.8375868797,-1.1793298721,0.8385201693,-5.34009552,3.6898300648,7.8291292191,-6.3835535049,2.6911716461,7.484732151,3.099968195,-0.6128011942,-1.4565275908,0.5482559204,0.2841247618,4.578356266,0.7227877975,-3.1197137833,9.9701786041,1.2659833431,-3.2037131786,5.4183492661
2,9.5296487808,1.6561135054,-0.3076037169,7.7021970749,-7.0088820457,2.2497086525,0.534256041,-4.0801057816,0.779720664,0.226258561,0.2962580025,1.7055797577,-5.8758244514,7.5407319069,6.4366073608,-5.1636972427,-0.1302718371,3.969827652,5.5294151306,-2.4850523472,-4.3825035095,-3.3465120792,-0.4522691667,2.7509045601,3.5610311031,-3.8999741077,9.8488464355,4.8518204689,-3.2401127815,5.2606172562
3,11.1825685501,-4.057706356,0.6854547858,2.3542411327,-1.2269294262,3.0747685432,4.391690731,1.1698508263,5.9690113068,0.7694541216,2.71357131,1.6999797821,-3.3250455856,5.8486123085,3.3864991665,-1.1811964512,-1.7943915129,-1.8345245123,3.8839616776,-3.4874441624,-3.3997116089,-5.0899643898,-0.9263986349,-0.084538877,5.5135483742,-2.7650501728,5.1094183922,5.2027506828,-0.6716006994,4.3114247322
4,7.5967311859,-8.1335391998,2.7751708031,-2.8714492321,4.3683576584,1.2389168739,6.1678094864,7.0647354126,7.568731308,0.8898531199,1.3173162937,-0.2609374225,-0.9758648872,2.1171762943,0.7087879181,1.199717164,-2.0323894024,-3.9970400333,-0.223604396,-3.2205131054,-2.3086538315,-6.0354232788,1.2407835722,-3.6078431606,5.5676813126,-0.1778714359,-2.8639826775,2.6398386955,2.1218428612,2.4466402531
5,1.5674475431,-6.8296833038,4.1406264305,-6.6934175491,8.8361873627,-1.6805257797,4.4738235474,7.0236692429,7.0768690109,0.9971855283,-1.1737298965,0.3718573749,1.3219828606,0.1170594692,-1.4723941088,2.1909091473,-2.0146563053,-3.3978450298,-3.4062447548,-1.1989296675,-1.0775973797,-4.4907693863,3.1877007484,-5.719959259,3.1961007118,4.0332937241,-8.7859334946,1.5991805792,3.4919650555,-1.9521235228
6,-4.7418336868,-0.0882721767,0.9178528786,-7.4867444038,10.060710907,-3.5873100758,1.9930440187,1.8754450083,4.936753273,2.2973082066,-0.8909322619,0.6341218948,4.1368927956,-2.579318285,-1.8214578629,5.0272855759,0.3111912012,-5.3522286415,-3.8169081211,2.3159747124,1.8175787926,0.3905238807,2.7331712246,-2.8975822926,0.5417226553,7.3717999458,-10.9176492691,2.0938432217,3.98569417,-5.0311646461
7,-10.0020570755,4.5587563515,-1.5563933849,-4.5057024956,6.5430064201,-2.7893166542,-1.0421309471,-0.1526716501,1.586114049,3.6422305107,-0.9655982852,-0.790133059,6.1715431213,-3.9522404671,-3.5397105217,6.7996711731,2.2851748466,-4.8958325386,-1.9819898605,3.9250280857,2.3355746269,3.8848950863,0.8431867957,0.6975880265,-2.29652071,6.4646072388,-8.0448732376,0.7227877975,3.3762326241,-5.7404923439
8,-10.0580568314,5.829012394,1.7205129862,0.5155895352,2.5175731182,0.0293268561,-3.4809110165,-0.4364026487,-3.1085140705,3.2045006752,0.1413259357,0.7414543033,6.9583363533,-1.7206587791,-5.0218315125,5.0468854904,2.2515752316,0.682654798,1.4003822803,4.8536872864,4.8779535294,4.037027359,-1.2857289314,3.6347637177,-4.7231674194,2.1619758606,-1.3221286535,-2.4785192013,1.7858457565,-4.6811676025
9,-5.8142251968,8.233259201,2.1853091717,8.6084566116,0.9813190103,3.0169022083,-3.2606461048,-2.2218546867,-6.9332823753,0.278524816,2.5997056961,2.7191712856,5.9494113922,1.8614450693,-3.0319812298,1.3686491251,1.8194454908,7.7105970383,4.5792894363,5.4911484718,8.121260643,4.859287262,-1.243729353,5.7431464195,-3.7198421955,-2.5027856827,4.6548886299,-5.5248942375,0.104926236,-0.9422651529
