,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
0,1.2034505606,0.9131862521,-0.7350668311,-4.9835653305,-1.3249286413,2.8050372601,5.470615387,2.5306396484,1.7755790949,-0.90679878,4.4588904381,2.9394361973,1.9398444891,1.2165170908,-0.2964037955,0.712521255,3.5610311031,3.9138281345,3.9184949398,0.8291869164
1,0.7134545445,-0.7294669151,0.4315901995,-5.4334282875,-1.873724103,8.145526886,2.7695710659,-0.0061395192,1.1409176588,2.9917025566,4.1163597107,1.9314445257,-0.0836055502,2.5549061298,-0.5530683398,-2.4309196472,0.9430526495,-1.2269294262,4.4299573898,-0.2320043296
2,-0.2049378753,-2.1714549065,4.0603604317,-2.1863882542,-2.5083856583,9.7013807297,-0.615601182,0.3419909477,0.5790556669,5.3287496567,3.2147672176,2.0173103809,-1.7589250803,4.8891534805,-0.223604396,-2.7818500996,-1.9306570292,-6.0419564247,-0.4476025403,-0.14613837
3,-2.2190546989,-3.7730417252,5.3492832184,2.6622385979,-1.4182611704,7.916862011,-2.3534536362,1.0027855635,4.1023597717,5.6115474701,0.650921762,2.0499768257,-3.1626467705,5.6610136032,-0.2376042753,-0.6846672893,-4.7558336258,-4.475836277,-3.1449136734,1.6150470972
4,-0.8629324436,-0.5176019669,4.2386255264,4.9787526131,-0.2030712366,3.5778310299,-3.6405096054,2.8797032833,4.3394246101,3.1746342182,-2.853716135,-0.7490667105,-1.6982588768,4.2376923561,0.2187919617,-0.4952021539,-5.2532963753,0.2411917746,-1.113063693,3.4592986107
5,2.5978391171,4.5456895828,2.8367702961,5.3940825462,0.303724587,-3.4603776932,-4.5757017136,3.6860966682,0.6621216536,-1.9661233425,-3.7301087379,-5.0348982811,1.8175787926,0.3018579483,1.2697166204,0.0610599257,-4.1034393311,1.7055797577,-0.9599983096,1.1539843082
6,2.3131747246,4.9638195038,-1.6170595884,4.2162256241,2.14797616,-8.9361991882,-2.0613226891,-0.1517383158,-3.2793126106,-4.8612995148,-3.5938432217,-4.2294383049,3.223167181,-3.8859741688,0.7442542911,1.6738466024,-0.651067555,-0.8853322864,-1.3267953396,-2.11358881
7,1.5021147728,2.9039697647,-5.6490263939,1.3369160891,1.6822465658,-7.8638081551,1.796112299,-2.8201162815,-4.7082343102,-2.4075863361,-1.622659564,-0.5073353648,2.9077031612,-4.120238781,-0.9646649361,2.3589076996,4.0118274689,-0.9161320329,0.8795865178,0.0647932291
8,1.0569183826,0.0741264895,-5.0666313171,-0.9879981279,0.1207927689,-3.7730417252,3.5768976212,-2.6465177536,-2.5485186577,0.278524816,1.7429127693,1.4106488228,3.1149015427,-4.7754335403,0.3877238929,3.746762991,6.8034043312,5.0338191986,2.7621042728,1.0858514309
9,-1.1765298843,-0.7910664082,-1.7915915251,-1.5171937943,-0.2329376489,0.1805256158,4.3272914886,-1.4639941454,0.9197195172,1.003718853,2.5950391293,2.8675701618,2.474640131,-4.2770376205,2.8507702351,3.0654351711,6.6223392487,6.8538041115,3.8298289776,-0.8946655393
