,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,4.157597065,2.745701313,3.9980239868,-1.5954347849,2.7083742619,4.4459486008,-4.6394557953,2.4722807407,-2.234660387,3.4698462486,-0.521348834,-1.4825204611,-2.3569066525,-0.1322143227,-5.8600502014,0.4622189701,3.9392337799,8.573387146,0.7645680904,1.4709825516,1.4859133959,-1.4657232761,-8.8760757446,-4.2717843056,-3.300347805,2.8418185711,12.2473020554,-0.1788731366,-1.5198475122,-0.5092175603
1,1.6249566078,-1.2968183756,0.3689013422,0.9540028572,-1.1008512974,1.8853127956,-6.3667650223,0.3903644085,-2.6769859791,4.726834774,-1.5637067556,-2.6863179207,-2.7301771641,-1.5385110378,-4.2475218773,1.3851302862,4.0549478531,2.4470849037,-2.0349607468,5.1038379669,3.2878768444,-0.6025351882,-9.9576272964,-9.0813751221,0.6880476475,0.1468053907,8.7012319565,-3.1902329922,0.8186923265,-3.4627203941
2,-2.0330944061,-3.6726851463,-2.5939333439,2.9510002136,-4.5302743912,-1.2716225386,-6.7456345558,-1.891251564,-3.1109130383,3.7712621689,-1.1540423632,-2.880418539,-1.488119483,-2.2327940464,-0.0351639837,1.4756484032,2.5002760887,-4.2325911522,-3.9955642223,7.0989685059,4.4692778587,-0.4233653247,-6.9126729964999996,-10.1255989075,3.4661133289,-2.7040481567,1.6576178074,-5.2124261856,2.8567492962,-4.5228085518
3,-5.4774479866,-4.2549872398,-3.5401740074,3.7880592346,-5.7051429749,-3.7277424335,-5.0295233727,-3.1342425346,-1.981769681,1.1807646751,0.605928123,-1.2230974436,0.3353070021,-2.1226792336,4.8761429787,1.2498197556,0.1057456359,-8.544798851,-3.7380075455,6.5120010376,4.0773439407,-0.1294147819,-0.8740894794,-6.436753273,4.449681282,-3.9563708305,-5.1788315773,-5.6538186073,4.1827926636,-3.1706364155
4,-6.8417520523,-3.2396912575,-2.5799357891,3.681677103,-4.3147106171,-4.6086611748,-0.7583755851,-2.7320435047,0.6133935452,-1.8847193718,2.3024425507,1.812525034,1.16583395,-1.2202978134,8.1319952011,1.007193923,-1.7242130041,-8.9152698517,-1.2613576651,3.4390513897,1.8909118176,0.7151097655,5.3268671036,-0.5988024473,4.1743941307,-2.732976675,-8.6157197952,-4.3977632523,4.4328842163,-0.0696915016
5,-4.6403889656,-0.8199652433,-0.8666240573,2.0112915039,-1.7419433594,-3.3460733891,3.8636465073,-0.718249023,3.0303201675,-3.9573040009,3.2300198078,4.2957072258,1.3916625977,0.6591191888,8.1114654541,0.5144768357,-1.4573246241,-5.1097764969,2.1932609081,-0.417766273,-1.088719964,2.6430518627,9.1864843369,4.1921243668,3.3522658348,0.4323573411,-8.5849246979,-1.6952846049999999,3.1283035278,2.623455286
6,0.4444886148,1.4905792475,0.2877150178,-1.0831209421,0.7253746986,-0.3113841712,7.400384903,1.8349212408,4.7893571854,-3.5961647034,3.3811943531,4.4114208221,1.5577679873,2.496543169,4.4748768806,-0.0370303355,0.4762166142,0.6572528481,5.1308999062,-3.9479720592,-3.8798503876,4.4711441994,9.2788686752,6.8535432816,2.0570173264,3.4073233604,-6.1437358856,1.8526515961,0.5210090876,3.5678296089
7,5.0553126335,2.8660809994,0.8196254969,-4.1989965439,2.7876942158,3.3252038956,8.6237783432,3.3121392727,5.3865904808,-1.6635565758,2.7746298313,2.7055747509,1.7369377613,3.3140056133,-0.8563591242,-0.4532269537,2.4078915119,5.3763251305,5.7906556129,-6.1782636642,-4.8886137009,4.3423657417,6.2553772926,7.1269640923,0.8793487549,4.5635285378,-2.6881842613,4.9890570641,-2.1749372482,2.7298374176
8,6.5269317627,3.8561811447,1.4401876926,-5.5483694077,4.1193370819,5.5694928169,7.0075173378,3.0499167442,4.4310178757,0.2139940858,1.872248292,0.8280240893,1.9870290756,2.5823955536,-5.3999943733,-0.5558763742,2.6365196705,7.2688069344,4.0166873932,-6.0756139755,-3.1463737488,1.9581005573,2.229654789,5.4155187607,-0.4485610723,3.3289365768,1.0575854778,6.5614590645,-3.7893321514,1.1313064098
9,5.0105199814,3.9075057507,2.4097578526,-3.5840334892,4.0894751549,5.4556450844,3.0368523598,1.9935612679,2.181129694,2.4386863708,0.8541530371,-0.6463944316,2.1764638424,0.6637850404,-7.5351018906,-0.0883550271,1.1275737286,6.3524274826,1.0771821737,-3.521510601,0.6927134991,-1.1447105408,-2.0620229244,3.0648477077,-1.9939010143,0.3353070021,5.0301170349,5.7962546349,-3.2648870945,0.0497550592
