,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-1.8410577774,0.4847897589,-4.6009016037,-11.7016429901,1.2790498734,-1.2063963413,-4.1211724281,-1.3622616529,3.7430295944,4.2348923683,5.1430182457,5.0347523689,7.3279333115,-2.3851866722,0.459589988,4.7239546776,-2.0958557129,-2.3609201908,0.6649216413,-1.1485301256,-2.3021206856,-1.7999913692,-1.6123929024,-3.8038415909,-6.2631545067,-0.4270693958,3.5339646339,1.0690516233,3.1074347496,-2.3973197937
1,-3.2653126717,-1.3697283268,-5.7852921486,-12.9793663025,1.7718458176,3.4014325142,-3.0245146751,-5.7367591858,-1.1401301622,2.5969057083,6.1416764259,2.4858398438,4.1219596863,-1.7701250315,3.6459636688,3.1121015549,-5.9056911469,-5.0460982323,2.8731701374,-0.4616024494,-1.622659564,0.6033221483,-3.341845274,-3.0814476013,-7.3243460655,-2.0053231716,2.0658433437,-3.6666426659,-0.0612057336,-0.5054687262
2,-1.9987897873,-1.1289303303,-1.5871931314,-8.5834026337,3.1345012188,4.4336905479,-2.0846557617,-5.9766235352,-3.6041100025,-0.8386660218,4.45515728,-1.1699966192,-0.0658723637,-0.1564049423,5.1346182823,-1.7915915251,-6.3564872742,-5.280362606,5.098218441,1.5366477966,-0.3608032763,4.1051597595,-3.3101122379,-0.2516041696,-2.5475852489,-3.2867791653,0.6583883166,-6.4488863945,-4.5859684944,0.439990133
3,0.1095928624,-0.1125386432,3.6543636322,1.2585167885,2.6641051769,3.6179640293,-1.771058321,-5.284096241,-4.2266383171,-2.280654192,3.7551629543,-3.5005106926,-2.4169197083,2.6631717682,4.6642222404,-6.1035561562,-2.0370562077,-2.8863825798,4.602622509,0.8917197585,0.508122921,4.2703585625,-2.3711867332,4.1032934189,4.1956925392,-1.6058596373,-0.8349326849,-7.1190142632,-5.7600922585,-1.4761273861
4,2.1759757996,-0.1181385964,7.9215283394,12.1914930344,1.0541183949,3.0813016891,2.1433093548,-2.7734501362,-4.2154383659,-2.5102522373,0.2831914425,-2.8089163303,-4.8174333572,5.379149437,1.3807823658,-4.5486354828,2.8115706444,0.5809223056,2.2954416275,-1.2745290995,3.3920991421,-1.0887972116,-3.6227765083,5.8000793457,4.6530222893,0.1534591615,-2.6063847542,-3.783308506,-4.5607686043,-4.2313046455
5,3.3118331432,0.5454559326,7.4333992004,14.5537405014,-2.1490552425,1.8623784781,5.2578172684,2.1918423176,-0.5064020753,-2.3926532269,-3.1869132519,-2.4141197205,-8.0766067505,4.8994202614,-1.2110629082,-1.5862598419,5.4687485695,3.4331655502,-1.1905298233,-0.6305343509,4.3776912689,-7.9524741173,-1.908257246,4.799554348,5.2923502922,3.4424986839,-3.586376667,0.9803856611,-2.9367821217,-1.6105263233
6,1.4797148705,0.6882547736,1.3705158234,11.0388364792,-4.0773057938,-0.2749373019,5.2372841835,7.0554022789,3.5255646706,-2.3441202641,-4.362903595,-2.5923848152,-7.3756790161,0.135725975,-1.3538618088,-0.236670956,6.1743431091,4.2320923805,-5.0600976944,0.6117220521,4.005294323,-8.0196733475,3.854095459,2.3598411083,7.8823289871,4.9619526863,-2.6185181141,5.4808821678,0.2729248405,3.4574320316
7,0.0750598088,-1.0561308861,-2.4234528542,3.6319639683,-2.0249228477,-3.6834425926,4.9068865776,8.9127206802,3.7000966072,1.0326519012,-6.6448850632,-0.3617365956,-1.6310595274,-2.0921223164,0.3606574535,2.4513068199,4.1247596741,4.4112906456,-7.6463432312,1.2398501635,3.8522286415,-1.6870590448,7.2234010696,-0.5596016049,5.632080555,2.9497027397,0.8879864216,6.4095411301,4.3095583916,5.9083452225
8,1.617847085,-0.0378725901,-5.3578286171,-4.1995716095,-0.569868207,-4.8062334061,1.4283820391,5.4836821556,2.1199762821,5.7412796021,-5.1076974869,2.5035731792,3.9688944817,-2.2255878448,-0.7565333247,5.2988834381,0.5211894512,5.0114192963,-5.3055624962,1.2902498245,0.3737240136,4.7099552155,5.9783444405,-2.1070556641,-0.2357376218,2.4793066978,5.632080555,3.2343671322,7.9812612534,7.291533947
9,1.2902498245,1.4489151239,-6.665418148,-8.284737587,0.5370560288,-1.0094646215,-4.8015666008,-1.019731164,2.6090388298,6.5486063957,0.6798548102,4.465423584,7.5388650894,-3.1234471798,-3.8010416031,6.8874034882,-2.2115879059,2.3738408089,1.6057138443,2.8974366188,-1.3995946646,8.222992897,1.994910717,-4.9350323677,-5.9206242561,0.1039929092,4.6296887398,0.300924629,6.8808703423,5.5378146172
10,-2.0435893536,-0.6221344471,-2.4467861652,-10.9363164902,1.9230445623,1.7774457932,-7.2151470184,-4.475836277,3.7906291485,1.8922448158,5.8486123085,6.3890080452,10.4788408279,-0.4009362757,-2.7958498001,4.9899525642,-4.1258387566,-1.259595871,9.6911144257,4.2666254044,-3.1673135757,6.6344723701,-0.4681357145,-5.5584936142,-8.4630031586,-4.0455727577,1.6626467705,-0.6949338317,1.4563817978,-0.5614683032
11,-1.0710641146,0.2374584675,2.1946423054,-7.786342144,2.5978391171,0.4502567351,-4.1753053665,-4.5729017258,1.1698508263,-2.8023831844,9.2356510162,5.7076802254,10.4228410721,3.1298346519,1.7419793606,-0.4336026609,-3.3810451031,-3.2317130566,12.6936225891,1.677579999,-6.3583540916,1.4591817856,-0.6034679413,0.1133261621,-7.1647472382,-3.1542470455,1.0121188164,0.5529225469,-1.2231961489,-4.7614336014
