,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-4.7791666985,-6.865149498,-0.7201336622,-0.1088053435,-1.2679958344,3.2446336746,-2.5485186577,1.5590475798,-3.6171765327,-2.1303887367,-0.7593333125,3.3528995514,-3.5443770885,-5.7750253677,1.4703816175,0.656521678,-0.6594674587,-0.8619991541,-0.6464009285,-1.6898590326,-4.1314387321,0.0451933928,3.0570352077,-0.4074695408,6.6195392609,-9.659526825,2.3645076752,-3.8430411816,5.0375523567,-6.8203501701
1,-6.6691513062,-3.6386430264,-0.3981362879,2.9058365822,-1.0178644657,5.3063502312,-0.5577349663,-1.7533251047,-0.6202678084,-4.2901043892,-2.4673192501,-5.2476963997,-3.9270405769,-5.6396932602,1.5357145071,1.0858514309,-3.9681069851,-2.4869191647,5.9895443916,3.131701231,-2.0342562199,1.4283820391,1.4806482792,-1.2035963535,5.7879462242,-4.4805026054,-1.7533251047,-1.6319928169,8.7895212173,-5.6928925514
2,-6.3182210922,-1.8849240541,1.1698508263,8.1604595184,2.4690401554,3.899828434,2.2049088478,-3.0329146385,0.7489209175,-2.8397161961,-6.1548891068,-10.7151184082,-1.7607917786,-0.6109345555,1.2230503559,0.0190602727,-3.8234415054,-1.4826606512,7.9103283882,4.1518263817,-0.3085370362,2.7658376694,-0.2618707418,-1.4051946402,1.6402468681,1.4209153652,-5.0796976089,-0.9217320085,9.5595149994,-2.9423820972
3,-1.6739923954,-0.5465350747,4.7930207253,9.6547145844,7.0078024864,0.4577233195,1.5357145071,-3.5126440525,3.8792951107,-0.4364026487,-6.9211492538,-6.6150183678,1.7858457565,3.9044950008,-0.3234702349,-2.0314562321,-0.7751998305,-1.1261303425,5.5611481667,3.0075690746,0.3513242006,3.6552970409,-1.7626583576,-1.6198595762,-2.2834541798,3.551697731,-3.5658435822,-2.1537218094,6.4590072632,2.170375824
4,4.905020237,1.0251853466,4.4010243416,5.6012811661,8.2827253342,-2.8135831356,1.4321153164,-2.8313162327,7.4791321754,2.2739751339,-2.2218546867,-0.6744006872,4.1191596985,4.6707553864,-2.670784235,-0.2478708625,-2.3543868065,-1.6609258652,2.040643692,2.6211721897,0.7657207847,2.0210437775,-1.6403927803,-1.1186636686,-4.911699295,4.6455554962,-3.9867734909,-0.3617365956,0.472656548,5.8952784538
5,9.4437828064,3.4032990932,2.2235753536,-1.7747915983,3.3836991787,-3.2522461414,1.7634458542,-0.8386660218,6.2639422417,5.8579454422,4.9236865044,3.9688944817,6.011944294,4.8938202858,-2.0622558594,1.6962465048,-2.2591876984,-2.2106547356,2.2039756775,1.2146503925,1.2239836454,-0.3729364872,-0.7369335294,1.122251153,-6.9211492538,3.8662285805,-4.0941057205,5.0776853561,-5.3830285072,7.2308673859
6,9.146985054,5.8551454544,-0.1900046766,-7.708876133,-2.3459868431,-2.0155897141,-2.1518552303,1.0111854076,2.1339762211,5.7104802132,8.159526825,6.8500704765,6.2854084969,4.2012925148,0.3998571336,1.3723825216,1.3630491495,-0.0182727519,0.8086537719,-0.3552033007,3.2138340473,-1.0915971994,1.0009188652,3.6748967171,-4.0409064293,2.4886398315,0.2225252688,7.7581963539,-9.0248651505,5.9214115143
7,1.1717174053,5.0767521858,-2.2974538803,-7.4456782341,-2.9479820728,-1.592793107,-3.3250455856,3.2950332165,-1.0607974529,4.6203556061,6.0707435608,4.891020298,3.2642335892,1.2482501268,3.2763667107,1.6505135298,4.3944907188,3.7224965096,-5.4334282875,-0.210537836,3.7504961491,-3.3166456223,2.0051772594,5.3978161812,1.3873156309,1.8054455519,4.1807594299,4.7566213608,-8.6692686081,2.7154381275
8,-4.9387655258,2.9021031857,-3.2205131054,-3.4109115601,-4.2639713287,0.0545266494,0.8273202777,3.6832966805,-2.5223853588,4.4383573532,3.9511611462,2.5371727943,-0.1022720635,-1.547060132,4.5102233887,0.9197195172,7.5052652359,4.947019577,-7.2515463829,-0.6286677122,3.5899641514,-4.8043665886,1.8493118286,5.1523513794,5.213950634,0.87678653,7.4548659325,1.1735841036,-4.9966316223,-0.3850697279
9,-4.3377037048,1.0737183094,-2.1938548088,1.8175787926,-2.5391852856,4.7239546776,4.0883603096,3.5190315247,-1.7607917786,2.5371727943,2.9795691967,1.2911831141,-3.4659776688,-3.1999797821,4.1602263451,0.1497258693,7.6172642708,3.0122356415,-2.4075863361,-1.3118621111,4.9180865288,-1.6030596495,3.0589020252,2.5567727089,6.8052711487,0.4969229996,8.7111215591,1.5702475309,2.4755733013,-2.2881207466
