,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,1.3833245039,2.0405910015,-3.1147539616,4.5178346634,1.229616642,1.976467371,-7.3421931267,1.7850396633,0.7892386913,7.2581734657,-0.134894833,-2.1057510376,1.5643792152,-0.2650279105,1.9095147848,2.40741539,-2.8337419033,2.5997860432,2.4460780621,0.5996969938,1.1532341242,4.4706850052,-4.5528187752,0.1630910784,8.4840650558,8.0606603622,-3.3061816692,0.5516043305,-0.6686291099,2.2763392925
1,-0.9251232743,-1.7502424717,-3.5032672882,2.7318050861,-0.1603556573,1.5747522116,-8.8660707474,-0.2725718617,-0.9901898503,4.110461235,1.6247308254,-2.9770767689,1.4502770901,0.8156424761,-0.860999763,-1.8568007946,-2.1434707642,1.3701225519,3.0213041306,-0.4262797832,3.3145749569,4.0472807884,-5.6287741661,2.2763392925,9.4478034973,7.3213539124,-2.8139390945,-2.1972212791,1.2663933039,6.0134220123
2,-2.5253829956,-4.9488759041,-2.9535019398,0.1866659075,-1.2287671566,0.3696066141,-6.024831295,-2.3094375134,-2.5838487148,0.1800649613,3.5767271519,-2.3999650478,0.8561912179,2.4715387821,-3.3627612591,-5.8541498184,-0.4225078225,-0.2782298326,2.3055720329,-1.2297101021,3.8435943127,2.3008570671,-3.6211414337,4.3292360306,6.9158668518,3.966183424,-1.6351972818,-3.8474597931,3.2513945103,6.7744178772
3,-2.0123946667,-5.9767389297,-1.2344250679,-1.3730450869,-0.9817028642,-0.8647717237,-0.7940471768,-4.0624623299,-3.2062242031,-2.933699131,5.2241363525,-0.4743724465,0.4176992774,2.8807981014,-5.2591209412,-8.0805568695,1.5672081709,-0.7912182212,0.9363456368,-1.5427839756,2.4621088505,-0.5781016946,1.2946830988,5.5013766289,1.9330896139,-0.6356242895,-0.1452677548,-3.0911791325,4.3216919899,5.0864596367
4,-0.5460399389,-4.1963672638,1.0221580267,-2.081233263,0.4356161654,-1.1382397413,3.7945585251,-4.3642201424,-2.5961074829,-4.6386313438,5.3052339554,2.238619566,0.1536611468,1.8633081913,-5.5429620743,-6.3435630798,3.5654110909,-0.3555552959,-0.6799449921,-0.7912182212,0.3950674534,-3.1656756401,5.6748871803,5.1534118652,-3.458003521,-5.1186146736,0.7373740673,-0.2735148668,3.1580381393,1.9858973026
5,1.2183007002,-0.4272227883,3.0854275227,-2.5461289883,1.7256311178,-0.9402111769,7.1327552795,-2.6498582363,-0.7261517048,-4.6499471664,3.8728270531,5.0638275146,-0.0085337199,0.4969107211,-3.1977372169,-1.0099927187,4.478228569,0.2470174879,-1.9869338274,0.9599204659,-1.3900190592,-4.3265004158,7.4826059341,2.8044154644,-7.9457092285,-7.9560818672,1.1720939875,2.6271328926,0.4497610629,-0.4027049541
6,3.127862215,3.7106320858,5.0072479248,-1.8652876616,1.8001276255,-0.7384105921,7.9786200523,0.3384878337,1.6256737709,-2.7724473476,0.7656638622,5.9436407089,-0.2254222035,-0.912864387,0.9278587103,5.2231936455,3.6813993454,0.0603047982,-2.3528151512,2.8468501568,-2.7809343338,-3.9125263691,6.5745029449,-0.9769878983,-9.5459690094,-6.9715967178,2.238619566,4.7960176468,-2.213252306,-1.3692731857
7,4.7507538795,6.2944340706,5.235452652,-0.1839304864,0.6044119596,-0.7384105921,5.7012910843,3.5229763985,4.0001311302,0.3762075901,-3.0345995426,4.213247776,-0.2254222035,-2.2886917591,4.9204926491,8.746216774,2.1933557987,-0.7817882895,-1.695548892,4.1000885963,-2.8554308414,-2.0689742565,3.2957150936,-4.5207571983,-6.4812402725,-1.7643873692,3.0920286179,5.2429962158,-3.7710773945,-1.6314253807
8,5.0176210403,6.2123937607,2.9383206367,1.4408471584,-0.5639567971,-0.7186077237,1.9510065317,5.684317112,5.9653291702,3.6946012974,-5.5457906723,1.7133722305,-0.1565836817,-2.1689314842,7.2591161728,8.5529031754,0.8080985546,-1.3711591959,-0.1188639477,3.966183424,-1.7266676426,0.7213431597,-0.3772441447,-6.4604945183,0.1932668686,4.3330078125,2.8807981014,3.1146602631,-3.7795641422,-1.3617292643
9,3.3221189976,4.1528959274,-0.338581413,2.4149591923,-0.0886881575,-0.7883892655,-1.5069502592,5.7220368385,6.3802466393,6.3491277695,-5.6184015274,-0.5432109833,0.4148703218,0.3903524876,6.9894199371,5.8842320442,0.0386159495,-0.2480540425,2.7129452229,2.4027004242,-0.0377665162,3.4098172188,-3.1270127296,-5.0733513832,7.5891637802,8.3454446793,2.212215662,1.0391318798,-1.937898159,-0.8157360554
