,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-4.9889054298,-3.0549681187,2.1677923203,-0.3263652325,0.9353075624,-1.8450802565,1.6386430264,-3.6716811657,-3.5897667408,2.1837985516,2.1065917015,2.8730108738,2.6856431961,-2.7480237484,-1.4355074167,-9.3492088318,-5.2902002335,3.1752474308,2.1979217529,-3.3524968624,6.3972206116,-3.0832145214,-2.1765048504,0.999332726,0.6669666767,-4.8382577896,-4.9069905281,4.3408823013,1.7337392569,-1.518363595
1,-3.9795670509,-8.9838886261,-1.5503761768,-1.0635963678,5.5714840889,-1.6671279669,5.2598323822,1.9888985157,-8.2937345505,-2.6359796524,5.2880787849,1.3863084316,1.9681844711,-0.8093788028,-1.6821926832,-1.329112649,-2.0390388966,1.7196160555,3.2675189972,-2.2442960739,5.1449632645,-2.6830570698,-0.9044750333,-0.9647340178,6.3105983734,-2.5211110115,-1.7368024588,1.471989274,2.1433122158,-1.5616747141
2,0.5530394912,-8.8322992325,-4.9851388931,-0.7961971164,5.8869023323,-1.2867430449,6.823741436,6.1853728294,-6.4944386482,-5.6498713493,5.0809383392,-0.5429210067,-2.4523780346,0.6697913408,2.6715199947,4.1243267059,-4.4870605469,-2.3714048862,2.9558670521,0.2686923742,2.1677923203,2.1517860889,0.3873272538,-0.0137716895,7.7699961662,2.7524929047,3.1168715954,-4.0963187218,2.8249921799,-0.7792492509
3,4.9952573776,-3.8816461563,-2.5945515633,-0.0655567646,6.6589708328,-1.5786225796,-0.991097331,7.206009388,0.0078838887,-3.4701902866,2.4417824745,-1.0711288452,-5.1244878769,2.5670082569,2.6705784798,3.9943933487,-0.0034146737,-6.1940851212,-0.4619479775,3.7759544849,-0.5542196035,5.3229160309,2.4559056759,1.4239703417,5.1308403015,2.5255801678,6.8378648758,-5.2045192719,3.5725803375,1.2036483288
4,7.6221733093,3.6516702175,2.5284047127,1.2752059698,4.3229932785,-1.9994939566,-6.9200177193,3.5339767933,7.9780778885,2.1376628876,1.6395845413,-0.242567569,-3.4692485332,3.9736793041,2.8861925602,5.2146377563,9.2218608856,-2.3186783791,-3.6170713902,4.9943161011,-0.0260117985,3.2260909081,5.6119709015,2.7694408894,1.9870153666,3.1695981026,6.5601081848,0.9710863233,4.7928247452,0.6198893189
5,3.4558284283,10.1982450485,5.3285651207,-0.363085568,-0.4289938509,-2.0409221649,-5.1527342796,1.9116916656,9.3320226669,5.7946310043,1.5350729227,1.2996861935,1.1678695679,4.8869795799,3.0556709766,6.4066362381,10.9674892426,5.1487298012,0.1971348077,6.5892963409,5.2579493523,-0.9835649729,6.9320192337,5.2061638832,-1.2867430449,6.8312740326,2.8852510452,4.9020442963,4.0876064301,2.0425665379
6,-0.8131449819,11.2471284866,6.521504879,-0.3225990534,-1.1313878298,3.7251107693,1.9738336802,3.7590065002,5.7127161026,6.4141688347,2.834407568,3.7260522842,8.6437511444,7.4065589905,2.0359756947,7.7907099724,10.3300619125,9.6898097992,3.6488456726,7.1570491791,3.8908231258,-0.8997672796,4.8031821251,6.3115401268,-0.5146746039,8.2586593628,1.8250693083,5.5771336555,0.3562562168,4.6289958954
7,2.6865847111,9.7594842911,7.0515956879,5.3398637772,0.2291474044,7.5449662209,8.3659954071,2.5274631977,6.1976127625,7.0158171654,4.7655200958,5.0912952423,10.9872617722,7.1834125519,6.5224466324,8.8348855972,3.6008267403,11.5719623566,3.437939167,5.0385684967,-1.1746989489,4.0678339005,1.8495495319,8.5448894501,2.7148311138,6.6608538628,3.7100460529,5.4359016418,-1.6002781391,5.2843122482
8,5.501809597,9.7378292084,9.2237443924,9.7990293503,2.6404488087,7.5317845345,6.587413311,2.4060037136,6.3143649101,8.4158973694,5.3596363068,5.9518690109,7.8961634636,5.4010643959,8.8395929337,5.6609311104,-3.0615587234,9.4949102402,3.5415091515,3.6554362774,0.6057661176,7.1636400223,1.8081214428,10.1982450485,4.5395488739,4.3361749649,4.6402945518,4.5291919708,0.2818740308,7.1109132767
9,5.8257017136,8.2209968567,10.7942447662,10.1483430862,7.5459079742,12.3261413574,4.504711628,5.3135004044,4.9773683548,8.6004400253,7.4140915871,6.877409935,8.3772935867,5.0818800926,4.4708161354,4.2278966904,1.8815621138,7.7144446373,4.5677952766,3.2195003033,5.3737592697,5.6863527298,3.7100460529,7.2738008499,7.3896112442,2.2892518044,5.7023591995,7.0139341354,5.4453167915,8.2059326172
10,8.4752149582,3.5339767933,6.441473484,8.7915744781,11.9476394653,13.8655700684,10.532494545,6.3021245003,4.7438645363,6.6382570267,10.2980489731,6.3369617462,8.2727823257,5.7692089081,3.8013761044,8.3961248398,3.9576728344,10.9514827728,8.7887496948,3.630014658,10.1549339294,0.980501771,3.8710505962,6.0601468086,8.729432106,2.2393498421,4.8201298714,11.1670970917,11.7828683853,9.5099744797
11,8.0082073212,0.5360916853,2.0275018215,6.7719564438,12.4155883789,8.8951444626,13.5576848984,6.8755264282,3.2260909081,3.7392339706,9.4402999878,8.1842765808,6.2663459778,8.4883966446,5.8012218475,8.2106399536,1.926756382,11.3168029785,13.2300262451,6.6034197807,11.9966001511,-0.0759137794,4.379486084,5.7334303856,9.5627012253,2.8155765533,3.7665388584,10.5532083511,13.2789869308,10.4496383667
12,6.6260166168,1.8052967787,5.7306056023,6.3670911789,10.6897325516,5.0630488396,8.8650150299,8.1842765808,4.8154220581,1.8297770023,7.3820786476,11.3007965088,4.0386457443,7.4319806099,6.6100106239,3.7712466717,4.0066332817,7.4978890419,11.9956579208,7.7690544128,10.2048358917,6.4716029167,6.601536274,3.0001196861,11.7320251465,2.34009552,7.8095412254,7.4197406769,10.263212204,6.3369617462
13,6.3783898354,3.5650479794,8.8857288361,6.5007910728,9.7641925812,1.0473515987,2.8522968292,10.3036985397,6.6966328621,4.0659508705,8.8461837769,7.6513609886,-0.1540621668,5.6524572372,7.4385714531,2.5039246082,3.7834868431,4.7551631927,7.3011059761,4.7787017822,9.3838071823,9.0561494827,11.5455989838,6.0714454651,10.7273950577,3.7156953812,11.3290433884,7.080783844,8.8113470078,4.235429287
14,2.6639876366,6.3077740669,5.8661885262,2.9869382381,9.2331600189,2.3306798935,0.0107085286,13.3477191925,4.9764266014,5.6308016777,9.6625051498,0.8703408241,0.1858362406,9.3951063156,5.2560658455,5.1732096672,6.95744133,3.2006692886,5.0573997498,4.7787017822,7.9131112099,7.2926316261,14.0444641113,10.329120636,7.2888655663,6.8736433983,11.3657636642,7.6231145859,6.9951028824,7.539317131
15,3.3230702877,9.1672515869,3.405926466,-0.801846385,8.100479126,7.8424954414,2.2035710812,12.5238656998,6.0497899055,4.6327619553,6.9291949272,1.3091015816,3.932251215,9.2510490417,3.7175784111,8.38859272,12.4767885208,4.2589678764,6.3915715218,9.2378673553,3.7260522842,8.2831392288,9.4101705551,7.5496740341,4.1525731087,9.4638385773,10.1765899658,5.5790166855,4.6836056709,10.4778852463
16,8.06752491,10.939242363,3.7467663288,2.3777573109,3.7731297016,7.0572452545,4.1299757957,5.9744663239,8.053401947,7.4781165123,1.4249118567,6.5356283188,6.126996994,7.1523413658,7.7238602638,9.7717247009,10.183180809,6.8905911446,5.6195030212,9.5099744797,-0.2529245913,7.4253897667,5.008439064,5.6298599243,1.9945477247,12.3402643204,5.2927861214,4.7372736931,4.3069868088,10.5993442535
17,9.2039718628,14.5472507477,7.7266850471,8.1343746185,-1.9929031134,3.9755623341,3.1253454685,-0.782073915,10.221783638,10.353600502,-2.8723080158,9.7368879318,9.3715677261,7.2606191635,8.5769014359,7.1438674927,7.4809412956,7.3340597153,2.7007079124,6.8651695251,0.1783038676,6.8557538986,3.6309561729,6.5412774086,2.3193814754,11.2951478958,1.5943902731,5.7503781319,4.8813304901,6.4631290436
