,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-5.825425148,-4.2107715607,-1.6198595762,8.1016607285,3.8139624596,-2.0874557495,-0.5624015927,0.3158578277,-1.0019979477,5.2970166206,-4.8967657089,-4.8808994293,-8.4732694626,-2.9573152065,-2.7193171978,-2.4365196228,2.3178412914,-3.4351780415,4.2722253799,-0.4914688468,0.7069212794,5.7674131393,0.3559908271,-1.3659949303,5.052485466,-5.0544977188,4.0967597961,4.5550227165,-1.9885232449,-0.9721315503
1,-2.4654526711,-0.2572041154,-6.2930212021,6.1780762672,5.723546505,-0.4196027815,1.2510501146,-1.1326636076,-1.8979905844,1.4797148705,-3.6498427391,-6.5963521004,-5.4548945427,0.4959896803,-1.289462328,0.7265211344,0.8982530236,-4.8808994293,4.6016893387,-0.7602666616,1.1241178513,1.0923848152,6.4851403236,-2.8490493298,7.2495341301,-8.0476732254,1.3975822926,8.1287269592,-0.6613340974,3.8671619892
2,-0.4485358894,2.2347753048,-4.7875666618,2.8685035706,3.2511670589,1.3947823048,0.6621216536,-0.5736014843,-0.5549349785,-0.1237385496,-0.5437350869,-3.8962407112,2.6491720676,3.8755619526,1.0083854198,2.8283705711,-1.2026629448,-3.9914400578,1.0317186117,0.7339877486,2.5614392757,-3.0627810955,9.0825853348,-1.8149245977,6.7894043922,-8.1148729324,1.1334511042,6.3152751923,1.4209153652,4.950753212
3,0.6275885701,4.6063556671,-1.7878581285,-0.861065805,-0.017339427,2.442907095,-0.188138023,1.1875840425,3.1335680485,-1.1410634518,1.2631833553,-0.3878697157,7.6975302696,5.0030193329,4.9059534073,2.2179756165,-1.78505826,0.5314560533,-2.4934523106,3.1802341938,-0.9282652736,-6.1511554718,6.65873909,0.3942571878,2.9478361607,-2.4449193478,1.7485127449,4.7948875427,0.7890539169,2.7490377426
4,4.2264924049,6.0567440987,-0.1274718493,-3.5098440647,-0.4541358352,2.0882432461,1.2071838379,0.4231902659,4.4178242683,-2.4187862873,1.1315844059,3.5190315247,9.2888507843,3.8270289898,7.4277992249,0.6733215451,-2.4477193356,4.2563586235,-3.1421136856,4.419690609,-4.6774344444,-4.9228992462,1.2874498367,-0.1414717436,-2.9722483158,1.5030480623,0.6649216413,-0.3430700898,-1.9875898361,0.9785190225
5,5.5126152039,4.992752552,1.035451889,-3.602243185,0.6303885579,-0.0005395653,2.3150413036,-1.5162603855,3.1447677612,-2.1481218338,2.5129063129,5.9167451859,8.1753931046,2.2133088112,6.7856712341,-0.0752056167,-1.8531910181,8.4273910522,-2.8873157501,3.7355630398,-3.6433095932,-2.4626526833,-3.8365080357,-1.2353293896,-7.8358082771,4.2852916718,-1.6469260454,-5.1506304741,-2.1443886757,-0.6986671686
6,4.8340873718,1.5198478699,2.1395761967,-4.4889025688,0.523989439,0.513722837,1.6878465414,-2.310520649,2.2123756409,-1.6758590937,4.7594213486,5.5630145073,3.4462320805,-1.1755965948,2.8199706078,0.4278568923,-0.1834713966,8.974319458,-1.4014613628,0.8114537597,-0.7276002169,-1.4565275908,-4.8995656967,2.4839732647,-10.6908512115,9.1292514801,-2.7454502583,-4.4973025322,-1.6907923222,-1.8391910791
7,2.3775742054,-3.3381121159,3.6739635468,-6.1194224358,-1.3277286291,2.3103747368,-0.8657324314,-1.8261245489,0.8086537719,-2.1835882664,3.2577002048,3.5003650188,-1.2950621843,-3.9242405891,-2.4897191525,1.5898473263,0.871186614,3.5311646461,-0.7024004459,-2.2694542408,2.309441328,2.2665083408,-2.4589192867,5.4948816299,-8.510602951,8.7055225372,-1.1559966803,-3.5593101978,-0.2721373141,-2.7351837158
8,-0.8078662753,-5.1692972183,4.4280905724,-2.4234528542,-2.4841191769,-0.13307181,-2.4813191891,0.7853206396,-0.3990696073,-1.095330596,2.1097097397,-0.5904013515,-4.4581027031,-3.7291755676,-6.6103520393,0.6145220399,2.2067756653,-2.3861198425,0.5258560777,-3.1999797821,4.8676872253,6.7268714905,-0.6902672052,3.1727676392,-2.2498543262,3.6300971508,2.0919766426,-1.2689291239,2.6379721165,-2.4057197571
9,-1.9474568367,-3.8411746025,3.8027625084,5.4939484596,-0.291737169,-3.0758476257,-1.6282595396,3.4368987083,-2.4402527809,1.7783790827,0.6873214245,-2.0127897263,-6.1670222282,-1.8335911036,-7.4167451859,-0.8881322742,4.2208924294,-5.5398273468,2.4709067345,-2.1779882908,5.5014152527,7.9411282539,-1.4098613262,0.4474567473,6.493540287,0.4381234944,0.9150528908,1.8969115019,5.0151524544,0.2542583346
10,-3.1458470821,-0.524135232,2.2347753048,12.1868267059,0.219725281,-1.5582600832,1.6701133251,3.3986325264,-3.8561077118,5.29515028,-1.7654583454,-0.9870647788,-5.4231615067,1.5749140978,-1.1345301867,-0.1517383158,6.6270060539,-7.891808033,3.4704985619,0.1263927221,6.3414082527,6.0922102928,0.0470600426,0.3242577612,15.4842662811,-3.9037075043,-0.903065443,4.2012925148,6.1482095718,3.9184949398
11,-3.5527770519,3.0206356049,-0.8573325276,14.0441446304,-0.9851981401,3.2166340351,4.4420905113,4.500890255,-0.0425392203,7.7208633423,-0.5969346762,-1.9315903187,-1.5041271448,4.9274196625,4.5848894119,-0.0798722431,5.3343496323,-5.3512954712,4.4700903893,1.3817157745,4.8070206642,2.3663742542,4.6744885445,2.9553027153,16.8693218231,-7.9702072144,0.6462551355,6.2527422905,4.4915566444,5.4071493149
12,-3.2373127937,4.4831566811,-3.7665085793,11.2217683792,4.7752876282,6.4272742271,3.3958325386,4.9003534317,3.7075631618,7.2570004463,0.0843930691,-0.9618650079,4.5298233032,6.1622095108,6.7296714783,0.4427901208,0.2663915753,2.1386427879,5.1075515747,3.1093015671,0.8067871332,-0.7779998183,6.1080765724,5.0403523445,10.3127088547,-5.5855603218,3.6356971264,5.7860794067,0.5090562105,3.6991631985
13,0.9271861315,6.0380773544,-3.5583770275,4.3982243538,10.0747108459,4.6856884956,2.8050372601,2.6473052502,6.1192765236,2.9991691113,-0.9245319366,0.9430526495,7.6265974045,6.3115415573,6.8762040138,2.9749026299,-1.1793298721,7.7908630371,2.9963691235,7.6069979668,-2.6166512966,-2.6511843204,4.1816926003,1.7569125891,3.4014325142,0.4502567351,6.1864762306,3.4760985374,-1.7887915373,1.7475793362
14,7.5985980034,5.2979502678,-0.5726681948,-2.6399846077,8.9649868011,2.1059763432,3.6692969799,0.4390568137,7.5341982841,-2.8434495926,1.2230503559,2.9963691235,9.1152524948,5.2242174149,4.6530222893,5.20368433,-0.2842705548,9.1105852127,0.2831914425,8.6765890121,-2.6437177658,-2.2993206978,3.5414311886,-0.7481334209,-3.2849125862,4.9311532974,5.4146156311,2.4830400944,-0.9767981768,0.4325235486
15,8.8221874237,2.9646360874,2.29357481,-3.8075749874,6.8360710144,1.647713542,3.0411686897,-0.6361343265,4.3384914398,-4.9518322945,4.2787585258,7.1478013992,10.0103111267,2.4410402775,2.6351721287,7.3111333847,0.9747857451,7.5873980522,-2.7389171124,5.1999511719,2.0229103565,0.2663915753,3.1727676392,0.9701191187,-6.208088398,7.140335083,2.4522402287,0.8599866629,2.3337078094,-0.8293327689
16,7.737663269,3.2035672665,4.3310246468,-1.3622616529,2.2599751949,2.1433093548,3.101834774,0.5585225224,3.6020975113,-2.670784235,5.9858112335,8.6989889145,6.5654063225,0.5575891733,1.2949163914,7.2616672516,2.9282362461,4.859287262,-3.8747742176,2.1647758484,6.4179410934,2.6342387199,3.085968256,1.8511785269,-4.1491723061,5.685280323,4.0118274689,-1.019731164,4.0444936752,0.3419909477
17,7.5211319923,3.8447620869,5.9643445015,2.1125097275,-0.9329319,1.7839790583,1.601980567,3.7280964851,5.8551454544,1.1371843815,4.9311532974,7.3876662254,2.5483727455,-0.2049378753,-0.0257393569,5.02075243,4.1331596375,3.5339646339,-0.9814648032,-0.1741381288,6.6774053574,7.0227360725,1.1885173321,3.6795635223,-3.0646476746,4.2871584892,6.3292751312,-0.7210669518,4.5372896194,0.3307910264
18,3.4602320194,4.3515577316,6.3414082527,9.4232492447,0.5939888954,0.6350551844,0.1487925351,4.198492527,4.6632885933,5.0020856857,1.7839790583,5.2270174026,0.7834540009,-1.1083971262,1.2631833553,2.9665026665,6.4842071533,1.9986439943,3.7747626305,0.4175903201,8.342458725,11.6165647507,-2.1341218948,6.3843412399,-1.6310595274,5.5536813736,5.3754162788,1.300516367,4.7948875427,1.2771832943
19,0.2915913761,3.040235281,5.3623495102,15.1940021515,1.9641109705,3.0458352566,2.9357030392,4.7435545921,2.6389052868,7.3130002022,2.231975317,2.2786417007,0.0834597424,2.0555768013,3.3370330334,1.8539785147,7.7171301842,1.0802515745,5.7646131516,1.8539785147,12.0505609512,11.870429039,0.0955929756,8.1791267395,4.1630263329,5.2820835114,3.4994316101,2.6118388176,3.3948991299,5.9764780998
20,0.1823922545,0.2449250817,3.8904950619,13.0324201584,5.1131515503,7.0703353882,6.9415364265,5.4556822777,0.8571867347,6.7688713074,3.4611651897,0.8954530358,0.6583883166,7.8281960487,5.9055452347,4.1219596863,5.6759471893,1.7457127571,7.5920643806,2.6762382984,12.1354942322,9.5772485733,7.4809989929,10.7187051773,11.8778963089,2.0574433804,2.1927757263,6.4851403236,4.1648926735,10.3285751343
21,1.2995830774,2.414907217,1.7849123478,8.6541891098,8.4749908447,8.1492595673,8.5487232208,6.2751421928,3.5208981037,6.4076743126,2.7481045723,1.3331828117,2.1629092693,11.3487005234,7.0759353638,7.4343323708,5.0627522469,1.7989122868,10.9203042984,5.372616291,8.0708608627,8.0727272034,13.044552803,11.2423009872,16.7106552124,0.8749198914,2.8507702351,12.0710945129,8.6737890244,12.2278928757
22,5.0244855881,8.5328569412,1.4339820147,10.6365728378,11.0985689163,7.4473991394,9.2748508453,9.4540491104,9.9701786041,8.651389122,4.5680894852,3.4994316101,7.0087361336,13.5728149414,7.7283301353,8.8660545349,5.7748794556,3.3164997101,9.3495168686,9.7433805466,4.4252905846,6.1855430603,13.3114843369,8.8669872284,17.6533145905,3.296900034,4.8200874329,12.827088356,10.3845748901,12.4294910431
23,7.6629972458,12.1681604385,5.2242174149,12.5890903473,12.8532209396,5.9102115631,11.2824344635,10.103644371,13.3133506775,9.5884485245,7.857129097,8.5431232452,13.1864185333,13.557882309,9.5203151703,9.0788526535,7.7012639046,8.3013916016,5.4939484596,12.9857530594,3.7663626671,4.2311587334,10.0999107361,5.5882143974,16.3494586945,8.689655304,7.438999176,10.4620409012,7.6489973068,9.5240488052
24,8.2295255661,13.4449501038,8.2323255539,10.3295087814,12.1896266937,7.178601265,13.4169502258,8.2089929581,14.3120088577,8.0465946198,9.5212488174,12.7374887466,15.3265342712,11.7966966629,10.865237236,8.6765890121,10.1876430511,13.4057502747,5.9559445381,13.2302846909,6.4786071777,4.3188915253,8.5804567337,4.624089241,10.9753704071,12.5704231262,12.1149606705,7.8729953766,5.5312814713,5.7870125771
25,8.9341869354,13.7958803177,8.6877889633,8.2005929947,11.4634990692,11.5530986786,12.4696245193,9.0928525925,11.2021684647,7.1935343742,10.5245733261,12.2269601822,14.5098743439,11.0453691483,10.6244392395,9.7816467285,9.1087188721,15.6233320236,6.8874034882,12.0477609634,8.2771253586,7.9635281563,8.478723526,7.5267319679,2.4839732647,13.1826848984,15.7241306305,5.6171474457,6.194876194,3.7840960026
26,10.1913766861,13.0781526566,9.9431114197,5.2064843178,11.2973670959,10.4480409622,9.2337846756,7.1132683754,8.468457222,7.0236692429,10.233376503,10.0971107483,12.5984230042,8.8128547668,8.8716545105,12.0309610367,6.5822062492,14.0217447281,8.1548595428,12.0514945984,8.7885885239,11.3337669373,8.9836530685,8.6448554993,-4.2733044624,11.3953666687,16.6499900818,6.0548772812,6.1295433044,5.3259496689
27,10.9875030518,10.08497715,12.447224617,4.1378264427,11.2544345856,5.7403464317,6.4431405067,5.0515522957,10.0420446396,5.1719512939,10.6776390076,11.4541664124,9.3084506989,6.5747394562,8.2444591522,12.548956871,7.3578000069,10.5619068146,9.9001789093,10.4527072906,11.5773649216,11.9497623444,9.8805789948,8.9015207291,-4.5943684578,12.0766944885,15.8333301544,7.7955293655,6.0054111481,7.1235351563
28,10.4956407547,6.6578054428,14.9989366531,7.7367300987,10.2035093307,6.8192710876,7.7385969162,8.2416591644,10.5096406937,4.6922216415,12.3249588013,11.2133684158,7.9000620842,5.6292805672,8.8651208878,11.3571004868,9.6229810715,6.4655404091,9.9869785309,7.340066433,14.3157424927,12.8130884171,10.5675067902,9.7303133011,1.5207812786,12.2698926926,12.8914880753,8.8165874481,9.1516513824,9.9328451157
29,8.7213888168,5.3922162056,14.5257406235,11.3440332413,6.5346064568,9.6957807541,11.3281669617,11.9917612076,8.8287210464,8.8035211563,13.1369524002,10.0084447861,8.2948589325,7.1814012527,9.3504505157,8.3471250534,10.2977752686,3.6786301136,10.865237236,6.2200760841,15.3601341248,13.9601459503,13.592414856,9.7461805344,10.8493709564,8.1305932999,11.7640304565,10.1045770645,13.6232147217,13.5522823334
30,8.9323205948,8.2799253464,9.758313179,15.6531982422,6.6363391876,10.2716426849,12.875620842,14.222410202,8.3331251144,14.4856081009,11.7164306641,9.2057847977,6.7520713806,10.6085729599,11.4280328751,6.70073843,11.1657686234,3.527431488,12.7365550995,7.5491313934,15.1314687729,13.1378860474,15.0904026031,12.3790922165,19.1373023987,5.1402182579,10.4116411209,13.8416128159,16.598657608,13.1612186432
31,9.6369810104,14.0861444473,5.7263464928,18.4335746765,9.1945848465,11.3832330704,13.6101484299,15.1912021637,9.2356510162,18.1834449768,8.9089870453,7.0022029877,8.4768571854,14.1328105927,13.6428146362,7.2756671906,12.7878885269,6.8323373795,13.1089525223,9.0993852615,12.2969589233,10.8876371384,14.1440105438,14.1113443375,22.3227424622,6.8855371475,7.0638022423,18.0611782074,15.0222702026,11.8806962967
32,7.8412623405,17.1138534546,6.3115415573,16.2019939423,11.5260324478,11.825630188,15.8417301178,14.4884080887,11.3860330582,17.3509178162,6.7660713196,5.8644785881,14.5565404892,16.2141265869,14.8766708374,7.0712690353,12.4378910065,13.6008148193,12.9624204636,11.7154970169,8.166059494,9.6761808395,12.8961544037,14.7077388763,19.8167648315,10.5423069,7.1254019737,17.4134502411,11.336566925,13.2545509338
33,6.7063384056,15.0045366287,9.4241828918,11.7182970047,16.0125293732,12.0589609146,14.8832044601,12.4668245316,11.3925666809,12.0850944519,8.088593483,8.0559272766,17.999578476,15.65599823,13.5980148315,10.0289773941,10.956703186,17.9827785492,11.8396291733,14.1785440445,6.0688772202,9.65284729,10.1307106018,15.7054643631,15.3722667694,16.5034580231,7.1002020836,14.1720104218,10.6020393372,13.1780185699
34,12.6310901642,13.3842840195,11.3375005722,7.7675299644,17.1707859039,13.2284183502,11.7332305908,9.2776508331,11.7472305298,7.3008670807,11.9749622345,11.2647008896,16.7722549438,13.9629449844,10.7065725327,14.6853399277,9.4195165634,17.4573173523,10.4359073639,15.526266098,7.4884653091,8.3975248337,10.8727045059,11.9189624786,11.3337669373,18.8069057465,6.6018061638,10.3425750732,10.2837753296,11.5465650558
35,19.3034343719,13.1304187775,11.0584363937,4.3767576218,13.3450841904,11.7014970779,9.8675127029,9.2468509674,14.4762744904,7.0516691208,14.1328105927,13.3917503357,13.7800140381,13.611082077,9.8712453842,16.3802585602,8.0101947784,16.1814613342,9.6864471436,16.5557231903,9.2897834778,8.1240606308,11.7882966995,9.8992452621,7.3148670197,15.1921348572,10.5516405106,6.3815412521,9.2916507721,9.7013807297
36,20.0267620087,10.8073711395,13.2816181183,4.7967543602,11.1452350616,8.7839212418,9.2636508942,10.8755044937,15.6849308014,9.8273792267,14.1832103729,14.2877426147,11.1807012558,10.138176918,8.4152574539,14.5854740143,9.0013866425,13.8873462677,8.6933889389,15.1968021393,9.6155147552,10.787771225,8.0717935562,10.2035093307,3.961427927,13.0790863037,14.9214706421,5.9466114044,9.3383169174,8.5897893906
37,15.9555959702,8.0167274475,17.1007862091,11.2180347443,9.9356451035,8.7297887802,10.0868444443,12.043094635,13.9900121689,12.5153570175,13.4234828949,15.160402298,8.9967193604,5.0786185265,6.7614049911,10.1783103943,11.7369642258,11.7724304199,7.431532383,11.0593690872,11.687497139,12.514424324,8.5291233063,8.573923111,3.5423645973,12.2969589233,18.168510437,6.7968711853,9.3719167709,9.0265865326
38,11.642698288,7.7124633789,15.6886644363,16.2691936493,9.8236465454,11.1489686966,10.9893703461,12.7869548798,10.2511091232,12.2680263519,12.5377569199,14.6321401596,6.577539444,2.7966372967,10.253909111,7.5024652481,13.7258806229,10.6972389221,11.0005702972,7.8953952789,14.9625368118,14.1617441177,11.8312292099,10.8484373093,4.7407546043,7.6256642342,19.011302948,7.6079311371,11.4681663513,11.0733690262
39,9.2963171005,9.455915451,10.257642746,15.2294683456,9.6873807907,13.4664163589,11.1321687698,11.3944330215,7.4025993347,12.956820488,10.8129711151,12.4528245926,7.8944621086,5.7879462242,14.1710767746,7.7600631714,14.2793426514,8.1445932388,15.7661304474,7.8589959145,17.5749149323,16.5202579498,14.8804044724,14.4762744904,6.1902093887,5.3343496323,15.5598659515,10.3808412552,14.376408577,13.1836185455
