,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,0.6342020035,-0.3902364969,-2.0730371475,-2.213909626,-4.2292456627,6.0352640152,0.6524099708,4.5029187202,1.6883481741,-2.5771107674,5.0779075623,-1.5756719112,-5.7807569504,1.7142226696,-5.1616859436,-2.8023147583,7.5819840431,4.382171154,1.3107721806,-1.8439999819,-0.065367803,1.8723446131,1.5848501921,1.1900244951,1.3644378185,-0.3001549244,-6.6825313568,-4.2052874565,1.2484817505,1.0232777596
1,1.3711460829,-0.7716457844,-2.0663290024,-2.487029314,-0.7812289596,2.9015746117,4.9811177254,2.9303240776,-0.8483109474,-4.2407450676,1.6557655334,3.6873929501,-2.1909098625,1.3222719431,-3.771171093,-3.7232553959,1.4669774771,0.4454139769,1.2628564835,-0.9690586329,-1.6187959909,-2.278116703,3.3481492996,2.0908403397,6.2595095634,0.9935700297,-3.9522924423,-4.0260825157,-0.025118582,-0.1228666902
2,3.1746945381,1.0127363205,2.2480039597,-0.119033426,4.3562965393,2.2892115116,2.0400497913,4.7012896538,-4.0931649208,-2.0874118805,-2.1813268661,5.0664076805,1.4621859789,2.1234230995,-1.356217742,-1.2939273119,-2.9038960934,-4.3298683167,0.4166645408,-0.0021190268,-2.3902394772,-3.156891346,3.3136501312,-0.4975677729,4.7789134979,4.3476715088,-0.3375291824,-0.2091150135,-0.6489815116,2.5239987373
3,3.7075173855,0.6984090805,5.5081911087,1.9643428326,7.6040253639,3.9902203083,0.1665443778,4.2566318512,-1.7817095518,3.1449866295,1.4765607119,6.4597973824,2.2547123432,3.9135551453,1.1526502371,3.2628593445,-2.83010602,-3.5833413601,-0.8214781284,3.2676510811,0.7846574187,1.8033460379,4.2614235878,0.3007084429,-2.4716961384,2.6821205616,3.6768512726,3.5321457386,-0.8118950129,2.4770412445
4,2.9399073124,-0.8147699237,7.5388598442,3.8570146561,5.7621440887,3.8273067474,0.6006609797,-0.6173571348,1.6078498363,6.6121697426,4.3562965393,3.9825537205,1.7774715424,4.3102974892,0.9859035015,4.1876330376,-5.3150162697,-1.2738027573,-1.8880825043,4.4617114067,6.1243872643,2.5287902355,4.0017199516,0.8459895253,-4.3749094009,-0.2876968384,3.5858113766,1.6768484116,-0.5876493454,0.6073691845
5,1.5973082781,2.6533710957,4.0803017616,6.582461834,3.1018624306,1.797596097,2.0802989006,-2.9345622063,4.3754630089,3.3002336025,4.2767562866,2.2997529507,6.5307126045,0.9446959496,1.7343473434,5.2638206482,-6.1085009575,2.8469507694,0.1742108911,3.4296061993,3.1382784843,-1.4328830242,4.9006195068,4.057302475,-2.1497023106,0.5239957571,2.5929973125,1.5340595245,2.4866244793,-2.3030328751
6,3.2561511993,7.6193585396,-0.7016888261,6.4827971458,2.9408655167,0.4051647484,7.457403183,-1.2872191668,7.4478201866,3.2484846115,4.3495883942,3.0836546421,9.9336881638,0.6016193032,7.8301877975,5.8589339256,0.9830285311,6.042930603,4.7012896538,1.9078023434,2.0553827286,-0.4285691082,3.3165249825,8.0908489227,0.3026250601,3.6864345074,3.8665976524,6.1713447571,5.978723526,-3.6005909443
7,8.703212738,9.3999071121,2.4367921352,7.7726888657,4.2710065842,3.7410583496,9.817732811,1.8033460379,7.5149021149,8.8536682129,5.8014349937,1.0769433975,6.057305336,2.4818327427,12.6696767807,6.3524661064,8.7367534637,6.5201711655,5.6423549652,2.0678408146,6.6658353806,6.6600852013,-0.8329779506,3.6701431274,3.2523179054,6.3218002319,5.6481046677,8.5872564316,6.7693333626,4.1665501595
8,12.3639745712,8.0026845932,6.4166731834,8.8182096481,6.0410137177,7.1584091187,9.157453537,7.1124095917,7.0932435989,9.9413547516,10.2413072586,2.7530360222,3.0319056511,6.4617142677,12.2518520355,8.4233846664,14.3582277298,9.9375219345,5.6116890907,7.0817437172,6.8344984055,14.9332170486,0.9446959496,0.2039186507,7.2187829018,5.8493509293,8.6955461502,10.3783464432,8.7798776627,12.6140947342
9,11.8397769928,6.3783407211,6.607378006,5.1861972809,7.236032486,9.6260690689,10.339056015,11.9298582077,9.3481578827,9.3021593094,12.6131362915,7.2398657799,3.2063188553,12.1339788437,7.1210346222,8.5192155838,16.7655143738,13.0827112198,7.7640638351,11.4708251953,6.2882590294,16.6150588989,2.9878230095,4.0247197151,10.8699617386,6.2068023682,9.6998596191,9.0414972305,11.3309116364,13.0012540817
10,8.528799057,8.7952108383,6.6830849648,6.5163378716,9.4535732269,11.093249321,11.3922433853,14.7108879089,9.9269800186,6.5805449486,10.6754245758,10.8584623337,4.1560087204,13.1833343506,4.6658320427,7.5810256004,13.1517095566,13.0894193649,11.3855352402,11.407576561,5.8119769096,10.2393913269,6.6246275902,10.2585573196,14.4061431885,9.2092027664,7.9432687759,6.1004295349,11.2005805969,10.5920505524
11,5.7199783325,8.9782485962,6.7530417442,9.9164390564,12.6428442001,12.0323982239,11.4305763245,15.8656568527,8.3150949478,2.9542820454,8.3591775894,12.1138544083,6.9724960327,11.253288269,7.7803554535,7.8972697258,9.0510807037,11.2753295898,14.5728902817,7.4890275002,5.9585986137,6.0458054543,11.8407344818,15.0223398209,14.0793581009,10.7587976456,4.5192098618,8.2844285965,10.5671348572,9.947104454
12,4.9140357971,6.5096297264,8.2518463135,8.5278406143,11.061624527,14.7482614517,8.4578838348,13.5082025528,6.7817912102,6.9772872925,9.5982780457,10.6160087585,6.8555812836,9.9442300797,7.9873514175,9.0127477646,7.8934364319,6.0611386299,9.7966499329,3.9710540771,9.567612648,7.5589842796,14.3342695236,11.7343616486,8.3026371002,8.3524694443,2.5249569416,9.3012008667,7.9863929749,10.8345041275
13,4.2662148476,5.978723526,11.5101165771,8.9571657181,5.0788660049,12.3093509674,6.3706741333,10.8881702423,4.2968811989,8.4751338959,10.4090127945,10.8709201813,6.7827496529,7.3136558533,5.3146114349,9.4123649597,4.685956955,2.8191597462,2.0985069275,8.3007202148,11.2331628799,8.8019189835,14.3917684555,4.9657845497,2.9571568966,2.9935729504,4.0783853531,6.9581212997,4.9581184387,9.978729248
14,4.396545887,4.5134601593,9.8752317429,7.1325345039,3.9039719105,4.5853338242,6.3984651566,9.0721635818,3.4564390182,3.6366021633,5.4363174438,10.8479204178,9.725733757,6.0017228127,4.5882086754,7.1938667297,0.2499177605,5.1804471016,1.8570116758,12.7588005066,8.6667966843,6.9159550667,9.9796876907,4.5105853081,2.7817854881,1.3538963795,5.8838500977,5.4324841499,5.8196430206,5.8206014633
15,5.2063217163,4.3860044479,4.2269239426,3.9317631721,8.843126297,-1.2977606058,4.4320034981,3.6605601311,6.6121697426,2.5728728771,1.1555252075,8.1148071289,10.7827558517,4.7329144478,7.8589372635,5.8713922501,-0.143949613,5.9058914185,4.1560087204,9.238910675,5.0721578598,3.2695674896,4.4789609909,4.9149942398,4.799996376,5.2484874725,8.5393409729,3.5666451454,4.7118310928,2.1090483665
16,4.6303744316,5.7353115082,4.5815005302,7.6078586578,9.0443725586,-2.7285244465,2.1473810673,0.4051647484,5.9691405296,5.4133176804,0.4444556534,4.5470013618,9.1411619186,3.6490602493,13.3347473145,5.7008123398,3.6260607243,4.1742167473,6.4435062408,3.4813551903,4.4377532005,2.2173380852,1.5091433525,3.1267786026,5.2484874725,10.432012558,10.2978477478,5.0175337791,2.6955370903,2.1780471802
17,6.7204589844,3.9173884392,7.3203639984,8.3591775894,5.3931932449,3.4487724304,2.4387087822,1.65480721,4.1550502777,11.4899921417,3.3395245075,2.0199251175,5.610730648,5.5934810638,11.2916202545,4.9677014351,8.5364656448,3.9432628155,9.300242424,0.304541707,8.025683403,6.6112112999,-0.6968972087,1.247523427,3.2781925201,11.6318225861,6.9974122047,6.7980823517,4.5268764496,5.7401032448
