,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-3.3185715675,-5.0901474953,6.0184421539,-0.8541798592,-0.836294651,2.337857008,0.9672862291,1.6205664873,5.416934967,-2.8064901829,-0.6574426889,-2.7170643806,-1.5601744652,-1.3003684282,-3.3759925365,-1.2335343361,6.8646945953,3.3751983643,1.3842936754,-0.2489071637,-2.3019394875,1.1451967955,-1.4547458887,1.4078267813,2.8979461193,2.2070126534,-0.0163996052,0.8355005383,2.8386425972,5.031932354
1,-4.3907423019,-1.4895750284,4.4323077202,1.611153245,-0.6075524092,3.5700528622,0.062671788,1.0793039799,3.228351593,-2.1842737198,0.3083579242,0.3911946118,-1.3747332096,-0.4155218899,-0.3665729165,-2.0873169899,5.0469937325,5.0517001152,4.9246211052,-1.867046833,-1.781386137,-1.7983299494,2.1580636501,2.0356912613,2.0799336433,0.9898779988,-1.8981105089,0.2895313799,5.8113503456,7.7749567032
2,-4.134701252,2.5449488163,1.0633014441,2.8800609112,-1.0151466131,2.5308289528,-0.0060450179,0.8806841969,-0.4032846391,-0.6386162043,0.757370472,2.3858647346,0.0005442649,-0.2771469355,2.1863036156,-1.0226771832,1.4906635284,5.4395265579,5.3811645508,-2.3546535969,0.5446307659,-4.3756809235,6.0146770477,2.49411726,0.4796792567,0.2161079496,-1.8162151575,-0.2046648264,6.1182227135,6.9484724998
3,-2.38854146,6.6378350258,-2.3537123203,2.4178698063,-0.8607691526,0.9974086285,0.0184294619,0.1605697125,-5.2934737206,0.8919801116,0.3761333823,2.9666628838,1.2685105801,-0.2084301412,4.0256547928,1.281689167,-2.1607406139,5.4743556976,3.1794025898,-1.6966667175,3.24153018,-5.0364918709,7.9349822998,2.7030916214,-0.4804733992,-0.0992363021,0.1059727892,-0.5397769213,3.5305173397,3.8091497421
4,1.7448215485,9.1973009109,-3.714869976,1.8879032135,1.9377934933,0.1643350124,0.4109624624,-1.4669831991,-7.8717660904,1.8944923878,-0.1717184186,3.8402135372,2.62119627,1.0397683382,5.8546514511,2.9647803307,-5.3123002052,4.7787156105,1.1339008808,0.5032123923,4.9057946205,-3.3552834988,7.1960411072,2.5110609531,-0.0051036919,0.1888094842,2.7435686588,0.5079190731,0.6830056906,0.4825032353
5,6.895758152,9.675494194,-1.7145519257,3.4213235378,8.0799465179,0.6613551974,2.2183086872,-0.5661340356,-5.1353311539,3.6425349712,2.1251173019,6.0052638054,5.2023124695,3.7846753597,8.319984436,4.0200066566,-4.717382431,3.3497827053,0.3591895103,3.73478508,6.2227101326,0.6161715388,5.2795014381,2.9243032932,2.7689843178,1.0049391985,5.2409067154,4.0849585533,0.3714267612,-1.0932767391
6,12.1078805923,8.2343235016,4.2694582939,6.8468093872,15.265089035,3.6077060699,5.2352590561,5.0742921829,2.7746324539,7.2713475227,7.7184772491,10.1075630188,9.9889554977,8.2060842514,11.9422073364,5.9977331161,1.0708321333,3.7649073601,1.1451967955,7.6770586967,8.2503261566,6.0899829865,5.5487203598,5.8894805908,8.1317195892,4.1630883217,9.0504541397,10.7711982727,3.3996729851,0.5719292164
7,17.1609191895,7.6789417267,13.6996631622,11.729467392,21.0485973358,8.3689336777,9.5399436951,13.5951766968,12.5230054855,12.4768810272,13.8803977966,15.4580602646,16.4125652313,13.7627325058,15.7668151855,9.8637590408,10.9171037674,7.8963880539,4.5593867302,12.1342382431,11.5487327576,12.4947662354,8.7228717804,11.8254833221,15.0495252609,10.7561368942,14.878203392,18.8788394928,9.0410404205,6.0259728432
8,20.4593257904,11.2606878281,23.5534648895,17.3444786072,24.1144962311,13.8342733383,15.0212850571,21.9626235962,20.1533946991,17.9149227142,18.879781723,20.0837364197,21.5719738007,18.879781723,18.4345340729,14.8396091461,21.5041980743,14.3548259735,10.7486057281,16.5236415863,15.7724637985,19.4737586975,12.2810850143,18.2048511505,21.4496021271,18.4627742767,20.0197277069,24.9776916504,15.0429353714,14.0987854004
9,21.4138317108,16.8239250183,29.6071338654,21.4081840515,23.2917766571,19.6883811951,19.7693347931,25.8211193085,24.76212883,20.9318714142,20.9874095917,22.9265422821,23.4028530121,21.7282333374,19.2732563019,18.3695831299,27.9249839783,19.6648464203,18.3789958954,19.8069877625,18.4533596039,24.4373703003,15.3931093216,21.6180992126,24.7414188385,23.4207382202,21.8393096924,25.5829639435,19.4850540161,21.0796604156
10,19.3269119263,20.4470882416,28.1443138123,21.7037601471,18.4486541748,22.7411003113,21.4872550964,23.4762763977,25.0360546112,20.1919898987,19.5528297424,22.3033847809,21.6359844208,20.627822876,17.3275337219,19.025686264,28.31939888,20.1684570313,23.7144317627,19.98960495,18.0617694855,24.6002197266,17.1204433441,20.8499774933,23.0988044739,22.4455242157,19.4201030731,19.5613021851,20.8396224976,23.7191390991
11,12.9663705826,19.3410301208,19.3146743774,16.3334941864,10.3636035919,20.2042274475,18.8760166168,17.086555481,19.883234024,16.469045639,14.7238264084,16.2911338806,15.75740242,15.3978157043,12.48158741,17.8725624084,22.7627506256,15.5314836502,23.2814216614,15.8534173965,15.1389513016,19.6780261993,16.1169891357,16.2355957031,16.6827259064,16.0736885071,13.0727405548,9.2518978119,18.3921737671,20.5515766144
12,3.9823536873,12.5728960037,7.2685232162,6.2867202759,0.4966231287,13.2252349854,11.8104219437,8.0385284424,11.0084123611,9.9324760437,7.3532428741,6.2998986244,6.9993038177,7.9086251259,6.2537736893,14.0969028473,12.2895565033,8.8386554718,16.6959037781,8.1712551117,9.7131471634,11.2616291046,12.0975265503,8.5374307632,7.9095664024,7.9010944366,4.949095726,-1.5036948919,12.8119926453,13.0266151428
13,-4.1714129448,4.1828560829,-4.0706911087,-3.2470309734,-7.8858861923,4.3061699867,1.8361302614,-1.5780596733,0.5634573102,2.1778316498,0.2019880563,-3.6019108295,-2.5805718899,0.8082020879,0.4363782704,7.1113219261,0.4617940784,2.2973799706,6.2820134163,-0.3100933433,2.7689843178,2.8480558395,5.3218607903,-0.7016850114,-0.8165268302,0.5756945014,-2.725536108,-9.1943292618,5.4894170761,5.1091213226
14,-8.8253297806,-2.1277940273,-11.8121576309,-8.6125898361,-12.209397316,-3.9887957573,-7.2307229042,-8.4403266907,-7.2881441116,-4.4924054146,-4.1544694901,-9.7242956161,-10.6543264389,-3.924785614,-3.3515181541,-0.6395574808,-9.0973730087,-2.5655107498,-3.9643213749,-5.6238794327,-3.1124212742,-3.0804162025,-1.6533657312,-8.3480768204,-6.9097309113,-4.6910252571,-7.3935723305,-10.3841657639,-0.935133934,-1.6354805231
15,-8.1438093185,-5.1014432907,-13.8529520035,-8.7434339523,-11.6850786209,-8.7406101227,-11.7133178711,-9.6612272263,-9.5379133224,-8.031791687,-4.5375890732,-9.960568428,-13.2975702286,-5.0402569771,-4.1478800774,-6.7760624886,-12.758190155,-4.3512063026,-10.9018945694,-5.9448714256,-5.3894891739,-6.2620983124,-5.1466269493,-10.4048748016,-8.4968070984,-6.4701313972,-6.5953278542,-4.9065890312,-4.3107295036,-6.3872947693
