,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
0,-10.4569005966,-0.8015911579,-1.5569288731,-1.6333112717,-2.1274397373,0.1451742053,2.4196741581,-2.9714188576,5.9266667366,2.2744531631,-1.0694012642,1.5200585127,-1.2136793137,-4.3321585655,1.9576075077,-4.1331868172,-3.0081956387,-6.7547082901,-2.1689314842,-4.2076830864
1,-5.7768239975,3.820962429,-2.198164463,-2.5319840908,-1.0005627871,4.1811857224,2.3074579239,-0.1150919721,5.235452652,3.0590238571,-0.2141062766,0.9203147888,1.9057428837,-4.8404316902,2.970382452,-2.7809343338,-3.1364426613,-0.7393535972,-4.9658498764,-3.2307422161
2,1.289968133,7.3411564827,-2.1132948399,-3.1553025246,0.5996969938,6.806479454,1.6549066305,2.8251614571,2.0443627834,3.2806272507,1.4455621243,0.5242575407,4.3792142868,-3.7371294498,2.9496364594,-0.1792155206,-1.8803756237,5.8474550247,-5.8984704018,-0.6422252655
3,7.7221260071,7.8456583023,-0.8817455769,-2.8516588211,1.9962701797,6.7432990074,0.3884665072,4.5385804176,-2.1095230579,2.842135191,3.2051877975,-0.4281657636,5.9294958115,-1.336268425,2.030217886,2.5384914875,0.3111410439,9.9739942551,-3.9568469524,1.9660943747
4,10.9037857056,4.7300081253,0.7590628862,-0.963786006,3.206130743,4.1830720901,-0.685602963,4.5998749733,-4.7668781281,1.1494621038,4.3782715797,-1.6493421793,6.1218662262,1.6388757229,0.543117404,4.5018033981,2.3046290874,9.7919969559,-0.1414957941,3.7540099621
5,10.1427898407,-0.4687144756,2.2263605595,1.3691796064,4.1453518867,0.6251578331,-1.2598859072,3.3315489292,-4.4726643562,-1.6059645414,4.2321076393,-2.345271349,4.4848299026,4.2462525368,-1.1882184744,5.159070015,3.6050169468,6.2906622887,4.2104187012,4.2820863724
6,5.9191226959,-5.1393609047,3.1476650238,2.6375057697,4.2622833252,-2.816767931,-1.388133049,0.879766047,-1.7342115641,-3.9568469524,2.4922847748,-1.6917768717,1.0438468456,5.6324524879,-2.2189102173,4.0321927071,3.7502379417,1.1636070013,7.1186103821,3.416418314
7,-0.1499827206,-6.8103451729,3.2231047153,2.474367857,3.142950058,-5.0337452888,-0.8430828452,-1.7323256731,2.1876978874,-4.2604908943,-0.349897325,0.2375875562,-2.9978227615,4.950668335,-2.1595015526,1.3380608559,2.6525936127,-3.9568469524,7.3392705917,1.6718804836
8,-5.8324608803,-5.1148428917,2.7016291618,1.9953272343,0.2611624002,-5.4571495056,-0.3876170516,-3.4617755413,5.3354096413,-2.2453141212,-2.7809343338,2.8251614571,-5.7985129356,2.3470637798,-0.7553845048,-1.6795179844,0.7534049153,-6.8424067497,5.1958465576,-0.5715007782
9,-9.0857877731,-1.7191237211,2.1575219631,1.669051528,-3.4674334526,-3.7135546207,-0.4272227883,-4.0907521248,5.998333931,1.3380608559,-4.0436024666,5.4853458405,-6.2021141052,-1.3315534592,1.4663078785,-3.444801569,-1.0194226503,-6.859380722,1.6134148836,-2.3858201504
