,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
0,-2.8874924183,1.8501062393,2.6686244011,-2.1378128529,3.4843137264,0.1065114737,0.1291433126,-2.1415846348,-1.7162947655,1.8604791164,3.2721402645,14.6833028793,3.9152617455,-0.9515271187,4.7460389137,5.5919041634,3.2721402645,1.3069421053,4.1359219551,1.0617637634
1,-2.267002821,1.8105005026,0.1649770588,-2.5065231323,3.6153898239,1.0636497736,1.4163292646,-6.6349482536,-1.4447126389,1.8746240139,5.8955478668,11.7364492416,0.762834847,2.4555079937,5.2863740921,8.3661909103,0.1461171955,-2.2575728893,3.1976437569,1.119286418
2,-0.5196361542,0.8326163888,-1.7813612223,-2.1029219627,2.5422632694,2.813845396,1.6445336342,-8.5313081741,-0.2546550035,1.0768516064,6.4028782845,4.8573122025,-2.0397415161,4.8233642578,3.9086608887,6.9997930527,-2.5461289883,-4.4764361382,1.3427758217,0.60818398
3,2.0632226467,-0.9854748845,-2.7309556007,-0.8364819288,0.8807090521,3.5107176304,0.7024832964,-6.8829555511,1.2579064369,0.2187276781,4.8016753197,-3.2147111893,-3.6664049625,6.0756597519,1.7360039949,2.6865413189,-3.1090960503,-4.9903678894,-0.7233226895,0.20175381
4,4.4678559303,-2.8365709782,-2.8101670742,0.8618491888,-0.6422252655,2.0632226467,-0.4639995098,-1.3966200352,2.3725244999,-0.5394390225,1.2626214027,-9.1536836624,-3.5937945843,5.6862034798,-0.4225078225,-2.0944349766,-1.009049654,-4.1558184624,-2.4169387817,0.4026114047
5,5.7861604691,-3.6456592083,-1.7304396629,2.0519068241,-1.526753068,-0.2150492668,-0.7129497528,6.0049352646,3.0288479328,-1.0128216743,-2.9685900211,-11.2612733841,-2.6045944691,3.6163327694,-2.253800869,-4.7508473396,1.9010279179,-2.0274825096,-3.1053240299,1.4012414217
6,5.3401246071,-2.6008224487,-0.2716288865,2.5714962482,-2.0142805576,-1.2721447945,0.3743215799,11.0122299194,2.9166316986,-0.2678568959,-5.4656362534,-9.0150632858,-0.8289379478,0.2715353072,-2.7224686146,-3.9728779793,3.1665248871,1.4597070217,-2.7036087513,2.7553799152
7,3.1372921467,-0.1707285792,0.7364310622,1.831246376,-2.068031311,-0.9430401325,1.8746240139,11.1216173172,2.2555932999,1.0447899103,-4.7263298035,-3.3750200272,1.4427330494,-2.9016373158,-2.1793045998,-0.6016765833,2.3102869987,5.5013766289,-1.8077651262,3.1042873859
8,-0.2763438523,2.6752254963,2.4357051849,0.4931387603,-1.4381116629,-0.3338664472,2.6469357014,6.4349398613,1.4465050697,2.0566217899,-0.9468121529,3.4645109177,3.8615112305,-4.7706503868,-0.9590710402,3.782299757,0.3950674534,8.2756633759,0.9580345154,2.2565364838
9,-3.6494312286,4.4942598343,4.4452238083,-0.7619854212,-0.0839731917,-0.0019327665,1.7756097317,-0.6167644262,0.7166281939,2.2433345318,4.2019319534,9.3733072281,6.0143651962,-4.9979119301,1.8114434481,7.5212683678,-0.9505841136,8.1078100204,5.4221653938,1.33334589
10,-5.1685934067,3.7945585251,5.2486543655,-1.6691451073,1.5766381025,0.1819509417,-0.3159495592,-6.5010433197,0.2281576246,1.4917687178,8.3322429657,13.2603263855,7.2298836708,-3.1373858452,5.186416626,9.3176708221,-0.2150492668,4.9497256279,9.5364456177,1.0495048761
11,-3.705067873,1.9660943747,5.0100769997,-1.374931097,2.6893703938,0.7166281939,-1.3721021414,-8.9358520508,-0.1886454523,0.5176565647,10.4096574783,13.8949604034,6.6433415413,0.2328725904,7.7513589859,8.7763929367,1.7360039949,0.5053976774,11.5355911255,2.2621943951
12,-0.0245646071,0.8995689154,3.5974729061,0.0961385444,2.513030529,1.8906549215,0.2583334148,-7.1686825752,-0.1490397304,0.5629202724,9.7476758957,10.8915271759,3.9133758545,4.058596611,8.6321144104,6.8630590439,2.9769833088,-2.4574875832,9.637345314,4.0991454124
13,4.1557250023,0.7873526812,1.1504051685,2.054735899,1.5210015774,3.9897582531,3.5437223911,-2.1019790173,0.1385732442,1.4531060457,6.648999691,5.0581698418,0.2498464733,6.8243961334,7.1214394569,4.8488249779,2.8628811836,-2.5216109753,4.4254212379,4.6979460716
14,7.4439430237,1.6200158596,-0.8298809528,3.9991881847,0.2489034683,6.2105073929,6.5254673958,4.34715271,0.3432027996,2.7120022774,2.8600521088,-1.8568007946,-2.0538864136,7.2157387733,3.7181761265,2.591299057,1.7539209127,-0.3970469832,-1.1806744337,3.903002739
15,9.3393592834,2.3659236431,-1.8058791161,4.6847443581,-0.789332211,7.0497717857,7.7060952187,10.0013408661,1.8472772837,4.2387084961,-0.5752727389,-6.8084588051,-2.7620744705,4.8846588135,-0.1782725304,0.2253286391,0.7873526812,2.7233181,-4.8772087097,2.5686671734
