,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,1.5191155672,4.5725283623,-3.6862080097,-1.7860761881,2.8713681698,3.3909573555,3.7096891403,1.701113224,-1.4928052425,5.2958040237,8.0389719009,-0.7770733237,1.1504051685,6.3859043121,4.4867157936,-1.8784896135,-4.9686789513,6.6857762337,-1.6870619059,-10.0382108688,8.0031375885,-5.5278739929,2.0962274075,-1.9463851452,1.1796379089,-3.0987229347,4.1029171944,-4.2010822296,-3.4108538628,-4.7687644958
1,3.2410213947,2.0707666874,-4.427400589,-4.4745502472,-0.0820872039,2.7666957378,5.8521699905,3.1655819416,1.0429039001,0.2319295853,2.6478786469,1.2984551191,-0.0858591795,4.738494873,0.8675071597,-0.1546977013,-3.5570178032,4.3877015114,3.2089595795,-9.711935997,7.2232823372,-5.3986840248,3.4588530064,-1.7898482084,1.4342461824,1.8491632938,0.5959250331,-1.6314253807,-5.6985559464,-4.0888662338
2,3.3607816696,-0.9986767769,-3.8946094513,-4.5188708305,-3.9040393829,1.4889397621,5.8936619759,3.8765990734,2.5696101189,-4.4415454865,-3.9483599663,2.7930996418,-0.9873608351,1.2711082697,-2.6234543324,1.2645072937,-0.8374248743,0.6251578331,6.6471138,-5.4505486488,4.1943879128,-3.9625048637,2.8213894367,-0.8081921339,1.6737664938,6.7979927063,-2.7564163208,0.7958396077,-4.3151845932,-1.2957197428
3,2.1518640518,-3.5673906803,-1.5899336338,-2.5847916603,-7.1394495964,-0.2112772912,4.5319795609,3.3522946835,2.7648098469,-7.5685114861,-8.6708707809,3.6012449265,-1.07411623,-2.3009505272,-4.4707784653,1.9236596823,2.6318478584,-3.1732194424,7.6381998062,1.3823815584,-0.2989756763,-0.8195080161,1.0749657154,0.7882956862,1.597383976,9.2167701721,-4.4047689438,2.5177454948,-0.3121775985,1.8105005026
4,0.4893667996,-4.7084126472,1.7162011862,-0.2763438523,-7.5223050117,-1.5993635654,2.9402065277,2.1697809696,1.9161157608,-8.1776857376,-9.8354673386,3.2749693394,-0.2348521352,-3.8974385262,-4.0209703445,1.4040703773,6.0945196152,-5.5269308089999996,6.3029208183,8.246430397,-4.9432182312,2.8902280331,-0.5102062225,2.3451776505,0.1555471271,7.8220834732,-3.7654192448,3.7445800304,3.9954161644,3.7672116756
5,-0.6978619099,-4.165248394,4.5451812744,0.9702934027,-4.4981250763,-2.3735611439,1.2258446217,0.3658346534,1.1636070013,-6.2935848236,-7.5515379906,2.3065149784,1.1136283875,-2.502751112,-1.7455275059,1.1174004078,8.1144113541,-5.8418908119,3.7370359898,12.3956012726,-8.2286071777,5.8342533112,-0.7459545732,2.8081874847,-2.4942643642,3.4956297874,-2.1246109009,4.3396086693,6.0605716705,3.769097805
6,-0.7176647186,-1.8841475248,5.3099489212,1.1909538507,0.7109702229,-2.4914352894,-0.4573985636,-1.5927625895,1.4238731861,-2.5178391933,-3.0553452969,1.1881248951,2.2131586075,1.106084466,0.8420463204,1.9387476444,6.4839758873,-4.5990257263,1.0579917431,12.097615242,-8.8321228027,7.5372991562,0.183836937,2.3027429581,-3.9851367474,-1.7577863932,-0.2744578421,4.634765625,5.2741150856,2.4639949799
7,0.5025687218,1.458763957,3.9925870895,1.1805809736,6.3566718102,-2.3745040894,-2.1264967918,-2.6762619019,2.3583796024,2.2367334366,1.5323175192,0.1979818344,1.8849970102,4.4141054153,2.9241757393,2.7308621407,1.8057855368,-1.7068648338,-1.7549574375,7.5052375793,-5.9163870811,7.2892918587,1.0372459888,0.8165854812,-2.9006943703,-5.9277033806,1.5417474508,4.3037748337,2.1528069973,1.4078422785
8,1.7303460836,4.5725283623,1.1023124456,1.8812249899,10.0107707977,-1.5324109793,-3.33918643,-2.7545304298,2.277282238,7.095035553,5.2477111816,-0.9213513136,0.9957542419,4.9893312454,4.0039029121,2.5403773785,-3.4721484184,2.394213438,-4.8658924103,0.4997397065,-0.134894833,4.8177065849,1.5521203279,-1.6719740629,-0.3593272567,-7.9391078949,2.853451252,2.5092585087,-1.4381116629,1.0278160572
9,1.7982416153,5.99644804,-1.7134658098,3.3937864304,10.4266309738,0.4601339996,-3.2430009842,-1.9209243059,0.386580497,11.1942272186,8.3331861496,-2.068031311,1.0740226507,2.2829401493,3.9303495884,0.9005119205,-7.6741271019,6.5556430817,-7.46195364,-5.9220452309,6.0247378349,0.7647208571,2.3546075821,-3.2901506424,2.1528069973,-7.5534238815,3.6898863316,-0.0198496412,-3.7965381145,1.0419609547
