15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
0.445217473,0.866039252,1.110493414,-0.408418403,1.602835084,0.405971025,0.015256367,0.015256367,1.904969442,-6.574705981,3.993129856,1.801969092,-0.915046594
0.087500971,-0.446185198,-0.020450421,0.243917142,1.091953351,2.10410345,-1.223494501,-1.223494501,0.570084915,-1.45627529,9.107440533,-3.550615726,-0.311635337
-0.313518055,-1.804416471,-0.972173649,0.789132324,0.313270711,2.830599247,-2.516492219,-2.516492219,-0.775099647,4.886486219,10.51579864,-7.478362379,0.303072231
-0.565802325,-2.722492918,-1.062813956,1.422241138,-1.479622036,2.279890713,-2.57073907,-2.57073907,-1.253707937,9.480301798,5.652122149,-8.169151388,0.827409314
-0.718302518,-2.655886025,-0.453051888,1.577428331,-3.381695153,1.155126899,-1.238601219,-1.238601219,-1.042213886,10.86599983,0.160830194,-5.316728382,1.15594368
-0.707947566,-1.386921722,0.285117282,0.865352583,-4.049824085,-0.607552412,-0.186624318,-0.186624318,-0.564978934,7.670242326,-4.768079854,-0.493565359,1.047687371
-0.471666403,0.274817247,0.12924342,0.056456506,-2.634599286,-1.474815353,0.660725222,0.660725222,-0.043110498,0.748618854,-9.173748128,3.864036085,0.437686599
-0.047113397,1.74222889,-0.992087049,-0.199671029,0.373010913,-1.238601219,1.804715768,1.804715768,0.171130229,-5.84409017,-9.859730454,6.664958917,-0.363410093
0.406621745,2.772919052,-1.629315877,-0.213404409,3.025613242,-1.318254822,2.731718912,2.731718912,0.375757589,-9.899557256,-8.245371647,6.756972562,-0.966821351
0.691853587,3.23161394,-0.911060108,-0.681712664,4.155183739,-1.443228579,2.848452641,2.848452641,0.571458253,-10.6583265,-3.113894245,3.706102216,-1.122145621
0.833057469,2.834719261,0.729392122,-1.489235402,3.888756169,-1.950676967,1.00405972,1.00405972,0.36133754,-7.013487469,5.554615152,-0.409791741,-0.840679216
0.734214752,1.401641068,2.429584554,-1.373188342,2.448124617,-2.107924167,-1.659529313,-1.659529313,0.178683587,-0.333571483,10.71561932,-4.590232585,-0.246681551
0.359553784,-0.847199891,3.099773493,-0.080877293,0.012509691,-0.521718788,-2.651079342,-2.651079342,-0.275204618,6.637492157,11.62957575,-6.989454054,0.345433396
-0.106419028,-2.870126752,2.470784694,1.27735398,-2.304311499,1.630301844,-2.021403873,-2.021403873,-1.288041386,11.01844035,9.539355331,-5.907950387,0.747393781
-0.418008928,-3.586322514,1.186713673,1.698968743,-3.673529476,3.531688291,-1.151394256,-1.151394256,-2.042003943,10.45949178,2.48726475,-2.936046975,0.833057469
-0.396357666,-2.869440083,-0.278637963,1.01092641,-3.683829511,4.426417992,-0.780592999,-0.780592999,-1.49747543,5.744135794,-5.494575651,1.302074064,0.53276388
-0.088533203,-1.344348244,-1.674636031,0.096969977,-2.336584942,2.983039764,-0.236064486,-0.236064486,0.460217876,-0.906253425,-11.49400266,4.916699655,0.020664466
0.210819028,0.270010564,-2.606445857,-0.248424528,-0.646692545,0.024183064,1.257440579,1.257440579,2.30941748,-7.18378138,-13.56911637,5.403547973,-0.47543184
0.399090871,1.431854504,-3.022567268,-0.496312035,0.904492715,-2.990980495,2.400744456,2.400744456,2.628031894,-10.9947943,-7.794230117,3.700608864,-0.817145235
0.546884268,2.218090503,-2.853646696,-1.079980681,2.639705267,-4.909533668,2.107536795,2.107536795,1.845229239,-11.2495485,1.044573191,1.223107129,-0.894336691
0.693736306,2.58271174,-1.717209508,-1.342288237,3.683442139,-4.963093849,0.586564971,0.586564971,0.039289781,-6.710666442,7.563808632,-1.097834075,-0.661820965
0.764338247,2.177577033,0.261770536,-0.884966686,3.196593822,-3.245048023,-1.01200045,-1.01200045,-1.707596143,1.272547297,11.57052222,-2.484218776,-0.15160427
0.474399608,0.845439182,2.478338053,0.068816548,1.260187255,-0.139244157,-1.415075151,-1.415075151,-2.098310801,8.517591866,10.53845872,-3.016387248,0.513936695
-0.207144464,-1.093027392,4.336464354,0.955306221,-1.590862413,3.066813382,-1.506402127,-1.506402127,-2.090757442,12.23384447,5.611608678,-1.908103489,1.010033002
-0.915046594,-2.494518811,4.518431638,1.061053246,-3.5135356,5.153600458,-1.480995374,-1.480995374,-1.814029837,10.58927222,-0.27383128,0.048216478,1.119230671
-1.381019405,-2.52953893,2.362977661,0.628451779,-3.155781054,5.807996011,-0.288251329,-0.288251329,-0.53407883,4.548645073,-6.920787155,1.069293274,0.749276499
-1.365016299,-1.43567522,-0.942646882,0.215763713,-1.563395654,4.201190562,1.573308317,1.573308317,0.658665215,-2.367485047,-10.50863265,0.970412939,0.110093592
-0.850092808,0.270010564,-3.786143191,-0.473651958,0.274130578,0.497298001,2.620478535,2.620478535,1.512881445,-8.25017833,-9.51433595,0.596865006,-0.4509565
-0.009459028,1.947542919,-4.726879715,-1.522195514,1.99492308,-3.442808694,1.746348904,1.746348904,2.202983786,-11.37726893,-5.999277363,0.795312345,-0.64393514
0.98838174,2.714552187,-3.308221571,-2.19444446,2.635585253,-6.130431141,-0.666605946,-0.666605946,2.246930601,-10.08976457,0.698492017,0.585191633,-0.41612621
1.675573967,2.472844701,-0.917926798,-1.954110312,2.152856949,-6.468958956,-2.272724726,-2.272724726,2.002476439,-5.292694967,7.228027493,-0.002597027,0.007485437
1.639802317,1.240960523,1.308254085,-0.3287648,0.774025606,-4.146644414,-1.951363636,-1.951363636,1.11324009,1.507388093,9.871703125,0.25215717,0.372732813
1.07216271,-0.605492405,2.706312159,1.92007616,-1.393101743,-0.339751504,-1.08753404,-1.08753404,-0.50661207,7.893409749,9.316874577,0.234990445,0.475340968
0.207053591,-2.106550829,2.950079652,2.820299212,-2.710819545,3.531688291,-0.484638662,-0.484638662,-1.671889355,11.00745364,4.348137727,-0.063023899,0.321899415
-0.638286984,-2.834419964,2.522971537,2.341004254,-2.407998518,6.134163784,0.097656646,0.097656646,-2.072904048,10.03856369,-2.895533504,-0.526525471,0.041374369
-1.14756232,-2.795279831,1.838362549,1.640601878,-1.250961261,6.144463818,0.875652618,0.875652618,-1.844243273,5.635642093,-7.501709125,-1.448035262,-0.250446988
-1.329244648,-2.06466402,0.723212101,0.492491318,0.0743099,3.892189514,1.366620949,1.366620949,-0.738019521,-0.778532992,-9.379062158,-1.248901254,-0.423657083
-1.07601902,-0.925480157,-0.598625715,-1.075860667,1.039079839,0.60785171,1.200447052,1.200447052,-0.004657034,-7.242148244,-7.877317065,-0.402925052,-0.483904073
-0.370940967,0.601671689,-1.965783685,-2.294011464,1.606955098,-2.692279482,0.403911018,0.403911018,0.140916793,-11.37658227,-3.253288051,-0.039677153,-0.396357666
0.461220579,2.251050615,-3.030120627,-2.59065247,1.881622696,-4.691859596,-0.82110647,-0.82110647,1.086459999,-11.05178783,0.820032429,0.732138798,-0.202437668
1.155002321,3.056513347,-2.827553274,-1.380741701,1.20182039,-5.098367641,-1.608715807,-1.608715807,2.498938123,-6.374198634,4.794472574,0.977279629,0.071497864
1.463768144,2.889652781,-1.283234703,0.287863958,-0.537512175,-4.303891614,-1.658842644,-1.658842644,2.914372865,0.662785229,7.843282913,0.437557799,0.338843881
1.209601156,1.833555866,0.776772282,1.14757354,-1.74330293,-1.636869236,-1.111567455,-1.111567455,2.10410345,7.541835224,7.239700866,-0.341811511,0.442393395
0.625017083,0.383997617,2.112343478,1.718882144,-1.465888656,1.915956146,0.592058323,0.592058323,0.305030683,10.9552668,5.130253712,-1.393101743,0.348257473
-0.1393666,-0.79363971,1.909776125,1.999729763,-0.481205317,4.446331393,2.58271174,2.58271174,-1.54554226,10.12439732,1.70102875,-1.74330293,0.089383689
-1.008241156,-1.692489425,0.741752164,1.729868848,0.245977149,5.496248287,3.236420623,3.236420623,-2.45400534,5.929536423,-3.247794699,-0.979727008,-0.195848153
-1.554229501,-2.188951108,-0.293058012,0.917539426,0.285803951,4.383844515,2.285384065,2.285384065,-2.97381377,-0.575965638,-6.212831421,0.484937959,-0.393533588
-1.509044259,-1.8325699,-0.593132363,-0.731152831,-0.090490659,1.328167486,-0.393311686,-0.393311686,-3.030120627,-6.856926938,-7.674749711,1.602148415,-0.425539802
-0.925401545,-0.808059759,-0.111777398,-2.276158071,0.08117659,-1.77076969,-3.471648791,-3.471648791,-1.627942539,-10.54227944,-6.679079668,1.709268778,-0.245740192
0.07620466,0.534378127,0.447171165,-2.829613281,0.603045027,-4.011370622,-4.532552389,-4.532552389,0.125123406,-10.20993164,-1.29902809,1.52318148,-0.009459028
1.067455914,1.609015105,0.651111856,-2.519238895,0.442364482,-4.565512501,-3.207967897,-3.207967897,0.83307914,-5.929923794,3.365514395,0.680638623,0.192933203
1.535311444,1.772442326,0.565964901,-1.001013746,-0.101477363,-2.962827066,0.112763364,0.112763364,0.993759685,0.242543804,5.768855878,-0.481891986,0.275772814
1.260434553,1.245080537,0.191730298,1.198387045,-0.648752552,-0.761366267,4.125656972,4.125656972,1.193580363,5.83614944,7.072153631,-1.084787364,0.243766601
0.309661746,0.314644049,-0.157097551,2.918492879,-1.093027392,1.110493414,5.829969419,5.829969419,1.793042395,9.385541476,5.012833314,-1.79136976,0.192933203
-0.928225623,-1.169934319,-0.332198145,3.906609563,-0.956380262,2.577218388,4.944166415,4.944166415,2.264783995,9.924576637,1.792355726,-2.531598937,0.087500971
-1.918535517,-2.498638825,-0.664545939,3.219253899,-0.394685024,3.097713486,2.459111321,2.459111321,0.692998665,6.976706641,-1.147274242,-1.952736974,-0.042406601
-2.156699399,-2.643525983,-1.186414375,1.087833337,0.579698281,2.673352047,-1.281861365,-1.281861365,-2.315984872,1.021226445,-5.095620965,-0.168770924,-0.129953008
-1.408318823,-1.397221757,-1.81883652,-1.158947615,1.955096278,1.827375845,-4.639672752,-4.639672752,-4.034030699,-5.765123236,-6.387932014,1.627555168,-0.242916114
0.048905243,0.721152094,-1.889563426,-3.206594559,2.531898234,0.310524035,-6.856926938,-6.856926938,-3.948197074,-10.26005848,-4.720699694,2.950079652,-0.265508735
1.511777464,2.65755866,-0.357604898,-4.877946894,1.576741662,-1.787936415,-7.021040828,-7.021040828,-2.445765312,-10.77368689,-2.567992394,3.166380386,-0.124304853
2.378769301,3.325000924,2.095176753,-5.280334925,-0.372711616,-3.200414538,-3.788889867,-3.788889867,-0.276577956,-7.110994466,1.254007234,1.369367625,0.116683106
2.335466777,2.632838577,4.061796756,-3.447615377,-2.285771437,-3.32882164,1.127660139,1.127660139,1.303447402,-0.73870619,4.561005115,-1.118434145,0.317192619
1.28773397,1.120793449,4.302817573,0.386057624,-3.385815167,-2.022777211,5.499681632,5.499681632,2.433704568,5.345867777,6.112877045,-3.217581263,0.438627958
-0.296573589,-0.798446393,2.068396662,4.42779133,-3.15852773,0.589311647,8.312964506,8.312964506,3.16363371,9.455581714,7.218414127,-4.016863974,0.355788347
-1.752856295,-2.244571297,-1.161694291,6.901173051,-1.77076969,2.847765972,8.219577522,8.219577522,2.465978011,10.40318493,4.806832616,-2.265171367,0.079970097
-2.432517649,-2.633225948,-3.484695502,6.783065984,0.294730648,3.23161394,5.078753538,5.078753538,0.947752862,7.107860419,-0.450991881,0.630511786,-0.215616697
-1.994785614,-2.160797679,-4.294278248,4.170977126,2.766739031,2.140496907,-0.266277921,-0.266277921,-0.258724562,1.328167486,-4.779066558,3.195907153,-0.372823686
-0.662762324,-0.979727008,-3.392681857,0.157396849,4.727179012,0.097656646,-6.019877433,-6.019877433,-0.996893732,-4.367065161,-8.163658036,4.442211379,-0.308811259
0.908366207,0.377130927,-1.560648978,-4.141151062,4.850092762,-1.843556604,-9.455969085,-9.455969085,-1.488548733,-8.788526822,-8.730846626,3.234360616,-0.073471455
2.183907944,1.307567416,0.018689712,-6.801306749,2.823732557,-2.499325494,-9.037787667,-9.037787667,-1.695236101,-10.19001824,-5.984170645,1.303447402,0.185402329
2.717658619,1.984623045,1.366620949,-6.526639151,-0.654932573,-2.233584593,-5.04480746,-5.04480746,-1.400655102,-7.683676408,-2.070157372,-0.47227862,0.309661746
2.305343282,2.117150161,2.431644561,-4.178917857,-3.804683254,-1.412328475,0.309837366,0.309837366,-0.209284395,-2.997160516,4.135270338,-2.248004642,0.336019804
1.027918827,1.195640369,2.873172725,-0.803939745,-5.072960888,-0.004657034,4.850092762,4.850092762,1.755275601,3.132733605,10.09967723,-3.1104609,0.26824194
-0.698533974,-0.476398634,2.729658905,2.659618667,-4.369811837,1.203880397,8.043790259,8.043790259,3.042093298,8.781959429,11.11732068,-3.128314294,0.186343688
-2.329909495,-2.302938161,1.624121823,5.028626701,-2.232211255,1.978443024,8.64462563,8.64462563,2.776352397,10.73621939,7.916756495,-1.831883231,0.014074952
-3.329632981,-3.359035076,-0.365158257,6.008503357,0.758918889,2.495504778,5.993396639,5.993396639,1.387221019,8.862986371,1.446961222,0.38193761,-0.164783299
-3.192194536,-2.81656657,-2.254871332,4.921506338,3.195907153,1.828062514,1.012986417,1.012986417,-0.179757628,3.693742174,-6.441492196,2.12470352,-0.303163104
-1.788627946,-1.06693397,-3.352168386,1.449021229,4.231403998,0.346230822,-4.681559561,-4.681559561,-0.960500276,-3.621342632,-11.70961673,3.923776288,-0.285277279
0.347316114,0.995819692,-3.032867303,-2.463618706,3.912102915,-1.098520744,-8.062031025,-8.062031025,-1.272934669,-9.114007926,-13.16947501,4.050810052,-0.116773979
2.314756875,2.660305336,-1.199461086,-5.1745879,2.040929903,-2.634599286,-7.998857477,-7.998857477,-1.877890053,-10.87668724,-9.493049211,1.904282773,0.12421398
3.306008128,3.333927621,0.822092436,-6.003397377,-0.394685024,-3.455855405,-5.615429395,-5.615429395,-1.897803454,-8.794020174,-0.620599123,-0.948140234,0.270124659
3.01606949,2.937719611,1.889176055,-4.198831257,-2.142257617,-2.712192883,-1.594982427,-1.594982427,-1.017493802,-2.91888025,8.147477278,-4.907473661,0.230587572
1.678398045,1.60558176,1.846602577,-0.710552761,-3.264961424,-0.707806085,3.188353794,3.188353794,0.087356611,3.926522964,13.1855677,-7.312188482,0.00466136
-0.282453201,-0.134437474,0.988266333,2.871799387,-3.371395118,1.658455272,6.994560035,6.994560035,1.03152648,8.799126154,13.48838872,-5.988290659,-0.404829899
-2.119986389,-1.575069026,0.206150347,5.433761408,-2.233584593,3.155393682,7.95452329,7.95452329,1.606955098,10.58583888,8.025250197,-2.45400534,-0.665586402
-3.033104828,-2.204744495,0.142290131,5.332821066,-0.255977887,3.374441092,5.676155564,5.676155564,1.762142291,8.675525735,-0.252544542,1.975009679,-0.553564655
-2.668798812,-2.000117135,0.391550976,2.747512299,2.437824582,2.297744107,1.414687779,1.414687779,1.734675531,3.75142237,-8.123144565,4.794472574,-0.148780192
-1.216281543,-1.422628509,0.206837016,-0.291684674,4.212863935,0.074996569,-2.74103298,-2.74103298,1.127660139,-2.179337742,-13.74078362,5.252480794,0.261652426
0.671143684,-0.637079179,-0.50661207,-2.982053798,3.480874786,-1.995997121,-5.011160679,-5.011160679,-0.530645485,-7.191334739,-13.05548796,4.606325269,0.415093978
2.435250854,0.392237645,-1.478935367,-4.334105049,1.028093135,-3.188741165,-5.647016168,-5.647016168,-2.239764614,-9.864537137,-6.742253216,2.051229938,0.26824194
3.455684244,1.203193728,-1.869650025,-3.749749734,-1.75016962,-3.45860208,-4.893053612,-4.893053612,-2.408685187,-9.080361145,1.366620949,-1.463828649,-0.051820193
3.20810677,1.20868708,-1.10813411,-2.186204432,-3.758676431,-2.397011814,-2.046810626,-2.046810626,-1.121180821,-4.517445671,9.871016456,-4.036777375,-0.253271065
1.802657461,0.386744293,0.175250243,0.001522987,-3.973603827,-0.357604898,1.617941802,1.617941802,0.218510389,1.924196173,14.57057906,-5.135447767,-0.305987181
-0.221264852,-0.943333551,1.028779804,2.375337703,-2.48833879,2.04298991,4.543151721,4.543151721,0.112763364,7.725862515,13.12720083,-4.33341838,-0.234443881
-2.129399982,-1.461081973,1.114613428,3.749362363,-0.058217216,3.980083145,5.860182854,5.860182854,-0.592445694,10.8069463,7.16828729,-1.923896876,-0.052761552
-3.196901332,-0.481891986,0.576951605,3.719148927,2.86287269,4.300757566,4.601518586,4.601518586,-0.337691497,9.472748439,-2.791159817,1.411941103,0.080911456
-3.024632596,0.931272806,-0.008777048,2.068396662,4.733359033,2.885532767,1.903596104,1.903596104,0.351037505,4.536971701,-11.79270368,4.907086289,0.1722233
-1.977841148,1.944796243,-0.133750805,-0.767546288,4.16823045,0.154650173,-0.676219312,-0.676219312,0.993073016,-1.727509543,-14.57989313,7.212920775,0.309661746
-0.524382519,2.231823883,0.12924342,-3.18530782,2.11783683,-2.933300299,-3.260154741,-3.260154741,1.295894043,-7.483855731,-11.99733104,6.673885614,0.426390288
1.01191572,1.462754609,0.236363783,-4.192651236,-0.552618892,-4.796233283,-4.73717975,-4.73717975,1.049379874,-10.34245876,-4.577185874,3.009819855,0.320016697
2.225327749,0.254217177,-0.065083906,-3.366588435,-3.088487492,-4.706966314,-4.071110824,-4.071110824,1.11324009,-9.219754951,4.675678838,-1.482368712,0.022547185
2.703538231,-0.958440269,-0.489445345,-0.753812908,-4.459078807,-2.74789967,-2.31735821,-2.31735821,0.880459301,-5.1745879,10.45674511,-5.162227858,-0.316342133
2.156608526,-2.087324097,-0.654245904,2.141870245,-4.616326007,0.394984321,-0.151604199,-0.151604199,0.015943036,-0.088430652,12.89442004,-6.418832119,-0.507438053
0.666436888,-2.217104537,-0.319151434,3.892189514,-3.014327241,3.246033989,1.843169232,1.843169232,-0.633645834,4.586411868,10.53296537,-4.483112221,-0.413302132
-0.997886205,-1.281861365,0.254217177,4.084456833,0.432751116,4.567185136,2.696012124,2.696012124,-1.112940793,7.850836272,2.3842644,-1.488548733,-0.097005435
-2.230125418,-0.115897411,0.600298351,2.713178849,3.711595568,4.180590492,2.853259324,2.853259324,-1.318941491,8.705739171,-6.061764242,1.764888967,0.312485823
-2.748814345,0.828272457,0.522704754,0.370950906,5.41865469,2.286757403,2.268904009,2.268904009,-1.301088097,6.521445097,-11.8675506,4.604265262,0.540294753
-2.351560756,1.054186556,-0.182504304,-1.887503419,4.950346436,-0.47914531,0.350350836,0.350350836,-1.12873418,1.454514581,-13.53409625,4.883739543,0.543118831
-1.293472998,0.749992192,-1.040153879,-3.409848582,2.258603974,-2.739659642,-1.648542609,-1.648542609,0.011136353,-4.575812536,-9.004827555,3.855796057,0.317192619
0.223998057,0.549484845,-1.034660527,-3.784083184,-0.758619591,-4.002443925,-2.603699181,-2.603699181,1.932436201,-8.682093128,-1.415075151,1.867889316,-0.083826406
2.039879984,0.055769837,-0.138557488,-2.830986619,-2.920253588,-3.984590531,-2.572112408,-2.572112408,3.347661001,-9.370135461,6.965719937,-1.978143727,-0.438718831
