,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
0,16.3064823151,21.9816226959,22.379322052,25.2350997925,24.8910655975,21.3750076294,6.65721035,8.6207971573,26.1646652222,19.2111339569,-2.6700673103,3.6845178604,2.5949139595,0.2767505646,-3.3102216721,7.1871585846,0.3380827308,-3.4041364193,4.9839925766,4.4684195518
1,32.5566253662,33.8263931274,33.1210708618,38.9025840759,41.0166282654,38.8882102966,19.626083374,20.5633163452,42.8623428345,35.8206443787,-1.9264150858,10.0812692642,-1.2881774902,-3.0696845055,2.5709562302,13.5992422104,3.1679861546,6.9696207047,-3.7414631844,0.3582073152
2,45.6797866821,40.6428871155,40.3266410828,43.5916213989,45.2772941589,50.3074913025,34.4799613953,34.390838623,47.7919120789,46.0602378845,12.2211856842,13.0530033112,3.0836546421,2.1330063343,13.517786026,18.9092655182,8.2202215195,19.6318340302,-4.4295334816,4.0352611542
3,50.7559814453,45.9107398987,46.6304359436,43.2226676941,43.1316299438,53.3779296875,43.2590827942,43.5130386353,49.3836746216,49.9011650085,27.305059433,14.9169254303,14.6102647781,14.5173082352,29.5158920288,21.7267093658,13.88194561,27.6577205658,7.4765696526,15.939447403
4,43.0846710205,42.7492599487,46.8728904724,41.4076194763,35.0089530945,45.1622962952,44.6955986023,42.4272689819,37.455532074,43.0520896912,40.2518920898,21.2724685669,29.0118198395,22.9658107758,40.5508880615,28.5422439575,25.5369701385,30.1320896149,20.5316905975,29.8120117188
5,23.38555336,24.4818649292,28.2978744507,23.9461669922,18.4061489105,25.2408504486,31.9768447876,25.2715167999,17.1181735992,20.3659038544,44.5662269592,30.2365455627,37.6999015808,29.7363052368,43.3395843506,34.5393791199,36.6706695557,30.8374080658,25.4286804199,33.2485275269
6,2.3285024166,-1.6187959909,2.7942435741,-0.0567429699,0.080296047,1.3855208158,10.007478714,4.5268764496,1.0424441099,-1.2134288549,34.4675064087,29.4555187225,35.7650642395,36.2058868408,37.8043556213,26.5106182098,36.5547142029,26.6428642273,26.8891525269,23.3615951538
7,-10.706495285,-16.1708049774,-9.1281509399,-11.5871858597,-12.9604511261,-15.6494827271,-5.3773064613,-4.7678184509,-11.3265247345,-8.7457828522,18.2719860077,14.3323535919,27.6021385193,35.6759414673,20.4588603973,8.0640163422,24.2796611786,12.2422685623,27.4114341736,16.7185573578
8,-15.7433977127,-16.1861381531,-11.5363960266,-18.135351181,-17.267118454,-21.5872001648,-9.3198137283,-8.4764966965,-16.4410514832,-11.4118146896,-1.1980959177,-0.1544910818,13.1708755493,25.7056331635,-0.5215256214,-5.4309720993,5.5244822502,-6.164083004,22.9686851501,12.1042718887
9,-15.0591602325,-11.9724292755,-12.3950452805,-15.4846525192,-10.7390775681,-18.2513065338,-8.9460706711,-11.6006031036,-13.2632789612,-15.1252841949,-16.5560474396,-4.0989146233,-1.2824275494,5.6988954544,-14.5771284103,-8.0385465622,-5.3945560455,-13.9724321365,11.4995746613,4.632291317
10,-6.6873230934,-3.247931242,-8.6902008057,-0.1238250062,2.8412008286,-4.3739509583,-8.2905836105,-8.8502397537,-2.1343693733,-8.5742444992,-19.9983158112,-3.4357607365,-8.9863195419,-14.0816793442,-17.5852775574,-3.614007473,-5.274766922,-8.51770401,-1.3773007393,-1.2402616739
11,9.3999071121,8.5316743851,1.9365518093,12.1454792023,17.0060520172,17.8829097748,-1.6140044928,4.1885914803,15.4037494659,8.2652626038,-15.3016147614,-3.5545918941,-14.5512542725,-17.6705684662,-11.5124378204,1.95284307,-6.3413710594,-1.9819973707,-6.8464031219,-8.4592466354
12,25.762172699,23.2945137024,20.9083099365,25.6251354218,26.4962425232,34.167552948,13.4871196747,27.2149791718,27.9231739044,25.6356754303,-0.3231544793,-1.7500851154,-14.1458864212,-10.2359628677,-0.317404598,4.1866745949,-8.092212677,5.0549077988,-4.6451539993,-7.0486073494
13,38.1895980835,39.7334442139,39.7765693665,39.0012931824,33.0166168213,38.9572105408,30.9677391052,50.1560745239,39.0875396729,38.0995178223,18.8182239532,7.6883568764,-1.3380098343,1.0807766914,14.1445236206,9.9039812088,-0.9460590482,16.2441921234,-0.7754790187,5.5503568649
14,48.1646995544,45.5762901306,42.8661766052,40.1867256165,38.6984634399,39.5791549683,46.3170661926,63.3012809753,50.7310638428,38.4761352539,32.5393753052,24.4128665924,18.8096008301,13.6059503555,27.5992622375,25.5839271545,14.731970787,27.9413814545,4.2863397598,14.6236810684
15,47.3577957153,38.5144691467,31.3232746124,32.484752655,38.8719177246,31.6117267609,55.2025604248,66.1704711914,51.7746696472,29.7018051147,43.7094917297,38.0468101501,35.4631958008,26.721446991,38.0401039124,38.3295135498,33.4028167725,42.4943504333,14.0764837265,25.6749668121
16,39.6194038391,29.4210186005,18.8201408386,21.9116649628,36.6495895386,18.24036026,54.7665290833,60.3659629822,44.8834266663,27.3491420746,50.8604354858,42.3276023865,42.1857719421,43.6625366211,45.0568847656,41.597366333,46.5154380798,51.1738052368,33.9720573425,39.3434104919
17,40.3956413269,31.9423446655,23.5954246521,25.3960971832,40.1675605774,19.0405540466,49.984539032,46.8038902283,38.5384254456,35.1795310974,51.8992500305,44.1752319336,44.2605247498,57.7976799011,45.4632072449,42.5106391907,49.858997345,42.6428871155,55.0655212402,47.2370491028
