,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
0,-2.0722558498,2.8875916004,0.8307939172,-3.0964186192,-1.3813225031,0.1746896058,-1.8708120584,1.6252731085,-2.8337886333,-2.1522686481,1.8530740738,8.3642272949,-1.5196974277,0.4401435554,0.1332712471,-2.6219904423,-1.7879754305,-5.3781933784,-3.9897372723,-1.3201363087
1,-3.2084364891,4.7203536034,3.9691753387,1.0529469252,-0.8174681664,0.1351539046,0.3064752519,3.412851572,-1.1657588482,2.1420612335,0.2622329295,6.7329087257,-1.4632178545,0.5615746379,2.5487141609,-1.6430112123,-0.2602030635,-3.3919951916,-4.2401299477,2.4592881203
2,-0.5096545219,6.9964799881,11.5223760605,9.2660169601,2.5440075397,2.633433342,7.9660458565,8.0582962036,5.6042585373,8.6353292465,-1.5573505163,1.8728419542,-1.1026899815,1.5414950848,3.5973513126,-0.1717184186,1.0312963724,0.3083579242,-2.7377734184,4.908618927
3,6.982360363,10.8587408066,21.3865318298,20.1477470398,9.1408214569,9.4354562759,18.4006462097,16.0529785156,16.1649971008,16.1640548706,-1.223179698,-3.1011252403,0.6095822453,1.2468600273,5.5741362572,2.1185281277,1.7542347908,4.3918304443,1.5866787434,5.3388047218
4,18.5606708527,16.3927974701,30.4543266296,31.5914497375,18.3140449524,19.9783096313,29.5515956879,26.7812728882,27.8948612213,22.3005599976,2.3839819431,-4.9621272087,4.6478714943,0.2688222229,8.8000612259,5.1881923676,2.4856452942,7.5669236183,9.1069335938,5.5336594582
5,30.7715549469,22.1367702484,34.6884117126,40.597114563,27.7451896667,29.715385437,36.9730110168,37.145275116,37.2601165771,25.7015724182,8.0178184509,-1.6731336117,10.4473819733,1.2995743752,13.2327651978,8.2729187012,5.4479985237,10.0981492996,18.5964412689,6.7536177635
6,38.9206161499,25.4991855621,31.1669101715,41.6777572632,33.6218910217,33.5371704102,36.5258789063,41.3859481812,40.2751846313,25.4831848145,16.0369758606,7.4633779526,18.7611732483,6.4909877777,19.1715927124,11.4235372543,11.5214347839,13.5791740417,28.7637062073,10.3137130737
7,37.2243461609,24.2566356659,20.4950962067,30.9871177673,32.6767997742,28.6676902771,27.1851024628,35.4461784363,34.1989212036,21.009059906,26.0715122223,20.005607605,28.5424938202,15.4288797379,25.2657375336,16.0247383118,18.2104988098,18.5757331848,37.1160926819,17.1364459991
8,25.2817401886,17.9384555817,5.6663861275,11.6278047562,24.2105102539,17.232460022,9.9098844528,19.9030017853,18.9560279846,12.3968677521,34.6234588623,32.3520393372,36.5023460388,24.6934108734,30.0627346039,22.68932724,24.1229667664,23.831155777,38.625038147,25.1791362762
9,8.0714740753,7.9622807503,-9.3835363388,-9.5416784286,11.2333889008,3.5474610329,-8.6991920471,-0.1105322167,-0.5538968444,1.9264975786,38.1016616821,40.1594009399,38.5807952881,30.4646816254,30.3761978149,29.192949295,27.9268665314,26.0620994568,30.714132309,30.6388263702
10,-9.2319822311,-3.2733879089,-18.8551597595,-25.2994785309,-2.3772454262,-9.3929491043,-20.5410747528,-18.2404727936,-16.7672977448,-6.5793251991,32.9770812988,38.5026664734,30.5484600067,30.5851707458,22.8578262329,31.0963115692,26.6984367371,22.2619667053,14.8396091461,30.026966095
11,-20.8215904236,-11.9891262054,-18.8043270111,-30.2404994965,-13.6816310883,-17.4921188354,-22.2749977112,-28.0867443085,-24.3007316589,-10.4651193619,19.1028747559,26.5685329437,14.0818414688,24.6359901428,9.4307498932,25.3626937866,19.8446407318,13.5970592499,-4.4773440361,21.5926837921
12,-22.9866390228,-14.5278835297,-9.4183645248,-22.7588386536,-18.9709434509,-16.8943767548,-12.5398025513,-25.0556755066,-20.7415771484,-8.2774772644,1.4934874773,8.1401910782,-3.6725103855,13.2798318863,-4.9404764175,13.052031517,8.2597398758,2.8988873959,-19.752243042,7.3485360146
13,-14.6794366837,-9.1406736374,6.6961970329,-4.5470023155,-15.3035364151,-6.7449989319,7.109439373,-10.0669384003,-7.8134040833,-0.969021678,-15.1143293381,-10.8510637283,-16.8915538788,-1.264598012,-15.5727548599,-1.2476541996,-4.856698513,-7.2956748009,-26.4328346252,-7.7663373947
14,3.5013360977,4.1612057686,24.7414188385,21.1728515625,-1.5601744652,11.0940723419,31.9566841125,12.6387891769,10.3739585876,8.8857212067,-25.5301036835,-23.1278381348,-21.4908733368,-14.3942146301,-18.4974555969,-12.6781778336,-13.4604196548,-13.4444169998,-23.6483917236,-18.894695282
15,28.1151313782,23.0592689514,40.3580207825,49.1170578003,20.8433876038,31.6554584503,56.9696006775,37.5528678894,30.7950878143,21.2735729218,-24.6367835999,-24.0908145905,-16.2185058594,-21.002325058,-13.4368858337,-17.7481594086,-14.5918931961,-13.3700523376,-10.664680481,-22.0669651031
16,53.1553497314,43.1302261353,51.3291740417,71.5055618286,45.9796180725,48.9429130554,74.9555206299,58.1660270691,49.3627433777,35.0084648132,-11.9571218491,-13.875544548,-3.6828649044,-17.3848075867,-2.00730443,-14.1297025681,-8.7942657471,-6.3637619019,10.0614376068,-15.1971664429
17,70.8146286011,59.3605690002,56.1007575989,81.3518295288,66.7622146606,59.1017036438,78.7302398682,70.2460632324,60.859161377,46.1895332336,9.5625352859,4.7711849213,13.092508316,-4.4425148964,13.8220357895,-2.0430748463,2.1175866127,6.8138628006,33.181350708,0.9333984852
18,75.9090805054,66.2002487183,55.4954833984,76.3449172974,77.248588562,59.9423103333,66.4704055786,71.9470443726,62.4208221436,51.597454071,33.3385505676,27.5060939789,29.999666214,14.020655632,29.3699188232,15.2142572403,15.1285963058,22.0219268799,52.7552833557,22.1424179077
19,68.1073760986,59.8622970581,51.4054222107,58.4399528503,73.6649627686,51.1249084473,41.8669662476,62.3822250366,54.6577033997,49.3025016785,51.9852790833,48.4449539185,42.7941703796,35.4565353394,39.4901161194,32.3896942139,27.3526573181,35.3078041077,62.2014923096,42.7499275208
20,49.2450790405,42.0909996033,44.8594398499,32.596786499,56.8133430481,34.3636550903,12.7103300095,42.9786720276,40.66771698,40.2723579407,61.2582817078,61.6526985168,49.6649093628,54.8723258972,41.8829689026,44.8923873901,36.1069908142,44.736125946,59.8651199341,57.2331733704
