,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,5.0374240875,-2.7309556007,0.1640340686,0.4148703218,1.4219872952,2.1820399761,-0.0509684235,0.3007681072,-2.1896774769,0.4855948091,0.3045400679,-4.2689776421,0.8665641546,1.1664360762,-1.3702161312,-8.3247919083,-3.0157396793,-1.6644301414,3.1354062557,-2.3433852196,-6.5406489372,7.3741612434,3.5078885555,-2.6357133389,-0.2254222035,-6.309615612,1.7096002102,4.9355807304,-5.1544485092,5.3872742653
1,3.7917296886,-2.6168534756,-1.0241376162,1.8208733797,0.4299581945,-3.1675615311,3.024132967,-1.5569288731,-2.7102098465,-1.7832472324,2.0839686394,-7.0706110001,4.2377653122,-2.9789628983,-0.8619427085,-7.8683834076,-1.0778882504,-0.9307812452,2.3668665886,-2.6055374146,-1.6285963058,9.0159130096,7.4665746689,-0.5007762909,-2.2245681286,-7.2610960007,0.5761221647,2.1462061405,-3.4249987602,3.4003872871
2,2.0094721317,-2.2405991554,-1.7992781401,2.7110590935,-0.5394390225,-6.7122735977,5.1053195,-2.7997941971,-1.7879621983,-3.1458725929,2.9128596783,-8.0805568695,6.1661868095,-5.9531641006,-0.1358378232,-4.5320730209,1.7756097317,-0.1594126672,0.102739498,-1.5625867844,4.6875734329,6.9601874352,8.8772926331,1.4993126392,-3.8163409233,-5.8428339958,-0.477201432,-2.6498582363,0.996697247,1.0108420849
3,0.3564047217,-1.4192517996,-1.6003065109,3.2315914631,-1.035453558,-6.7245326042,5.1392669678,-3.182649374,-0.0264505949,-2.7922501564,2.5969569683,-6.5189599991,5.5881319046,-6.3690242767,1.5530632734,0.54971838,3.6870572567,0.178178966,-2.0661451817,0.1970388442,9.0564613342,2.6525936127,6.8677740097,2.0245599747,-3.2675187588,-2.1198959351,-0.9213513136,-5.8550925255,4.8554263115,-0.8411968946
4,-1.1269239187,0.1083974615,-0.3376384079,3.1504940987,-1.4739453793,-3.9823079109,3.0750546455,-2.5432999134,1.6181298494,-0.6667430997,1.3578636646,-2.0010788441,2.8958859444,-3.8578326702,3.4786558151,5.8351964951,3.6776273251,0.2498464733,-3.1166398525,2.106600523,9.5647354126,-2.2207961082,1.8802820444,1.2786521912,-0.3461253643,2.1235742569,-0.2763438523,-4.8592915535,4.8988037109,-2.6790909767
5,-2.4339127541,2.0537927151,1.2069847584,2.1971278191,-1.4880902767,-0.7054058313,-0.0047617466,-0.6205364466,2.7129452229,2.1264033318,-0.0490824357,3.8973448277,-0.8015911579,0.1762929857,3.8285062313,9.0960674286,1.4795098305,0.5167136192,-2.1387557983,3.1702969074,6.2510561943,-5.7626791,-3.8323719501,0.705312252,3.1768980026,5.473086834,0.444103092,-0.7723583579,2.0773675442,-3.5589036942
6,-2.6083664894,4.2792572975,2.2320184708,0.0216420684,-0.6243084073,2.5837550163,-2.5084092617,2.8572232723,2.997729063,3.9237487316,-0.7044628263,8.666062355,-4.1793932915,3.4635679722,2.3791255951,9.1120986938,-1.7125227451,1.3757805824,0.1234853566,2.9109737873,0.7137992382,-6.6962428093,-8.486987114,0.8241294622,5.1892457008,7.2553443909,0.7090842724,3.5616393089,-1.1306958199,-2.8327989578
7,-1.4522565603,5.2373385429,2.9222896099,-2.6922929287,0.5336874723,5.6381106377,-3.0232834816,7.7692756653,3.221218586,3.5512661934,0.7477469444,10.6472911835,-5.5250449181,5.3627567291,0.4667349458,6.4462561607,-3.3853929043,2.0896265507,2.1792109013,1.6897974014,-4.4877524376,-4.9677357674,-10.027838707,0.8967399001,4.6639986038,6.5660161972,0.5912100673,5.8559422493,-2.6574020386,-0.4413676858
8,0.323399961,3.5672972202,3.340035677,-4.2256002426,1.846334219,6.3500704765,-0.6648570895,13.0773859024,4.5961031914,1.6049278975,5.3061771393,10.0079421997,-4.3613910675,6.4264531136,0.1866659075,2.1179163456,-2.7422714233,1.8633081913,3.2589383125,0.5110556483,-7.8070888519,-1.2976056337,-6.9319911003,1.1494621038,1.8142725229,3.834164381,-0.1207499355,5.5607852936,-1.8652876616,2.7261471748
9,1.9462915659,0.4384451509,2.736520052,-3.6201984882,2.8619382381,4.3622407913,4.4980316162,18.2968540192,7.3487005234,0.5864951015,11.6911849976,8.5915660858,-1.505064249,6.6952061653,2.0311610699,-2.4075088501,-1.1071209908,0.4375021458,2.7252039909,0.5572623014,-8.4454956055,2.658251524,-0.5997905731,1.4634789228,-1.6917768717,-0.1358378232,-0.0981180891,3.1995296478,0.4101553261,4.8733429909
10,2.6054439545,-2.5583877563,1.6464196444,-1.0665723085,2.7346339226,0.9721794128,11.3290758133,22.2470531464,11.3262462616,2.1537501812,17.9064540863,8.2558603287,1.8689661026,6.9309544563,4.4037322998,-4.9328451157,0.9768943787,-1.3145796061,1.4465050697,2.4121303558,-5.7004418373,5.4683718681,6.6216526031,2.3150019646,-2.7224686146,-3.9568469524,1.1805809736,-0.2122202963,2.8694820404,5.9728732109
11,1.9076287746,-4.1680774689,0.8071555495,2.8223323822,1.859536171,-2.6300554276,17.9253139496,23.3324375153,16.2599887848,6.494348526,22.5997333527,9.7891674042,5.2967472076,7.6900644302,6.570731163,-3.641887188,3.3626675606,-2.1066939831,1.1871818304,6.0803747177,0.0065541738,6.3255529404,12.4663257599,5.3580417633,-0.1546977013,-5.0940971375,2.6403346062,-2.5508439541,5.3024048805,6.5895910263
12,1.2786521912,-3.4240558147,0.9222007394,6.8687171936,0.4931387603,-4.425514698,22.1367225647,20.9749546051,20.244134903,12.202287674,24.1660442352,13.086815834,8.7377300262,8.5925092697,9.1498184204,1.5577782393,6.2916049957,-0.8383678794,3.1014585495,11.8637533188,6.5254673958,5.7229800224,15.4622154236,10.6312608719,3.9350645542,-2.2736039162,4.1066894531,-2.8846635818,7.4854345322,7.3920783997
13,2.0537927151,-0.5715007782,2.9618954659,10.2370891571,-1.0401685238,-2.6017656326,22.5346660614,15.86581707,21.6143035889,16.7362003326,21.7963027954,16.4193534851,12.0221757889,9.6995830536,11.9665393829,9.7099561691,10.0484905243,3.0524227619,7.6617746353,18.4477329254,11.3950853348,4.6300506592,16.0138664246,16.0629024506,7.7466440201,3.7832427025,5.6588563919,-1.1042920351,10.2040843964,8.9706497192
14,3.9209196568,3.1080594063,7.0516576767,12.4606676102,-1.7144087553,2.9383206367,18.8136138916,9.8136854172,19.7886695862,18.8032417297,16.0987358093,16.9766635895,14.4418964386,10.605799675,13.8544120789,18.3647499084,13.6233787537,8.8131694794,13.3451957703,23.0269088745,12.9802570343,4.1029171944,15.2792749405,18.8654785156,10.5322465897,10.8943557739,7.4241399765,2.4423060417,13.3385944366,11.1791400909
15,6.5396122932,6.3661017418,11.6732683182,13.4244070053,-0.663914144,10.9217023849,12.8689842224,5.0015902519,15.2245817184,18.8230438232,8.7999677658,14.1071338654,14.8002347946,10.8283462524,13.9741725922,22.8835735321,15.6310119629,14.9171657562,17.5066261292,23.4455986023,12.3163900375,5.2797732353,14.0929889679,17.7282295227,11.9552230835,16.0487575531,9.4091415405,6.1850466728,16.0732746124,13.7412528992
16,9.1545333862,8.2002239227,14.8200368881,12.8802995682,2.1999568939,18.3053398132,7.1402993202,1.9858973026,9.3044691086,16.8238983154,2.3696956635,9.7325878143,13.1311359406,10.4860391617,12.6200332642,20.8985729218,15.3603725433,19.894285202,18.8701934814,19.091796875,11.0329761505,8.5397014618,12.40974617,13.8855304718,12.6228628159,17.7169132233,10.5313034058,10.0041704178,16.8569030762,16.0723323822
17,10.1786241531,8.7122688293,15.5687742233,10.6350326538,6.5066075325,22.7242069244,2.6705105305,1.9896692038,4.4376802444,13.6516685486,-1.2033063173,6.5198092461,10.6397476196,9.8363170624,10.706700325,14.113735199,12.5898580551,22.2555408478,17.5603752136,11.4158315659,9.343132019,13.0915307999,10.7576217651,9.637345314,12.8708696365,16.1892642975,10.5982561111,13.8025474548,14.4579277039,16.4985656738
18,8.9781932831,8.7631902695,13.957198143,8.1257276535,11.393198967,22.4809150696,1.1815239191,5.9474124908,2.7035152912,10.2399187088,-0.2970896959,5.8719730377,8.6047677994,9.502497673,8.7396154404,5.0609989166,9.1403884888,21.4671974182,14.5739154816,3.0712826252,8.1030950546,17.6197853088,9.9513626099,7.1072945595,12.5898580551,12.9840288162,9.7514476776,16.9370574951,9.2969245911,13.8166923523
19,6.4745459557,9.0149698257,9.7929391861,6.9026646614,15.5301113129,17.5556602478,3.8662261963,12.7577104568,4.5612120628,6.6857762337,5.8898897171,7.5306982994,8.3520460129,9.815571785,6.8366551399,-2.6215684414,7.2883491516,17.967748642,11.20271492,-4.1567616463,8.749045372,20.1800117493,9.8485765457,7.3392705917,11.4799547195,9.2101697922,8.6585187912,18.6118144989,4.1076321602,9.2441177368
20,4.4593687057,9.3054122925,4.5838441849,6.4858617783,17.5434017181,10.3955125809,8.8093976974,19.6934261322,8.9744215012,3.405102253,15.1915769577,10.0239725113,10.1786241531,10.1182718277,5.4900608063,-6.3577079773,8.3388433456,12.8935012817,7.880548954,-8.0711269379,10.7019853592,19.9065437317,10.3087568283,8.8395729065,8.8876657486,6.2359685898,8.4934949875,16.6843357086,2.1198022366,5.2910890579
21,4.112347126,8.4114542007,0.6902243495,7.1082372665,16.6296405792,3.5192046165,14.0364093781,23.6492843628,14.4890460968,1.6285028458,23.466342926,12.0476369858,12.4983873367,10.3794813156,5.4617710114,-5.9673089981,11.5421924591,7.9550452232,5.0600557327,-6.023888588,13.2650413513,16.9549751282,10.802885055499999,9.867436409,5.6654572487,5.3976473808,9.8476333618,11.1800823212,4.6045899391,3.3013730049
22,5.0591125488,6.3764743805,-1.022251606,8.7556467056,13.5856590271,-1.035453558,17.7244567871,22.489402771,18.9588356018,2.5884699821,27.2722644806,12.830321312,13.9958610535,10.5605363846,7.0280828476,-1.8690596819,14.820980072,4.4763426781,3.4777128696,1.3899254799,14.8238096237,12.2475509644,10.424744606,9.266749382,4.1783571243,6.3859043121,12.5870285034,5.262799263,9.1215286255,3.5842709541
