,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19,IIR(g).20,IIR(g).21,IIR(g).22,IIR(g).23,IIR(g).24,IIR(g).25,IIR(g).26,IIR(g).27,IIR(g).28,IIR(g).29
0,-0.5026622415,0.0291860159,5.6692295074,-2.4593734741,1.4747948647,3.39001441,-4.2689776421,3.8237912655,2.8779690266,5.2590274811,-1.4626295567,-6.3869409561,1.5624932051,-2.0359694958,-1.4249098301,7.2921209335,4.1406369209,8.4595470428,2.3253748417,3.102401495,0.9957542419,-3.8050251007,-1.7615584135,0.6440176964,6.0058779716,-0.912864387,0.2451314926,-5.2534627914,-0.3008616567,-1.6785750389
1,0.2875662148,-2.0435135365,8.5774211884,-4.8611774445,5.7314667702,3.2476224899,-6.4972710609,2.4762537479,3.8483092785,4.7234072685,-3.3750200272,-5.4005699158,0.4016683996,-0.9326672554,-0.0292795748,7.1553869247,3.4956297874,8.3312997818,0.2215566635,1.9623224735,-3.9841938019,-4.6490039825,-3.4815783501,-2.5348129272,5.2769441605,-0.9694439769,2.0453059673,-6.3577079773,-1.3409833908,0.52048558
2,0.741146028,-2.0472853184,8.4953804016,-4.9630208015,7.5693612099,2.985470295,-6.4161739349,0.3705496192,3.0590238571,3.15615201,-2.973304987,-0.9204083085,-0.5064342022,0.0612477884,1.368236661,3.5616393089,2.0962274075,5.4004764557,-1.892634511,-0.5526409149,-7.0310053825,-4.1595907211,-3.0459153652,-4.5424456596,3.6342496872,0.5299155116,3.0363919735,-3.875749588,-1.944499135,3.2033016682
3,0.6355307698,-1.1863324642,5.3438968658,-2.81488204,7.1091804504,2.7940425873,-4.7376456261,-2.5574448109,2.0830256939,0.5817801356,-1.439997673,4.7799868584,-1.0241376162,0.6845664382,1.7539209127,-1.6719740629,0.4290152192,0.8910819888,-4.0992388725,-3.4646043777,-7.0592951775,-2.0916061401,-0.2480540425,-4.2538900375,1.054219842,2.1669518948,2.3168878555,1.4559350014,-2.1745896339,4.8101625443
4,-0.3866740763,-0.2640849352,0.5629202724,0.1932668686,4.3339509964,1.4691369534,-1.6795179844,-4.7244434357,1.1475762129,-2.1755325794,0.9052268863,8.3841075897,-1.3108075857,0.5214285851,1.1117423773,-5.8305749893,-1.6031355858,-3.6324572563,-5.3194723129,-5.159163475,-3.9785358906,1.5615502596,3.0637388229,-1.9463851452,-2.3509292603,3.2372496128,0.8825950027,6.415137291,-1.9888198376,4.5649843216
5,-0.9835888743,0.4987967312,-4.3387594223,3.271197319,-0.0179636534,-0.802534163,2.0632226467,-4.8017692566,-0.1565836817,-4.0492601395,3.4748837948,8.9121837616,-1.3315534592,-0.0641703308,0.2866232097,-6.6660671234,-3.2835497856,-7.0809841156,-4.4481463432,-4.6801228523,0.8948539495,5.0213928223,4.320748806,0.8580771685,-5.8371758461,2.7289760113,0.012212134,8.8669195175,-0.912864387,2.8770260811
6,-0.2961466908,1.0372459888,-7.962682724,5.420279026,-3.9907946587,-2.4065659046,5.3674716949,-3.1609606743,-0.7723583579,-4.4736075401,4.6253356934,5.9012060165,-0.3376384079,0.6062979698,-0.1971323937,-4.0454883575,-3.7739062309,-7.8504667282,-1.762501359,-1.7841902971,5.3495545387,6.9375553131,3.4777128696,2.9562375546,-7.7750272751,0.2800222635,-0.134894833,7.124268055,1.1777518988,0.4214712679
7,1.3569207191,1.8878259659,-8.5501680374,5.8531131744,-6.2652950287,-2.4499435425,7.2204537392,-0.5252940655,-0.0651133209,-3.011967659,3.2608244419,0.1602620929,1.3088279963,2.3093440533,-0.023621615,0.474278897,-2.3509292603,-5.0695791245,2.5186884403,2.3630945683,7.4429998398,6.2850041389,1.727517128,3.9312925339,-6.1672234535,-2.3462142944,-0.1782725304,2.2442774773,3.4909148216,-2.2962355614
8,3.0609097481,2.5535793304,-4.9715080261,3.7455229759,-6.5019860268,-1.7360975742,6.7640447617,2.5762112141,0.224385649,0.0791646615,0.2875662148,-5.2364888191,2.5837550163,3.0533657074,1.2201867104,4.5376372337,0.9806663394,0.189494893,7.358130455,5.7408967018,6.6952061653,3.6153898239,0.1008535102,3.4843137264,-0.9807599187,-3.2722337246,-0.8213940263,-2.6922929287,4.6215639114,-4.1595907211
9,3.4060451984,2.3753535748,0.7750937939,0.1847799271,-4.2378592491,-0.847797811,3.9152617455,5.0147919655,-0.693146944,3.7983305454,-1.8087080717,-7.565682888,3.3428647518,2.9892423153,2.2593653202,6.7470707893,4.3867583275,5.9313817024,9.3968820572,7.2364845276,4.0708556175,0.011269141,-0.4375956953,1.787868619,5.4928898811,-2.0350265503,-1.5625867844,-5.5495629311,3.730435133,-3.9794788361
10,2.210329771,1.7520349026,5.9012060165,-2.449000597,0.1904378831,-0.2820017934,-0.2197642326,5.4702577591,-0.9251232743,6.5547003746,-2.3367843628,-6.0521783829,3.2928860188,3.1042873859,1.7369470596,7.4184823036,6.5348973274,9.7467327118,7.0214819908,6.545270443,0.2517324388,-2.998765707,0.3667776585,0.0791646615,10.1484479904,0.5751791596,-1.6653730869,-5.4929833412,1.196611762,-1.820966959
11,0.4987967312,0.8014975786,9.6109418869,-3.2684619427,4.9940462112,0.4167563021,-3.902153492,4.2349367142,0.1866659075,6.8913488388,-1.9237532616,-2.2924637794,1.7510919571,2.329146862,0.7034263015,6.8479709625,6.6084508896,10.1145000458,1.5615502596,3.9162046909,-3.7871081829,-4.1671347618,1.7690087557,-0.8402538896,10.2568922043,3.0165891647,-0.9581280351,-3.7748491764,-1.1033490896,1.1023124456
12,-0.7600994706,-0.1499827206,10.8123149872,-2.9082384109,8.2624616623,1.7567498684,-5.3581352234,2.2329616547,1.5096856356,5.2675142288,-0.0981180891,1.5577782393,-0.6761730313,0.0008962136,0.4290152192,4.8752288818,4.5206632614,7.5731329918,-4.2595477104,0.7468039989,-5.3628501892,-3.4051959515,2.7176601887,-0.693146944,5.7946476936,4.112347126,0.8769370914,-1.3522993326,-1.9228103161,3.6399075985
13,-0.5196361542,-0.1169779599,8.0983800888,-1.59842062,9.2724075317,3.782299757,-4.5320730209,-0.1782725304,2.579982996,2.5186884403,2.7336909771,4.0727415085,-2.2321121693,-2.6045944691,1.3701225519,1.7529779673,1.7520349026,3.4663968086,-7.5628538132,-1.6106795073,-3.4070818424,-1.2598859072,1.9349756241,0.1791219562,-0.1094340086,3.7502379417,3.7483518124,2.3810114861,-0.9835888743,5.0930604935
14,1.1211723089,1.4681938887,3.0543088913,0.9495475292,7.9757914543,5.5287232399,-1.8058791161,-2.0557723045,3.7228910923,-0.6431682706,4.4216489792,5.1892457008,-1.2278242111,-2.7054948807,3.4135892391,-2.2434279919,-0.8845745921,-0.1301798671,-6.8301477432,-2.7479295731,0.3828085363,1.5775811672,-0.1905314475,1.2079277039,-4.2708640099,2.472481966,6.1114931107,6.2576575279,0.733602047,5.444797039
15,2.8798549175,4.2198486328,-1.1099499464,4.3895874023,5.2071628571,5.9511842728,2.1999568939,-2.7705612183,4.3028321266,-2.6253404617,4.5970458984,6.1218662262,1.7190301418,0.2479604781,5.6833744049,-5.2166862488,-2.868632555,-1.9718459845,-2.2141952515,-2.3726181984,4.4687986374,4.6309938431,-0.9081494212,1.7605218887,-4.9705648422,1.1598351002,6.7527289391,8.8763494492,2.1216883659,5.0477967262
16,4.3141479492,6.9168095589,-3.0779771805,6.7612156868,2.2876551151,4.9138917923,6.1388401985,-2.3018937111,3.9614684582,-1.8568007946,4.3273496628,7.2591161728,4.9308657646,4.7177491188,6.6386265755,-4.6980400085,-3.1534166336,-1.8464277983,4.3650693893,0.137630254,7.4524297714,7.642914772,1.1909538507,1.9585504532,-2.3792190552,0.4384451509,5.7795596123,9.6873245239,2.905315876,3.6427366734
